Time,x,y
5.234,2.126092111,0.487827604
5.273,2.174577413,0.494757129
5.311,2.222490877,0.502331337
5.349,2.269859348,0.510533231
5.387,2.316796759,0.519357403
5.425,2.363465394,0.528808428
5.463,2.410034678,0.538898094
5.501,2.456643485,0.549641182
5.54,2.504607533,0.561361684
5.578,2.551489004,0.573472238
5.616,2.598481215,0.586276913
5.653,2.6442696,0.599421343
5.691,2.691230322,0.61362321
5.729,2.738024658,0.628542294
5.766,2.784574175,0.644185838
5.804,2.829622838,0.660122881
5.842,2.875602006,0.67722367
5.88,2.921320147,0.69506996
5.918,2.966833176,0.713655395
5.956,3.012209944,0.732963321
5.994,3.057518068,0.752967634
6.031,3.102811446,0.773634384
6.07,3.148118384,0.79491979
6.108,3.193414009,0.816751562
6.146,3.238591048,0.839005046
6.183,3.282336973,0.860924585
6.221,3.326931365,0.883528765
6.259,3.371204262,0.906076169
6.297,3.415307224,0.928453666
6.335,3.459527415,0.950596352
6.373,3.504256058,0.972485412
6.412,3.55114377,0.994702285
6.45,3.598169372,1.016132767
6.488,3.646751736,1.037358752
6.526,3.696933685,1.058354987
6.563,3.748569197,1.079052958
6.602,3.801357064,1.099341297
6.64,3.85489944,1.119074559
6.678,3.908774284,1.138090453
6.716,3.962603635,1.156233231
6.754,4.016102652,1.173376933
6.792,4.069102955,1.189440216
6.83,4.121553131,1.204390707
6.868,4.173495898,1.218239475
6.906,4.225029643,1.231027767
6.944,4.276262541,1.242810203
6.982,4.32727621,1.253639694
7.02,4.378113498,1.263557697
7.058,4.4287781,1.272589371
7.096,4.47924035,1.280742836
7.134,4.529447047,1.288012288
7.172,4.579335474,1.294383489
7.21,4.628848697,1.299839977
7.248,4.677948056,1.304368398
7.286,4.726621491,1.307961005
7.324,4.774882992,1.310616614
7.362,4.822766785,1.312338913
7.4,4.870282781,1.313116004
7.438,4.917354511,1.312899795
7.476,4.963848793,1.311631564
7.514,5.009629696,1.309276498
7.552,5.054604558,1.305848286
7.59,5.098757019,1.301419773
7.628,5.142158024,1.296117756
7.666,5.184947916,1.290099508
