Time,traj,gen
3.62,-2.334205858076279,-2.3342132958082478
3.63,-2.3370860955715873,-2.3370936806965537
3.64,-2.3399477025488102,-2.339955417541069
3.65,-2.34279049830682,-2.3427983256389484
3.66,-2.3456143046282603,-2.345622226807821
3.67,-2.3484189457514737,-2.3484269453568345
3.68,-2.3512042483430062,-2.3512123080582183
3.69,-2.353970041470677,-2.3539781441193672
3.7,-2.356716156577213,-2.356724285155445
3.71,-2.3594424274544425,-2.3594505651625024
3.72,-2.3621486902180355,-2.362156820491109
3.73,-2.3648347832827916,-2.3648428898204963
3.74,-2.367500547338465,-2.3675086141332056
3.75,-2.370145825326117,-2.370153836690242
3.76,-2.372770462414995,-2.372778403006725
3.77,-2.3753743059799195,-2.3753821608280346
3.78,-2.377957205579188,-2.377964960106445
3.79,-2.3805190129329667,-2.380526652978248
3.8,-2.383059581902182,-2.383067093741351
3.81,-2.3855787684678855,-2.385586138833353
3.82,-2.3880764307111044,-2.3880836468100846
3.83,-2.390552428793145,-2.390559478324618
3.84,-2.39300662493636,-2.3930134961067284
3.85,-2.395438883405368,-2.3954455649428095
3.86,-2.397849070488703,-2.397855551656233
3.87,-2.400237054480906,-2.4002433250881476
3.88,-2.4026027056650325,-2.402608756078712
3.89,-2.4049458962955783,-2.404951717448751
3.9,-2.4072665005818132,-2.407272083981838
3.91,-2.4095643946715097,-2.4095697324067835
3.92,-2.411839456635064,-2.411844541380538
3.93,-2.414091566449999,-2.414096391471492
3.94,-2.4163206059858395,-2.416325165143171
3.95,-2.4185264589893576,-2.418530746738321
3.96,-2.420709011070171,-2.420713022463371
3.97,-2.4228681496866957,-2.4228718803732767
3.98,-2.4250037641324407,-2.4250072103567284
3.99,-2.427115745522637,-2.4271189041217234
4.0,-2.4292039867811965,-2.429206855181494
4.01,-2.43126838262799,-2.4312709588407855
4.0200000000000005,-2.43330882956644,-2.4333111121824786
4.03,-2.43532522587142,-2.4353272140545474
4.04,-2.437317471577452,-2.4373191650573496
4.05,-2.4392854684671987,-2.4392868675312425
4.0600000000000005,-2.4412291200602425,-2.4412302255445164
4.07,-2.4431483316021425,-2.4431491448816423
4.08,-2.4450430100537655,-2.4450435330318254
4.09,-2.4469130640808854,-2.4469132991778615
4.1,-2.4487584040440424,-2.448758354185286
4.11,-2.4505789419886583,-2.4505786105918173
4.12,-2.452374591635399,-2.452373982597077
4.13,-2.4541452683707847,-2.4541443860525964
4.14,-2.4558908892380327,-2.4558897384520892
4.15,-2.4576113729281377,-2.4576099589219957
4.16,-2.4593066397711745,-2.459304968212286
4.17,-2.460976611727827,-2.4609746886875223
4.18,-2.462621212381131,-2.4626190443181715
4.19,-2.464240366928428,-2.4642379606721634
4.2,-2.46583400217353,-2.4658313649066907
4.21,-2.4674020465190822,-2.467399185760245
4.22,-2.4689444299591243,-2.4689413535448836
4.23,-2.470461084071846,-2.4704578001387247
4.24,-2.4719519420125295,-2.4719484589786593
4.25,-2.473416938506676,-2.473413265053285
4.26,-2.4748560098433137,-2.474852154896049
4.2700000000000005,-2.4762690938684795,-2.4762650665786006
4.28,-2.4776561299788744,-2.4776519397043426
4.29,-2.479017059115685,-2.479012715402188
4.3,-2.48035182375857,-2.4803473363205057
4.3100000000000005,-2.4816603679198073,-2.4816557466212563
4.32,-2.482942637138597,-2.4829378919743186
4.33,-2.4841985784755174,-2.484193719551992
4.34,-2.485428140507132,-2.48542317802368
