,Time,traj_x,traj_y,gen_x,gen_y
38,3.834,0.854378506,0.38844069,1.1186151622770457,0.6759954034580662
39,3.872,0.885930723,0.394706719,1.2199368500545429,0.7453612684407024
40,3.91,0.91743012,0.400873183,1.345088989586693,0.833280195195201
41,3.948,0.948868694,0.406914988,1.504378554458076,0.9475104537682375
42,3.986,0.980237182,0.412801226,1.7127184311413228,1.099951468620383
43,4.024,1.011525935,0.418494308,1.9901259077474163,1.308718895986611
44,4.062,1.042726097,0.423950235,2.3569155825221584,1.59964583275269
45,4.1,1.0738319,0.42912036,2.8075275453481234,2.000789385242481
46,4.138,1.104841301,0.433954751,3.222672485308055,2.5062058852477724
47,4.176,1.13575598,0.438408175,3.2292050801019796,2.9685132168685846
48,4.214,1.166579542,0.442447222,2.5923189395928605,3.070738918201892
49,4.251,1.19650787,0.445965346,2.330855530934245,2.8286782238879185
50,4.289,1.22716109,0.449152245,2.5726819483015686,2.690739380694048
51,4.327,1.257729888,0.451920651,2.7858592767852786,2.7333370647658577
52,4.364,1.288214976,0.454292992,2.851802109759445,2.807087213126352
53,4.402,1.31781666,0.456246602,2.8121383323567946,2.831216883893124
54,4.44,1.348132387,0.457909484,2.7828288552929497,2.8026706029995
55,4.478,1.378358695,0.459239895,2.815039137637244,2.7676587602048097
56,4.515,1.407703891,0.460223353,2.8758377009254845,2.7538855699253206
57,4.553,1.437755765,0.460918251,2.927565886141575,2.7557414603440127
58,4.591,1.467719547,0.461302566,2.960183006032858,2.7571829375976935
59,4.629,1.497585975,0.461386009,2.984026447525668,2.751131105651302
60,4.667,1.527371907,0.461183928,3.010949345052083,2.739895738085432
61,4.704,1.557179087,0.460732367,3.044270279142929,2.7285237260787283
62,4.742,1.58643445,0.460116951,3.0805959532654645,2.7199624364396047
63,4.78,1.617066134,0.459404881,3.115873269379027,2.7126363929531476
64,4.817,1.647901315,0.458759597,3.149298548542889,2.705123422371864
65,4.855,1.681137871,0.458298232,3.1816013311172093,2.697270406135591
66,4.893,1.716488127,0.458200465,3.2135800428680117,2.68829377069918
67,4.931,1.75433851,0.458611373,3.2462616284930377,2.678802277389788
68,4.969,1.794845159,0.459645861,3.279691991014006,2.6693491795022117
69,5.007,1.837920639,0.461384578,3.313412965113189,2.660101734079837
70,5.045,1.883269877,0.463877413,3.3470043257540185,2.6509315231090547
71,5.083,1.930432807,0.467148422,3.3803161836212126,2.641642048463753
72,5.121,1.978842493,0.471199875,3.41341851283179,2.6321195435910494
73,5.159,2.027912848,0.476016201,3.446449133120876,2.6223571319772354
74,5.197,2.077125637,0.48156977,3.4795017743513386,2.6124048811207925
75,5.234,2.126092111,0.487827604,3.5125961393975884,2.6023132010771413
76,5.273,2.174577413,0.494757129,3.5457116393068966,2.5926291138721687
77,5.311,2.222490877,0.502331337,3.578354648627044,2.581949754712245
78,5.349,2.269859348,0.510533231,3.611332339945482,2.571199035945024
79,5.387,2.316796759,0.519357403,3.6444807337847314,2.5604638660758208
80,5.425,2.363465394,0.528808428,3.6776136215116293,2.549710912857116
81,5.463,2.410034678,0.538898094,3.710616508361155,2.5388586075619193
82,5.501,2.456643485,0.549641182,3.7434606287169734,2.527835537163289
83,5.54,2.504607533,0.561361684,3.7761720469807925,2.5166053336738905
84,5.578,2.551489004,0.573472238,3.808703929542314,2.5046428981989157
85,5.616,2.598481215,0.586276913,3.841558185637334,2.4927730439506397
86,5.653,2.6442696,0.599421343,3.874471539384756,2.4809708640520873
87,5.691,2.691230322,0.61362321,3.907361203453177,2.4696470619454147
88,5.729,2.738024658,0.628542294,3.9396658329506575,2.4579033957617127
89,5.766,2.784574175,0.644185838,3.971615228722626,2.4456944524809834
90,5.804,2.829622838,0.660122881,4.003549467294491,2.433595586630562
91,5.842,2.875602006,0.67722367,4.035129520376235,2.420945100540953
92,5.88,2.921320147,0.69506996,4.066594965449475,2.407852882038915
93,5.918,2.966833176,0.713655395,4.09807309108643,2.394447400477561
94,5.956,3.012209944,0.732963321,4.12958945301814,2.3808256022014285
95,5.994,3.057518068,0.752967634,4.161104196265912,2.3670361906959068
96,6.031,3.102811446,0.773634384,4.192549800872611,2.353085046703601
97,6.07,3.148118384,0.79491979,4.224019234080295,2.3394422766343568
98,6.108,3.193414009,0.816751562,4.254866550867429,2.3248890774867523
99,6.146,3.238591048,0.839005046,4.285606935887755,2.3100949759993443
100,6.183,3.282336973,0.860924585,4.316195154664094,2.295063136333487
101,6.221,3.326931365,0.883528765,4.346749014880188,2.28025470543677
102,6.259,3.371204262,0.906076169,4.376828640299237,2.2649879662425882
103,6.297,3.415307224,0.928453666,4.406498342203812,2.2492519256917567
104,6.335,3.459527415,0.950596352,4.435807436296108,2.233059466849117
105,6.373,3.504256058,0.972485412,4.4647816381680165,2.2164302937093057
106,6.412,3.55114377,0.994702285,4.493423191508993,2.1993801681920826
107,6.45,3.598169372,1.016132767,4.5215521833699315,2.1814704777548344
108,6.488,3.646751736,1.037358752,4.5494665601952065,2.163291029141575
109,6.526,3.696933685,1.058354987,4.577059282769309,2.1448099946989396
110,6.563,3.748569197,1.079052958,4.604235666311919,2.1259779008526185
111,6.602,3.801357064,1.099341297,4.6310657698423565,2.1071579650588457
112,6.64,3.85489944,1.119074559,4.657069397468128,2.0873397160166394
113,6.678,3.908774284,1.138090453,4.682507392556309,2.0670309941134684
114,6.716,3.962603635,1.156233231,4.707330302344044,2.046196427083568
115,6.754,4.016102652,1.173376933,4.731495960328449,2.0248036913090948
116,6.792,4.069102955,1.189440216,4.754969309503842,2.002825101923279
