t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
5.0,0.5005005005005005,8.06682641210663,19.562663118601275,20.538874083448455,-17.35151292055594,5.713351738802171,-10.955908545426661,-2.4015418649236207,5.589411551783233,1.9148711209384344,-30.070638007238202
5.01,0.5015015015015015,8.067766748179322,19.561073448569914,20.54001092883548,-17.351222210974868,5.71285707610957,-10.954252464405567,-2.405566705109007,5.590105300143423,1.9169032811200726,-30.071278714932564
5.0200000000000005,0.5025025025025025,8.068710838395512,19.559485537229264,20.541156196155466,-17.35093169512058,5.71236709056704,-10.95259339126887,-2.4096269075059924,5.590795735813456,1.9189448940193292,-30.071911610748852
5.03,0.5035035035035035,8.069658686612632,19.55789945080542,20.54230989028556,-17.350641320099736,5.711881766801971,-10.950931271349226,-2.413722619369527,5.591482992466702,1.9209958603401969,-30.072536748958214
5.04,0.5045045045045045,8.070610294113804,19.55631525511583,20.543472015694107,-17.35035103346276,5.7114010899282235,-10.949266050630344,-2.4178539839180173,5.592167206499404,1.9230560771636942,-30.073154182968164
5.05,0.5055055055055055,8.071565659552263,19.554733015576243,20.544642576422028,-17.350060783213625,5.710925045563913,-10.947597675767959,-2.422021140212857,5.592848517062442,1.9251254378940865,-30.07376396534076
5.0600000000000005,0.5065065065065065,8.072524778895653,19.553152797207826,20.545821576063823,-17.34977051781993,5.710453619849381,-10.945926094111048,-2.4262242230377846,5.593527066092974,1.9272038322059213,-30.074366147811038
5.07,0.5075075075075075,8.073487645370246,19.55157466464452,20.547009017748255,-17.349480186223282,5.709986799465332,-10.944251253723296,-2.4304633627781755,5.594202998345932,1.9292911459919584,-30.074960781305716
5.08,0.5085085085085085,8.074454249405143,19.549998682140583,20.548204904118744,-17.349189737849947,5.709524571651149,-10.942573103404802,-2.43473868530039,5.594876461425352,1.9313872613120806,-30.075547915962137
5.09,0.5095095095095095,8.075424578576506,19.54842491357833,20.549409237313405,-17.348899122621813,5.70906692422338,-10.940891592714022,-2.4390503118313025,5.595547605815498,1.9334920563432683,-30.076127601147476
5.1000000000000005,0.5105105105105106,8.076398617551881,19.546853422476097,20.550622018944804,-17.348608290967622,5.708613845594398,-10.93920667198994,-2.4433983588381394,5.5962165849117635,1.9356054053307257,-30.076699885478195
5.11,0.5115115115115115,8.077376348034667,19.54528427199638,20.551843250079404,-17.348317193834514,5.708165324791228,-10.937518292374477,-2.4477829379087592,5.5968835550513205,1.9377271785402497,-30.07726481683973
5.12,0.5125125125125125,8.078357748708793,19.543717524954193,20.55307293121672,-17.34802578269986,5.707721351474549,-10.935826405835112,-2.4522041556325123,5.597548675543484,1.9398572422119291,-30.077822442406415
5.13,0.5135135135135135,8.079342795183663,19.542153243825613,20.554311062268177,-17.347734009583377,5.707281915957858,-10.934130965187718,-2.4566621134818223,5.59821210869976,1.94199545851527,-30.07837280866165
5.14,0.5145145145145145,8.080331459939444,19.540591490756533,20.555557642535682,-17.347441827059544,5.706847009226803,-10.932431924119614,-2.4611569076946367,5.598874019863555,1.9441416855058373,-30.078915961418286
5.15,0.5155155155155156,8.081323712272745,19.539032327571608,20.55681267068995,-17.347149188270304,5.706416622958682,-10.930729237212812,-2.4656886291578965,5.599534577439507,1.9462957770835134,-30.07945194583922
5.16,0.5165165165165165,8.082319518242782,19.537475815783395,20.558076144748544,-17.34685604693806,5.705990749542099,-10.929022859967459,-2.4702573632921787,5.600193952922415,1.9484575829524646,-30.079980806458227
5.17,0.5175175175175175,8.08331884061807,19.53592201660169,20.559348062053658,-17.34656235737896,5.705569382096789,-10.927312748825456,-2.4748631899376745,5.60085232092572,1.9506269485829175,-30.08050258720098
5.18,0.5185185185185185,8.08432163882374,19.534370990943057,20.560628419249678,-17.34626807451645,5.705152514493587,-10.92559886119427,-2.4795061832416625,5.601509859209529,1.952803715174843,-30.08101733140628
5.19,0.5195195195195195,8.085327868889541,19.53282279944057,20.561917212260482,-17.34597315389512,5.704740141374566,-10.9238811554709,-2.4841864115476446,5.602166748708122,1.954987719623647,-30.08152508184749
5.2,0.5205205205205206,8.086337483398616,19.531277502453708,20.56321443626655,-17.345677551694845,5.704332258173318,-10.922159591066,-2.488903937286317,5.602823173556923,1.9571787944879693,-30.082025880754145
5.21,0.5215215215215215,8.087350431437105,19.52973516007848,20.564520085681814,-17.345381224745175,5.703928861135386,-10.920434128428155,-2.4936588168685496,5.603479321118905,1.9593767679596923,-30.082519769833727
5.22,0.5225225225225225,8.088366658544695,19.528195832157728,20.565834154130375,-17.345084130540005,5.703529947338847,-10.918704729068288,-2.498451100580547,5.604135382010376,1.9615814638362583,-30.08300679029366
5.23,0.5235235235235235,8.089386106666153,19.526659578291603,20.56715663442297,-17.344786227252516,5.703135514715026,-10.916971355584188,-2.503280832481382,5.60479155012613,1.9637927014954013,-30.08348698286342
5.24,0.5245245245245245,8.090408714103969,19.525126457848266,20.568487518533306,-17.344487473750373,5.702745562069361,-10.915233971685156,-2.5081480503030695,5.6054480226639205,1.9660102958723913,-30.083960387816834
5.25,0.5255255255255256,8.091434415472158,19.52359652997474,20.56982679757421,-17.34418782961118,5.702360089102396,-10.913492542216746,-2.5130527853533837,5.60610500014821,1.9682340574398947,-30.084427044994516
5.26,0.5265265265265265,8.092463141651322,19.522069853607977,20.57117446177366,-17.343887255138185,5.701979096430906,-10.911747033185597,-2.517995062421593,5.606762686453181,1.9704637921905521,-30.08488699382644
5.2700000000000005,0.5275275275275275,8.093494819745068,19.520546487486097,20.57253050045066,-17.343585711376228,5.701602585609144,-10.909997411784325,-2.5229748996873127,5.607421288824955,1.9726993016223724,-30.08534027335465
5.28,0.5285285285285285,8.094529373037846,19.519026490159817,20.573894901991025,-17.34328316012792,5.701230559150218,-10.908243646416489,-2.527992308632659,5.608081017902986,1.9749403827270444,-30.085786922256084
5.29,0.5295295295295295,8.09556672095432,19.517509920004063,20.575267653823033,-17.34297956397007,5.700863020547581,-10.906485706721588,-2.5330472939579085,5.608742087740605,1.9771868279812648,-30.086226978865515
5.3,0.5305305305305306,8.096606779020346,19.515996835229767,20.576648742393036,-17.34267488627029,5.700499974296628,-10.904723563600086,-2.53813985350085,5.609404715824657,1.9794384253411783,-30.086660481198596
5.3100000000000005,0.5315315315315315,8.097649458825657,19.514487293895858,20.578038153140973,-17.342369091203878,5.700141425916404,-10.902957189238457,-2.543269978160026,5.610069123094212,1.9816949582400274,-30.087087466974978
5.32,0.5325325325325325,8.098694667988333,19.512981353921415,20.57943587047585,-17.342062143770825,5.699787381971415,-10.901186557134213,-2.5484376518220615,5.610735533958313,1.983956205589104,-30.087507973641536
