t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
0.14,0.014014014014014014,7.008475514801685,-32.58992278051003,-17.90288337441926,3.6560543053044006,-12.574580376462368,5.805687856219668,19.69918142960608,40.56603053394537,-5.448239801621628,22.734585545838446,-22.96502072103311,-7.050556484672602,-5.977296119237476,9.952781629036256,-25.371669065001424,-0.4799386511129122,-12.870575900134243,33.334159599198784,7.111040137891387,-31.2520793439339,-15.146418832786,31.625865707791064,-13.720769508144933,28.969571300041945,6.918721618695029,-15.140841036018829,37.564786684880254,5.555438150080987,9.269025244087041,-15.800654767500154,31.436963858551444,-31.41813101123224,-32.48979916461941
0.15,0.015015015015015015,7.008057937434878,-32.590165208790694,-17.903761377370948,3.65621624667675,-12.574738573478655,5.80592407366283,19.699299971007378,40.566499979502986,-5.448839938367735,22.734931291479057,-22.96570035270225,-7.050412620015401,-5.977564214762424,9.952940361466569,-25.372287182944596,-0.47960025969285314,-12.870811652933842,33.33490429650632,7.110950684544263,-31.25244807268876,-15.146250373200319,31.62653712528816,-13.721067529899546,28.97000827517249,6.918425463920873,-15.14118505397961,37.56593434085705,5.555913505142895,9.269220780019046,-15.800656098212821,31.437448559189264,-31.418553451907833,-32.49017875339319
0.16,0.016016016016016016,7.0076006930177845,-32.590378382504966,-17.904676691776547,3.656384619977551,-12.574890059555203,5.806169196829103,19.699398956895624,40.56694536512364,-5.449475075317538,22.73526966842184,-22.966395801964282,-7.050248585974951,-5.977842855896893,9.953096655700385,-25.372913059113248,-0.47923694817657647,-12.871045826545064,33.33565474619064,7.110844806352447,-31.252798307326756,-15.146047950693102,31.627211431321264,-13.721367092889892,28.970435435440038,6.918098447705895,-15.141531754139915,37.56710982978352,5.556415133920036,9.269417291567656,-15.800634545393088,31.43792304280519,-31.41896119215292,-32.49053901410233
0.17,0.017017017017017015,7.007103821425997,-32.590562299985926,-17.905629340008936,3.656559407601222,-12.575034844524383,5.8064232408404575,19.69947836576376,40.56736671792472,-5.450145215251298,22.735600720519667,-22.967107098861224,-7.05006440752393,-5.978132045751549,9.953250556121457,-25.373546690742444,-0.4788487569642356,-12.87127842940174,33.33641094027023,7.1107225063636355,-31.253130071621616,-15.145811529215951,31.627888604115146,-13.721668197736408,28.97085282572788,6.917740589277909,-15.141881112425919,37.56831305745392,5.55694306199721,9.269614784759737,-15.800590073510977,31.43838730048882,-31.41935426637728,-32.490879943218616
0.18,0.018018018018018018,7.00656736588132,-32.590716957865126,-17.906619344319196,3.656740591057315,-12.575172939439117,5.806686220516509,19.69953817339722,40.567764065330195,-5.4508503608726855,22.735924494610888,-22.967834274969444,-7.049860108795002,-5.978431785519362,9.953402109694983,-25.37418807448068,-0.4784357301629691,-12.871509472107496,33.33717286915828,7.11058378693256,-31.253443393880232,-15.14554106792038,31.628568620848288,-13.721970845220321,28.971260493236056,6.917351910460072,-15.142233101756434,37.5695439247492,5.5574973152759615,9.269813265833177,-15.800522645537315,31.438841323891527,-31.419732713552538,-32.49120153694591
0.19,0.01901901901901902,7.005991372965649,-32.59084235108001,-17.907646726813486,3.656928150977069,-12.575304356575408,5.8069581503637595,19.699578352856804,40.56813743507118,-5.451590514778758,22.736241040523023,-22.968577363397674,-7.049635713091941,-5.978742074481304,9.953551365978994,-25.37483720639129,-0.4779979156004974,-12.871738967436999,33.33794052166038,7.1104286497271145,-31.25373830694121,-15.145236521149789,31.629251457645697,-13.72227503628332,28.971658487490288,6.916932435677021,-15.142587692041992,37.570802327613656,5.558077919944358,9.270012741239311,-15.800432222933832,31.439285105219156,-31.42009657720798,-32.49150379121863
0.2,0.02002002002002002,7.005375892635498,-32.59093847288235,-17.90871150942866,3.6571220671206692,-12.575429109434877,5.8072390445643,19.699598874460875,40.5684868551864,-5.452365679428273,22.73655041107679,-22.969336398785032,-7.049391242901378,-5.97906291001274,9.953698377136275,-25.375494081954024,-0.4775353648396473,-12.87196693033732,33.33871388497186,7.110257095734998,-31.254014848173263,-15.144897838430518,31.629937089571563,-13.722580772027142,28.97204686035131,6.916482191961141,-15.142944850183675,37.572088157031224,5.5586849024449325,9.270213217645342,-15.800318765642754,31.43971863722433,-31.420445905426014,-32.49178670170051
0.21,0.02102102102102102,7.004720978237127,-32.591005314847656,-17.909813713906615,3.65732231838524,-12.575547212747315,5.80752891696399,19.699599705766865,40.568812354022526,-5.453175857108363,22.736852662090424,-22.97011141729911,-7.04912671990515,-5.979394287590519,9.95384319794679,-25.37615869606679,-0.4770481331937829,-12.872193377929422,33.33949294467496,7.110069125270898,-31.25427305947345,-15.144524964462017,31.630625490621732,-13.722888053713092,28.972425666024552,6.916001208958927,-15.143304540071687,37.5734012990013,5.5593182894407684,9.27041470193673,-15.800182232075896,31.44014191319833,-31.420780750837316,-32.492050263783646
0.22,0.022022022022022022,7.004026686522243,-32.591042866885644,-17.91095336176739,3.657528882813556,-12.575658682473245,5.807827781060104,19.699580811552114,40.56911396023428,-5.4540210498995645,22.7371478523843,-22.970902456634047,-7.048842164993275,-5.979736200800755,9.953985885820641,-25.37683104304756,-0.4765362797431229,-12.872418329509754,33.340277684735646,7.109864737984172,-31.25451298726525,-15.14411783910611,31.631316633716036,-13.723196882761465,28.972794961070253,6.915489518937433,-15.143666722583704,37.574741634514304,5.559978107779733,9.270617201219586,-15.80002257910324,31.44055492696255,-31.421101170615604,-32.49229447258789
0.23,0.023023023023023025,7.003293077664221,-32.59105111725167,-17.912130474280996,3.6577417376034878,-12.575763535806487,5.808135649988451,19.699542153794017,40.5693917027845,-5.454901259639235,22.73743604378588,-22.971709556008655,-7.048537598277532,-5.980088641347306,9.954126500811537,-25.377511116636438,-0.47599986735192024,-12.872641806551975,33.34106808750021,7.10964393286706,-31.25473468249645,-15.143676397375378,31.632010490690437,-13.723507260750889,28.973154804413916,6.914947156790767,-15.144031355582953,37.57610903952695,5.56066438445685,9.270820722823048,-15.799839762041007,31.44095767285954,-31.42140722647208,-32.49251932296056
