t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33
7.48,0.7487487487487487,24.305461416862226,-0.8498123311754434,43.17233300587054,-0.8947013769570645,-19.730097103136846,-7.139279679273221,18.031176729913373,-7.1254666233480295,-32.2780721906962,-13.41864714864973,43.16750163610945,-13.415505012750874,-0.8378491908949224,24.293865123407297,36.91505488938433,-25.96020693432424,-19.710151762783525,-26.034420248203737,-19.701582701417017,43.169546618717966,-19.705686795069163,-25.99788835392704,5.441656335365165,-0.8477530832262321,24.298839160894243,11.751713496667453,11.723164203075015,-25.964207757160676,5.450195142246702,-26.060599198106672,-25.977490136903004,-0.8751442192979078,-0.8254179984760148,24.29503688811658
7.49,0.7497497497497497,24.30534568632205,-0.8497650872432707,43.1723052593591,-0.8941790360621212,-19.729917441393752,-7.139163415159765,18.03114404178395,-7.125421139800191,-32.277961235615635,-13.418795218913393,43.16749884404724,-13.41546718910537,-0.8378358457541751,24.29382980992327,36.91504798484539,-25.960771647740213,-19.710087423681752,-26.03426399922916,-19.701514660021793,43.16941905713871,-19.705726359531106,-25.997770656221004,5.441695163475414,-0.847677472567588,24.298827525033094,11.751575647427101,11.723134165361978,-25.96457876422693,5.450153259653661,-26.060381923669834,-25.977681908253093,-0.8751284031891411,-0.8254039310330066,24.295081114894124
7.5,0.7507507507507507,24.305230954772547,-0.8497186289754908,43.17227728106574,-0.8936621310678505,-19.729739466154236,-7.139049199100149,18.031111369529462,-7.125376670314962,-32.27785196679148,-13.418941250302911,43.16749533321246,-13.415430197693661,-0.8378229136939077,24.293794666950227,36.91503925912072,-25.96132874604578,-19.710024032300694,-26.034109342370087,-19.701447698127165,43.16929323162592,-19.70576448043581,-25.997654798184417,5.441733250815576,-0.8476037169437283,24.29881595222792,11.751438679090844,11.7231042227389,-25.964944776743973,5.450112157371597,-26.060165438376323,-25.977868552096357,-0.8751118365043176,-0.8253909316984224,24.2951252162526
7.51,0.7517517517517518,24.30511721830955,-0.8496729432120613,43.172249077300705,-0.8931506105476337,-19.729563160099143,-7.138936996011223,18.031078715593058,-7.12533319547404,-32.277744361307676,-13.419085263491576,43.167491116383495,-13.415394021495082,-0.8378103876775993,24.293759700081687,36.9150287442936,-25.96187832054217,-19.709961571297775,-26.033956253496815,-19.701381797749548,43.169169112201,-19.70580119118136,-25.99754075047826,5.441770609853127,-0.8475317842681562,24.298804439882463,11.751302591609393,11.72307437900011,-25.965305853343903,5.4500718170283955,-26.0599497422082,-25.978050186333085,-0.8750945367399372,-0.825378977754975,24.295169184026424
7.5200000000000005,0.7527527527527528,24.305004472860215,-0.849628017011747,43.17222065418241,-0.892644423502493,-19.729388506078365,-7.138826771351823,18.031046082294377,-7.125290696220663,-32.27763839646986,-13.419227278994905,43.16748620615945,-13.415358643797122,-0.8377982607862993,24.293724914616163,36.91501647212708,-25.962420461518118,-19.70990002362119,-26.03380470880774,-19.70131694120669,43.16904666937842,-19.70583652448136,-25.997428484180475,5.441807252816736,-0.8474616428568776,24.29879298545715,11.751167384742594,11.723044637825947,-25.965662052095,5.450032220625063,-26.059734835129515,-25.978226926398058,-0.8750765210577558,-0.825368046903948,24.295213010237184
7.53,0.7537537537537538,24.304892714190988,-0.8495838376485831,43.17219201764382,-0.89214351935841,-19.72921548711008,-7.13871849111617,18.031013471833628,-7.125249153853281,-32.277534049805226,-13.419367317171844,43.16748061496242,-13.415324048190914,-0.8377865262166444,24.293690315567297,36.91500247406281,-25.962955258260852,-19.709839372506526,-26.033654684826534,-19.701253111113015,43.168925874158724,-19.70587051237772,-25.99731797078124,5.441843191701661,-0.8473932614260618,24.29878158646882,11.75103305806559,11.723015002784503,-25.966013430504947,5.449993350529522,-26.05952071708535,-25.978398885308188,-0.8750578062907308,-0.8253581172578566,24.29525668709317
7.54,0.7547547547547547,24.30478193791532,-0.8495403926083925,43.17216317343869,-0.8916478479636337,-19.729044086379968,-7.138612121827307,18.030980886295538,-7.12520855001933,-32.277431299062314,-13.419505398225928,43.167474355039744,-13.415290218566762,-0.8377751772789087,24.293655907673656,36.914986781220094,-25.963482799066934,-19.70977960147335,-26.033506158399316,-19.70119029037498,43.16880669802158,-19.705903186253252,-25.997209182178327,5.441878438275021,-0.8473266090896447,24.298770240490445,11.750899610974821,11.722985477333365,-25.96636004552405,5.449955189470462,-26.05930738800091,-25.978566173709265,-0.8750384089488784,-0.8253491673332263,24.29530020698873
7.55,0.7557557557557557,24.304672139501132,-0.8494976695853546,43.17213412714753,-0.8911573595859815,-19.728874287240405,-7.138507630530561,18.030948327653256,-7.125168866709091,-32.277330122210756,-13.419641542206408,43.16746743846623,-13.415257139109698,-0.8377642073950855,24.293621695408284,36.91496942439505,-25.964003171252987,-19.709720694321835,-26.03335910669179,-19.701128462186546,43.1686891129189,-19.705934576844022,-25.997102090672435,5.4419130040809245,-0.8472616553568787,24.2987589451508,11.750767042693882,11.722956064821352,-25.966701953548473,5.449917720531275,-26.05909484778066,-25.97872889992188,-0.8750183452250397,-0.8253411760434894,24.295343562503547
7.5600000000000005,0.7567567567567568,24.30456331427805,-0.8494556564786249,43.17210488418348,-0.8906720049101321,-19.72870607320959,-7.138404984787042,18.030915797772135,-7.125130086249643,-32.27723049744094,-13.419775769009345,43.16745987714635,-13.415224794295078,-0.8377536100970009,24.293587682987926,36.914950434059925,-25.96451646116628,-19.70966263512933,-26.033213507186378,-19.701067610024644,43.16857309126807,-19.705964714251518,-25.996996668962563,5.441946900445479,-0.8471983701298289,24.298747698134108,11.7506353522792,11.722926768490261,-25.96703921042351,5.449880927144061,-26.0588830963075,-25.978887169986518,-0.8749976310005596,-0.8253341226919968,24.295386746401757
7.57,0.7577577577577578,24.304455457444377,-0.8494143413890068,43.17207544979796,-0.8901917350349136,-19.728539427970652,-7.138304152667169,18.03088329841345,-7.125092191298915,-32.277132403163655,-13.41990809837866,43.16745168281639,-13.415193168884212,-0.8377433790244593,24.293553874382003,36.91492984036253,-25.965022754195203,-19.709605408246944,-26.033069337679308,-19.701007717644746,43.168458605945226,-19.7059936279546,-25.99689289014141,5.441980138481665,-0.8471367237008217,24.29873649717964,11.7505045386256,11.72289759147661,-25.967371871446854,5.449844793083709,-26.05867213344199,-25.97904108770783,-0.874976281850877,-0.8253279869651436,24.295429751631005
