t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28
9.08,0.9089089089089089,-11.83905880525906,-11.838004889066235,-11.829436023254114,25.887397907207383,7.02781359553456,-18.123473709258832,19.60219061459598,13.308800941178076,7.01618569878397,13.305354682914874,-36.975384931963426,19.602676866534132,7.034501204594803,-30.68423942752621,-30.69934795236989,-11.845731918703104,44.73905299828773,-18.12560356619108,-30.686000894250235,-36.9799659456493,-11.822193083961587,25.886032912526947,-18.12040540662073,38.44198109060671,44.736690026616714,-36.97195329566779,25.87751246815627,19.585708017457424,7.022009062351534
9.09,0.9099099099099099,-11.83902387278948,-11.838014130806771,-11.829504968923892,25.887257247022507,7.027720445868488,-18.12345275461662,19.602092527154056,13.308711033908196,7.016217800063622,13.305494948631747,-36.97536819859453,19.602572539660546,7.034336928345773,-30.68429974233038,-30.69925268780175,-11.84565436117641,44.73905004841042,-18.12540634061346,-30.686102962410622,-36.97993798808384,-11.822314969041438,25.8858942803627,-18.120453462229246,38.441990878309454,44.73699834740324,-36.971976745033494,25.87772912247397,19.585834982232736,7.0219702922099945
9.1,0.9109109109109109,-11.838989397776418,-11.83802322664881,-11.82957289443167,25.887118366707167,7.027628462660854,-18.12343169302172,19.601995505411285,13.308622314834757,7.016249388164077,13.305632719664011,-36.975351498077195,19.60246932544556,7.034174817675815,-30.684359082020165,-30.69915881430725,-11.845577367462921,44.739046507348306,-18.125211477562672,-30.686203413344426,-36.97991024093884,-11.822435304054945,25.885757362535045,-18.120500718826026,38.442000565709336,44.73730259029677,-36.97199987359974,25.877943232874824,19.585960095941708,7.0219319844088
9.11,0.9119119119119119,-11.83895537423666,-11.838032177194709,-11.829639812836728,25.886981244144476,7.027537632211492,-18.123410529060422,19.601899538302845,13.308534769551802,7.016280471202948,13.305768034632415,-36.97533483079248,19.602367212559983,7.034014845694893,-30.684417459283438,-30.699066310183355,-11.845500934356307,44.73904238858766,-18.125018952732237,-30.686302267911667,-36.9798827007676,-11.822554107224418,25.885622138519437,-18.120547186472393,38.442010152534394,44.7376027974902,-36.972022683665045,25.878154822704694,19.58608338201532,7.021894134170398
9.120000000000001,0.9129129129129129,-11.838921796242262,-11.838040983053883,-11.829705737049126,25.88684585747198,7.027447940970235,-18.123389267241695,19.60180461486295,13.308448383813449,7.016311057179872,13.305900931614419,-36.975318197105935,19.60226618977724,7.03385698581332,-30.684474886663438,-30.69897515404074,-11.84542505866269,44.73903770538185,-18.124828742007647,-30.686399546737423,-36.97985536418181,-11.822671396568973,25.885488588020806,-18.120592875117417,38.4420196385367,44.73789901083455,-36.972045177520656,25.878363915135715,19.58620486362431,7.021856736761804
9.13,0.9139139139139139,-11.838888657920455,-11.838049644842657,-11.829770679831167,25.88671218507908,7.027359375535397,-18.12336791199799,19.601710724224155,13.308363143532306,7.01634115397808,13.306031448151016,-36.97530159736803,19.602166245972533,7.033701211739059,-30.684531376560116,-30.698885324799615,-11.845349737200413,44.73903247075469,-18.12464082146581,-30.68649527021397,-36.979828227850795,-11.822787189906766,25.885356690971175,-18.120637794599048,38.442029023491884,44.738191271840485,-36.97206735745057,25.87857053316735,19.58632456368154,7.021819787494166
9.14,0.914914914914915,-11.838855953453553,-11.838058163184114,-11.829834653798832,25.8865802056045,7.027271922652277,-18.12334646768602,19.601617855616688,13.308279034777886,7.016370769365933,13.306159621253471,-36.97528503191447,19.602067370122015,7.033547497475025,-30.684586941231476,-30.69879680168562,-11.84527496679984,44.73902669750383,-18.12445516737446,-30.68658945850291,-36.97980128850066,-11.822901504857215,25.885226427527293,-18.12068195464523,38.442038307198665,44.738479621679666,-36.972089225731466,25.87877469962745,19.586442504844353,7.021783281722332
9.15,0.9159159159159159,-11.838823677078851,-11.838066538707938,-11.829897671423215,25.886449897933755,7.027185569211667,-18.12332493858757,19.601525998367762,13.308196043775046,7.016399910998458,13.306285487410001,-36.97526850106657,19.601969551301963,7.033395817316409,-30.684641592794907,-30.698709564225744,-11.845200744303131,44.73902039820405,-18.124271756191554,-30.686682131537307,-36.979774542913496,-11.823014358843187,25.88509777806828,-18.12072536487501,38.44204748947839,44.73876410118628,-36.97211078463268,25.878976437173293,19.5865587095169,7.02174721484443
9.16,0.9169169169169169,-11.83879182308851,-11.838074772050277,-11.829959745031942,25.88632124119665,7.027100302248385,-18.123303328910264,19.601435141900904,13.308114156902432,7.01642858641885,13.306409082592372,-36.97525200513164,19.601872778687966,7.033246145847999,-30.684695343228498,-30.698623592244317,-11.845127066564057,44.73901358521048,-18.12409056456465,-30.68677330902377,-36.9797479879266,-11.823125769093153,25.88497072319332,-18.12076803479963,38.442056570174586,44.73904475085849,-36.97213203641616,25.879175768292626,19.586673199852477,7.021711582301447
9.17,0.9179179179179179,-11.838760385829431,-11.838082863853574,-11.830020886810583,25.8861942147648,7.02701610893981,-18.123281642788374,19.60134527573528,13.30803336069094,7.016456803059962,13.306530442262433,-36.975235544403255,19.60177704155412,7.0330984579415246,-30.684748204372358,-30.69853886585904,-11.8450539304478,44.739006270661875,-18.123911569330286,-30.686863010444576,-36.97972162043168,-11.82323575264333,25.884845243719358,-18.120809973823626,38.44206554915248,44.739321610859946,-36.97215298333642,25.87937271530469,19.58678599775582,7.021676379576821
