t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42
0.17,0.017017017017017015,-17.833047130811448,-40.2671042579132,3.067976003034457,-27.04336928494809,-20.611740728999877,9.922323063762285,33.8307188976226,-11.6448146895742,-0.19331042076698396,19.662505904172285,-9.161028728056568,34.017716391339604,-31.43101799723149,26.321954090686305,35.58290578080146,-11.395200819191517,12.840966708081316,27.04309603881244,16.299014539705926,-9.493258136978243,-8.73298866289916,1.228331782872182,-1.7706537387349401,11.378133390470282,37.620691225726766,-23.93018747807932,8.534968069685979,-28.310155483655144,-25.398870535807788,-3.5854026704669746,6.904838122625032,-35.08391887003026,-16.64168078718449,18.15137617055319,-3.585863920129822,13.950094073236263,6.885456134895319,7.981145914834311,-6.373470857079384,-7.48898293196917,36.5445372488584,-14.611224130006692,-9.793813689683526
0.18,0.018018018018018018,-17.833310387261918,-40.26798182741519,3.0678401527414647,-27.043891852839362,-20.61197024598506,9.92172483154966,33.83131700651486,-11.644649895047117,-0.1931901014118757,19.663244380194982,-9.161422633312053,34.01772913825873,-31.431605650056415,26.322643519627,35.58305852521697,-11.394616484436302,12.841748604834624,27.043920199884194,16.299446473129844,-9.493688345198683,-8.733554744574818,1.2285797117828965,-1.7703057955116317,11.378178210200401,37.621393791337,-23.930422056204442,8.535251248236742,-28.311038786826348,-25.399024559648797,-3.585274900505767,6.905122244114267,-35.084880671534364,-16.642128930194804,18.151791119523544,-3.5857840500285136,13.950326283999004,6.885767047398355,7.981343297486092,-6.3736332172666845,-7.489379185882696,36.54501770995361,-14.611509395655657,-9.79453617760762
0.19,0.01901901901901902,-17.833568231049505,-40.268863843716375,3.0676927965034566,-27.0444134257599,-20.61218888466947,9.921079584896127,33.831910247732736,-11.644461426282962,-0.19306231333311663,19.664003288588347,-9.161829067748982,34.017702629553526,-31.4321906836674,26.323342873716474,35.58317824000597,-11.393983770367473,12.842562046841008,27.044760871369377,16.299884357247027,-9.4941327291883,-8.734143368217316,1.2288410064951862,-1.7699355304712505,11.378212461505575,37.62209353467461,-23.93064205494876,8.535541205153532,-28.311940895431114,-25.399157638617407,-3.585135707778302,6.905415256046973,-35.085857692575665,-16.64258391272813,18.152209258034755,-3.585695233178634,13.950556125790127,6.886088821481056,7.9815430978335815,-6.373797399839152,-7.4897899656126405,36.54548349573239,-14.611794711754394,-9.795289110687452
0.2,0.02002002002002002,-17.83382067176907,-40.26975034830458,3.0675339248377385,-27.044934018123687,-20.612396645210534,9.920387276663586,33.83249856939602,-11.64424925685643,-0.19292702464340297,19.664782641234037,-9.162248056480369,34.01763684836198,-31.432773060436332,26.32405220825858,35.5832648855305,-11.393302609725746,12.843407106600957,27.04561803003278,16.300328136047852,-9.494591319107878,-8.734754484380314,1.2291156821713487,-1.769542986024333,11.378236147944166,37.622790457445916,-23.93084744559202,8.535837949712667,-28.31286186741273,-25.39926975880114,-3.5849851469148626,6.905717183331607,-35.08684994643424,-16.643045748635757,18.152630584321024,-3.585597491388213,13.950783626948095,6.886421516946431,7.981745343128387,-6.373963380929584,-7.490215297509266,36.54593459727811,-14.612080138120417,-9.796072411812736
0.21,0.02102102102102102,-17.83406771751218,-40.27064138597819,3.06736352743589,-27.04545364424702,-20.61259352743088,9.919647856856937,33.833081918415715,-11.644013359656062,-0.1927842009920159,19.665582450376416,-9.162679626189426,34.017531775279025,-31.433352739768733,26.324771581751442,35.58331842082583,-11.392572933123615,12.844283859014414,27.046491651896293,16.300777751472577,-9.495064146436432,-8.735388041465612,1.2294037547679422,-1.7691282065154574,11.378249273090196,37.62348456233436,-23.931038198761453,8.536141490876869,-28.31380176455187,-25.399360904425116,-3.5848232750681492,6.906028052517739,-35.087857447179545,-16.643514452648436,18.15305509621149,-3.585490847357727,13.951008815994637,6.8867651945755135,7.9819500620870985,-6.374131134910014,-7.4906552088668015,36.54637100529862,-14.612365736031169,-9.796886000384948
0.22,0.022022022022022022,-17.83430937486257,-40.27153700485155,3.0671815931733093,-27.045972318354433,-20.61277953082281,9.918861272663964,33.833660240491476,-11.643753706892378,-0.19263380555684773,19.66640272861772,-9.163123805127919,34.01738738838051,-31.433929678084443,26.325501055882864,35.583338803597826,-11.391794669097422,12.845192381366596,27.04738171219723,16.30123314340162,-9.495551243978108,-8.736043985723516,1.2297052410342124,-1.7686912382214626,11.3782518405296,37.62417585300711,-23.931214284428307,8.536451837290858,-28.314760652453664,-25.399431057840932,-3.584650151919262,6.906347891801867,-35.08888020965078,-16.64399004037001,18.153482791135957,-3.585375324691612,13.951231721638804,6.887119916147821,7.9821572848894045,-6.374300634380284,-7.4911097279259735,36.546792710123356,-14.612651568246962,-9.797729792312694
0.23,0.023023023023023025,-17.83454564889129,-40.2724372563604,3.066988110119392,-27.046490054584506,-20.612954654552883,9.918027468497407,33.83423348010968,-11.643470270106427,-0.1924757990356172,19.667243488913236,-9.163580623114521,34.017203663248765,-31.43450382879714,26.32624069552517,35.58332599022043,-11.390967744162792,12.846132753313011,27.048288185344827,16.301694249645337,-9.496052645869465,-8.736722261253517,1.2300201585101398,-1.7682321293495844,11.378243853856473,37.62486433412179,-23.93137567190428,8.536768997276718,-28.31573860053442,-25.399480199514983,-3.5844658396840092,6.906676731033146,-35.08991824943696,-16.644472528270974,18.15391366613085,-3.585250947910529,13.951452372781082,6.887485744462672,7.982367043175989,-6.374471850155814,-7.491578883876619,36.54719970170039,-14.612937699034804,-9.79860370000681
0.24,0.024024024024024024,-17.834776543151445,-40.2733421952673,3.0667830655483495,-27.047006866995446,-20.6131188974667,9.917146386039253,33.83480158054209,-11.643163020178834,-0.192310139636272,19.6681047445665,-9.164050111533193,34.01698057299957,-31.435075142292682,26.326990568729478,35.58327993573356,-11.390092082873513,12.847105056863672,27.049211044874905,16.302161005933282,-9.496568387587127,-8.737422810005272,1.2303485255241031,-1.767750930035506,11.378225316669283,37.625550011333466,-23.93152232983793,8.537092978829012,-28.316735682007867,-25.39950830801622,-3.584270403119532,6.907014601719011,-35.09097158285662,-16.644961933682,18.154347717845333,-3.5851177424643863,13.951670798517611,6.887862743361373,7.9825793700461904,-6.374644751254559,-7.492062706860371,36.5475919695932,-14.6132241941931,-9.79950763237521
0.25,0.025025025025025023,-17.835002059672615,-40.27425187966715,3.0665664459506705,-27.04752276957055,-20.61327225809382,9.916217964287283,33.83536448384513,-11.642831927339287,-0.1921367830665752,19.668986509224464,-9.164532303331564,34.01671808831082,-31.435643565906283,26.3277507467194,35.58320059384118,-11.38916760788391,12.84810937636645,27.050150263402678,16.30263334590299,-9.497098505955798,-8.738145571779906,1.2306903611901534,-1.7672476923413167,11.378196232567062,37.626232891301804,-23.931654226211023,8.537423789609658,-28.31775197387098,-25.399515360003328,-3.5840639095312308,6.907361537030709,-35.09204022693723,-16.645458274787398,18.154784942547657,-3.5849757347461098,13.951887028144466,6.888250977750274,7.982794300055426,-6.374819304883153,-7.492561227973421,36.54796950297729,-14.61351112107725,-9.800441494817504
0.26,0.026026026026026026,-17.83522219895488,-40.275166370992686,3.066338237045236,-27.048037776223488,-20.61341473465288,9.915242139603915,33.83592213085985,-11.642476961176497,-0.191955682522874,19.66988879687271,-9.16502723301931,34.016416177452626,-31.436209043898508,26.3285213038841,35.58308791690971,-11.388194240014736,12.849145798489566,27.051105812573716,16.30311120108822,-9.497643039156657,-8.738890484231648,1.2310456854048963,-1.7667224702533775,11.378156605145568,37.626912981698425,-23.931771328334843,8.537761436942567,-28.318787556889333,-25.399501330211354,-3.58384642877999,6.90771757180873,-35.09312419939431,-16.64596157061849,18.155225336131718,-3.584824952106167,13.95210109116204,6.88865051362471,7.983011869212363,-6.374995476422229,-7.493074479269349,36.54833229063663,-14.613798548626157,-9.801405189219375
