t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
0.33,0.03303303303303303,5.188023422419821,9.171367457762079,-14.216764058099193,-18.64926858884475,28.602787313099636,-22.507384912653432,-24.421855580474766,31.442375788506045,-5.128851209915695,7.066609735821364,24.2176111756374,-18.231842052468114,4.984779094432452,-6.645536009878815
0.34,0.03403403403403403,5.1886433030162795,9.17097091952258,-14.21584191263446,-18.649784598729354,28.60291103308822,-22.508294643930583,-24.422853008814865,31.44237783493361,-5.128715705458801,7.066828117329019,24.2179639791191,-18.231965384691154,4.9853729185800475,-6.645561275985605
0.35000000000000003,0.035035035035035036,5.189278642337715,9.170556756633177,-14.214882483015083,-18.65030518407012,28.603021168380447,-22.50921877018822,-24.423866097445163,31.442360968918155,-5.128572931198354,7.067048417727085,24.218313290783644,-18.23208131735384,4.985982190675234,-6.645583076840647
0.36,0.036036036036036036,5.189929416819148,9.170124956915217,-14.213885708166325,-18.650830357168097,28.60311770977976,-22.51015733013035,-24.424894872789725,31.442325197503404,-5.128422879223068,7.0672705937699645,24.218659137668833,-18.2321898372702,4.986606947015488,-6.6456013993800145
0.37,0.037037037037037035,5.190595602146779,9.169675507609922,-14.212851525527237,-18.65136013005928,28.60320064739517,-22.511110363356757,-24.425939362030626,31.44227052811654,-5.128265541099548,7.067494600964373,24.21900154716003,-18.232290930586807,4.987247224874498,-6.645616230263022
0.38,0.03803803803803804,5.191277173255824,9.169208395380826,-14.211779871078376,-18.65189451450539,28.603269970640067,-22.5120779103626,-24.426999593094987,31.442196968580948,-5.128100907873991,7.067720393567134,24.219340546993635,-18.23238458278396,4.987903062497912,-6.645627555873002
0.39,0.03903903903903904,5.19197410432827,9.168723606316334,-14.210670679370754,-18.652433521984232,28.603325668230966,-22.513060012538027,-24.428075594641587,31.442104527129526,-5.1279289700739845,7.067947924583034,24.219676165260648,-18.23247077867704,4.988574499098996,-6.645635362318108
0.4,0.04004004004004004,5.1926863687905325,9.168221125932408,-14.209523883556022,-18.652977163679726,28.603367728186228,-22.514056712167804,-24.429167396046992,31.441993212418662,-5.1277497177104,7.068177145762743,24.22000843041029,-18.232549502417875,4.989261574854153,-6.645639635432157
0.41000000000000003,0.04104104104104104,5.193413939311042,9.167700939175392,-14.208339415417923,-18.653525450471513,28.60339613782472,-22.515068052430934,-24.43027502739126,31.4418630335428,-5.127563140279389,7.068408007600798,24.220337371253684,-18.23262073749622,4.989964330898334,-6.645640360775499
0.42,0.04204204204204204,5.194156787797739,9.16716303042496,-14.207117205405028,-18.654078392924195,28.603410883764436,-22.516094077400297,-24.431398519443132,31.441714000049632,-5.127369226764478,7.068640459333678,24.220663016967638,-18.23268446674131,4.990682809320314,-6.645637523635925
