t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31
1.01,0.1011011011011011,-19.19590586928188,-35.802029429005636,13.140987584279928,8.940019471415802,27.7425567520992,-20.452727779983654,36.95210471366714,11.372944162987926,1.9031425033027678,-27.145831210461328,-35.96671983370307,-29.447227121930734,8.459412861738516,-22.043441204041685,12.670244541809444,34.05050186793258,1.0611672573210278,-31.547597843258366,-39.48050339978581,30.314796445986726,5.8944363478566935,-18.67329912145674,8.460510098799528,26.086611543689084,12.573406752505928,12.754225603691536,21.94349576080314,22.65187048305046,-37.05699477779587,-34.28943186707051,29.554325127920034,27.01379622590882
1.02,0.1021021021021021,-19.196709284031442,-35.80317901717431,13.142150665401333,8.941333871302495,27.74308153662278,-20.451839433199016,36.953453324129605,11.375573792100287,1.900461410761994,-27.146590111621645,-35.9702757621891,-29.44589122427133,8.458033110269245,-22.043544101875934,12.670730340233764,34.04867525720974,1.0611713564962253,-31.54952178071796,-39.4801337727819,30.316810090463367,5.898306014105427,-18.67201844813089,8.457785248778572,26.086981680827822,12.573949196709435,12.755217382765823,21.945219853414443,22.650853446845236,-37.056726140500515,-34.292150368320875,29.554723749205742,27.01291476616258
1.03,0.1031031031031031,-19.19751637979931,-35.80433557978417,13.14332511656885,8.942655952162099,27.743602130761143,-20.450934894375944,36.95481197354575,11.378228325747099,1.897755286649683,-27.1473500859986,-35.973858598595974,-29.44454001974347,8.456634180069528,-22.043645614451766,12.671223403891497,34.04682284510466,1.0611746257415624,-31.55144395289557,-39.47975144706839,30.31884427982341,5.902209913738102,-18.670716889721703,8.455022561534088,26.087348598360624,12.574501319751812,12.756223249288377,21.946950216506195,22.649821518603655,-37.056451334512786,-34.29489825425279,29.55512270029375,27.012011502049607
1.04,0.1041041041041041,-19.19832713472656,-35.805499207389644,13.144511001353694,8.943985573306842,27.744118414779646,-20.45001404531368,36.956180813148244,11.380907781528268,1.8950241953858113,-27.148111089880246,-35.977468260806795,-29.443173635417935,8.45521592632219,-22.04374581266971,12.671723907274407,34.04494460424845,1.061177039647751,-31.553364004589444,-39.47935635935454,30.320899213330485,5.906147940092531,-18.669394303082832,8.452221776482789,26.087712260781394,12.575063302976083,12.757243417436738,21.94868667295162,22.648774680403825,-37.056170469609235,-34.297675805679525,29.555522052744774,27.01108620331561
1.05,0.10510510510510511,-19.19914152646624,-35.80666999197106,13.145708383356824,8.945322591422954,27.744630267582412,-20.44907676573966,36.957559996948255,11.38361217736413,1.8922682025556183,-27.148873078484364,-35.9811046639148,-29.44179220082202,8.453778201252204,-22.04384476852456,12.672232027654893,34.043040507324676,1.0611785724016383,-31.555281579508154,-39.47894844477202,30.322975092777416,5.9101199846318995,-18.668050543778786,8.449382631576517,26.088072632704257,12.575635328356704,12.758278103811461,21.950429044172544,22.647712914134345,-37.05588365664358,-34.30048330738477,29.555921878931876,27.0101386380404
1.06,0.1061061061061061,-19.19995953217645,-35.807848026950914,13.146917326176414,8.946666860546213,27.745137566707516,-20.44812293327736,36.958949681758895,11.386341531521175,1.889487374930049,-27.1496360059365,-35.98476772017704,-29.440395847986082,8.452320854083801,-22.043942555108572,12.672747945098632,34.04111052708816,1.0611791977813232,-31.557196320303007,-39.47852763684819,30.325072122510257,5.914125936925628,-18.66668546611601,8.446504863384503,26.08842967887122,12.576217578444805,12.75932752740672,21.952177150141527,22.646636201500375,-37.055591007550355,-34.303321048174936,29.5563222520383,27.009168572680903
1.07,0.10710710710710711,-19.20078112851335,-35.80903340721027,13.148137893374289,8.948018232037592,27.745640188322188,-20.44715242341349,36.960350027218176,11.389095862638333,1.8866817804865954,-27.150399825247636,-35.98845733896811,-29.43898471149065,8.450843730997544,-22.044039246614393,12.673271842476415,34.03915463638426,1.0611788891510545,-31.55910786860001,-39.47809386747868,30.327190509452606,5.918165684630082,-18.665298923175428,8.4435882071795,26.08878336415995,12.576810236311806,12.760391909578217,21.953930809384172,22.645544524029606,-37.055292635348536,-34.30618932093168,29.55672324605524,27.008175772115578
1.08,0.10810810810810811,-19.20160629162399,-35.810226229105425,13.149370148441287,8.949376554559056,27.74613800721808,-20.44616510946458,36.96176119581138,11.391875189753778,1.8838514884305448,-27.151164488291542,-35.99217342673391,-29.437558928514147,8.449346675087426,-22.044134918337793,12.67380390547513,34.03717280816875,1.0611776194559062,-31.56101586503138,-39.47764706689925,30.32933046313011,5.922239113469129,-18.66389076684648,8.440632397027924,26.08913365359171,12.577413485491373,12.761471474008305,21.9556898389816,22.644437863078124,-37.05498865414514,-34.30908842266475,29.557124935779527,27.007159999690234
1.09,0.1091091091091091,-19.202434997139054,-35.81142659048473,13.150614154761557,8.950741674049475,27.74663089680657,-20.445160862542938,36.96318335289279,11.394679532332287,1.8809965692166368,-27.15192994578178,-35.99591588694551,-29.436118638881155,8.447829526318005,-22.044229646680147,12.67434432260787,34.03516501552808,1.061175361216223,-31.562919949266583,-39.477187163657014,30.33149219569521,5.926346107214539,-18.6624608478627,8.43763716588409,26.08948051233937,12.578027509919679,12.762566446668218,21.957454054573102,22.643316199836146,-37.05467917913877,-34.31201865456507,29.55752739681127,27.006121017265315
1.1,0.11011011011011011,-19.20326722016548,-35.81263459070566,13.151869975575735,8.952113433700726,27.74711872911414,-20.44413955152195,36.96461666670684,11.397508910293135,1.8781170945711372,-27.152696147248367,-35.999684620053095,-29.43466398511129,8.446292121481621,-22.044323509150654,12.674893285223114,34.0331312317003,1.0611720865218335,-31.5648197600429,-39.47671408458079,30.33367592195209,5.930486547666196,-18.66100901583886,8.43460224568869,26.0898239057356,12.578652493873957,12.763677055777336,21.95922327035899,22.642179515333613,-37.05436432662307,-34.31498032205802,29.557930705551396,27.005058585264674
