t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
8.16,0.8168168168168168,15.394767830915887,-15.550847449174993,34.560320837672165,-28.861830678705555,-16.18574722436218,28.367920336583293,-28.405862221953434,2.7984296975967236,28.647803769911505,-9.681341105360032,-15.760093200053433,21.487632918606252,-21.95485256332118,-3.1965388085531568,2.9869886936482044,-21.795587037915563,22.079294209610175,15.745170788504323,-9.261753867296557
8.17,0.8178178178178178,15.396715330522742,-15.556101630419215,34.55981110979654,-28.856648757757004,-16.181848281366474,28.366290504140423,-28.405838654509274,2.801181723967324,28.642974832236575,-9.679812203207923,-15.761067993641012,21.49361948525513,-21.95622652427784,-3.196929105246652,2.987256828624612,-21.798141432750413,22.07813031597213,15.744085489914504,-9.263576110901726
8.18,0.8188188188188188,15.39865482475232,-15.561251335287935,34.5593062779347,-28.851508403109538,-16.17798893155921,28.36467067657993,-28.405807156428196,2.8039156216840455,28.638179280592816,-9.678299326175155,-15.76202808590223,21.49950737263752,-21.957590164176715,-3.1973131904513337,2.9875315805860145,-21.80068634944506,22.076971389431026,15.743004982189818,-9.265394137500383
8.19,0.8198198198198198,15.400586197458782,-15.566298262097419,34.55880625295185,-28.8464097686843,-16.174168793568555,28.363060929714067,-28.40576791942258,2.8066310595299457,28.63341743495381,-9.67680224799377,-15.762973540157383,21.50529813742308,-21.958943499637304,-3.197691123927996,2.987812755604422,-21.80322160464078,22.07581745623217,15.74192929662934,-9.267207834014934
8.2,0.8208208208208209,15.402509333949713,-15.571244109728996,34.558310945843616,-28.841352989794807,-16.17038748934305,28.361461335938117,-28.405721134354078,2.8093277262033425,28.62868959571394,-9.675320746207145,-15.763904427079394,21.51099333512638,-21.96028654704131,-3.198062966719204,2.9881001613443208,-21.805747016799973,22.074668541997944,15.740858465684939,-9.269017088381917
8.21,0.8218218218218218,15.404424121082457,-15.576090575522903,34.55782026785065,-28.836338183562983,-16.166644644156783,28.359871964223416,-28.405666991104937,2.8120053298618157,28.62399604405675,-9.673854602156531,-15.764820824387964,21.516594518164837,-21.961619322627477,-3.1984287810817746,2.9883936071164303,-21.808262406385378,22.07352467173347,15.73979252282655,-9.270821789577214
8.22,0.8228228228228228,15.406330447355904,-15.580839353307372,34.557334130567824,-28.83136544934341,-16.162939886612268,28.358292880114778,-28.40560567845529,2.8146635976564913,28.619337042331257,-9.672403600964982,-15.765722816539139,21.52210323404839,-21.96294184258205,-3.1987886304194766,2.9886929039300667,-21.810767596030598,22.07238586983167,15.738731502411957,-9.27262182764133
8.23,0.8238238238238238,15.408228202997726,-15.585492131558377,34.55685244604811,-28.826434869154426,-16.15927284864106,28.356724145732215,-28.405537383966404,2.817302275258351,28.614712834435103,-9.670967531518707,-15.766610494411816,21.527521023696256,-21.964254123124825,-3.199142579216042,2.988997864544043,-21.81326241070196,22.07125216007777,15.737675439561128,-9.274417093704663
8.24,0.8248248248248248,15.410117280047073,-15.590050591685364,34.55637512690117,-28.82154650811495,-16.155643165502216,28.35516581977683,-28.405462293869775,2.819921126378211,28.610123646203398,-9.669546186445883,-15.767483954992581,21.532849419875962,-21.96555618059082,-3.199490692968591,2.9893083035160295,-21.815746677851767,22.070123565653287,15.736624370035107,-9.276207480012697
8.25,0.8258258258258259,15.411997572432751,-15.594516406438197,34.5559020863867,-28.81670041488578,-16.15205047577867,28.353617957540692,-28.40538059296207,2.8225199322819137,28.605569685802234,-9.66813936209298,-15.76834330106017,21.53808994575988,-21.966848031507602,-3.199833038121552,2.9896240372503176,-21.818220227563017,22.069000109139562,15.735578330119491,-9.277992879951071
