t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
0.3,0.03003003003003003,3.2991966629379026,40.09031056447931,-35.8351091090627,4.137298967772152,37.40429239648623,-11.726413535625051,-19.61344118457319,-29.263928292888373,-22.239855402900037,38.325896840760606,-34.53526716568852,-35.488568119017046,24.899824734436095,16.78880615893148,-23.742631835554473,-14.938020967310901,24.885479939874383,-29.658280953143233,40.861679076576976,28.145918838335128
0.31,0.031031031031031032,3.298663807161375,40.09135755386127,-35.835453534129364,4.137594783794166,37.404793551752306,-11.727354050057592,-19.61358491516812,-29.264073437138293,-22.2399679064287,38.32680537182777,-34.53600926970581,-35.48941599254803,24.9008151400573,16.788596123281796,-23.743957208796658,-14.93870264479063,24.88665099922056,-29.658339942976284,40.862294899131946,28.14647428647773
0.32,0.03203203203203203,3.298110736360992,40.09241213612839,-35.83578533539844,4.137897287971108,37.40528690040931,-11.728316984449389,-19.613720072945554,-29.264204323673972,-22.240069721866593,38.327718591770584,-34.53675294202906,-35.49026829812574,24.901822026241586,16.788368202600196,-23.745311210646513,-14.939396893528247,24.887845141143384,-29.658380894750483,40.86290383192452,28.147029437690666
0.33,0.03303303303303303,3.297537432704549,40.09347426731208,-35.83610450534019,4.138206439678552,37.40577247261772,-11.729302248109727,-19.613846637343904,-29.26432099520197,-22.240160880601998,38.32863649959606,-34.53749817522527,-35.4911250321502,24.902845377515774,16.788122414497717,-23.746693863912505,-14.940103699273212,24.889062406121234,-29.65840379443917,40.86350585389111,28.14758428249007
0.34,0.03403403403403403,3.296943878201866,40.09454390297423,-35.83641103656238,4.1385221974746305,37.40625029936317,-11.730309748018529,-19.613964587224935,-29.26442349540818,-22.240241414546507,38.32955909465671,-34.53824496184085,-35.491986191240564,24.9038851768554,16.787858776980322,-23.748105191528428,-14.940823047101967,24.890302834483826,-29.65840862770989,40.8641009436673,28.148138811351497
0.35000000000000003,0.035035035035035036,3.2963300547046934,40.09562099820563,-35.83670492181106,4.138844519099048,37.406720412454625,-11.73133938880502,-19.614073900880793,-29.264511868958692,-22.240311356136324,38.330486376652026,-34.53899329440146,-35.49285177223379,24.90494140566834,16.78757730845039,-23.74954521651498,-14.941554921416484,24.891566466383573,-29.658395379926663,40.8646890795857,28.148693014707963
0.36,0.036036036036036036,3.2956959439066806,40.09670550762451,-35.83698615397139,4.139173361472109,37.407182844522374,-11.732391072726147,-19.614174556041267,-29.2645861615007,-22.240370738333525,38.331418345630034,-34.53974316541169,-35.49372177218324,24.90601404377824,16.78727802770824,-23.751013961940405,-14.942299305942827,24.89285334176632,-29.658364036152474,40.8652702396739,28.149246882947978
0.37,0.037037037037037035,3.2950415273434186,40.09779738537504,-35.83725472606855,4.139508680693787,37.40763762901598,-11.733464699644772,-19.6142665298813,-29.264646419663492,-22.24041959462732,38.33235500198888,-34.54049456735491,-35.494596188357185,24.90710306940778,16.786960953953646,-23.75251145088016,-14.94305618372969,24.89416350034141,-29.658314581151913,40.86584440165244,28.14980040641364
0.38,0.03803803803803804,3.294366786392548,40.09889658512578,-35.83751063126881,4.139850432042819,37.40808480020202,-11.734560167007668,-19.61434979902874,-29.264692691059505,-22.240457959035293,38.33329634647844,-34.541247492692946,-35.495475018237165,24.908208459161752,16.786626106787374,-23.754037706375655,-14.94382553714695,24.89549698155114,-29.658246999394017,40.86641154293288,28.150353575398725
0.39,0.03903903903903904,3.2936717022739344,40.10000306006824,-35.837753862880625,4.140198569975834,37.40852439316176,-11.735677369823335,-19.61442433957239,-29.264725024285426,-22.240485866104635,38.33424238020203,-34.542001933865855,-35.4963582595163,24.90933018801002,16.786273506212744,-23.755592751391998,-14.944607347884205,24.89685382453955,-29.658161275055303,40.86697164061587,28.150906380146818
0.4,0.04004004004004004,3.2929562560499064,40.10111676291535,-35.83798441435584,4.140553048126509,37.40895644378868,-11.736816200639643,-19.614490127070255,-29.264743468923363,-22.240503350913333,38.33519310461812,-34.542757883291685,-35.49724591009747,24.910468229270286,16.78590317263719,-23.7571766087748,-14.945401596949328,24.898234068120594,-29.658057392022965,40.867524671489306,28.15145881084947
0.41000000000000003,0.04104104104104104,3.292220428625559,40.10223764590001,-35.83820227929102,4.140913819304757,37.409380988785855,-11.737976549521342,-19.61454713655809,-29.264748075542055,-22.24051044907136,38.33614852154214,-34.5435153333662,-35.49813796809136,24.911622554590767,16.785515126873825,-23.758789301206004,-14.946208264667025,24.899637750745654,-29.657935333898287,40.86807061202653,28.152010857644388
0.42,0.04204204204204204,3.2914642007491164,40.10336566077359,-35.83840745142885,4.141280835495953,37.40979806566323,-11.739158304027452,-19.614595342558196,-29.264738895698127,-22.240507196721815,38.3371086331483,-34.5442742764626,-35.49903443181446,24.912793133932723,16.78510939014303,-23.760430851158752,-14.947027330677393,24.901064910470453,-29.65779508400022,40.868609438384574,28.15256251061364
0.43,0.043043043043043044,3.290687553012358,40.1045007588045,-35.838599924659626,4.141654047860189,37.41020771273475,-11.740361349188548,-19.614634719088475,-29.264715981937396,-22.240493630542066,38.33807344197147,-34.5450347049313,-35.49993529978685,24.9139799355529,16.784685984074045,-23.762101280851272,-14.947858773934504,24.902515584921307,-29.65763662536916,40.86914112640252,28.153113759781913
0.44,0.044044044044044044,3.2898904658510992,40.10564289077672,-35.838779693022865,4.142033406731556,37.410609969115356,-11.741585567483979,-19.614665239671737,-29.264679387796207,-22.240469787744836,38.33904295090914,-34.5457966110996,-35.50084057072997,24.91518292598585,16.78424493070656,-23.763800612199816,-14.948702572704983,24.90398981126078,-29.657459940770906,40.86966565159981,28.153664595114773
0.45,0.04504504504504504,3.2890729195457333,40.10679200698842,-35.83894675070898,4.142418861617473,37.41100487471785,-11.74283083881902,-19.614686877345303,-29.264629167802806,-22.240435706079268,38.34001716322341,-34.54655998727148,-35.50175024356418,24.916402070026205,16.783786252492323,-23.7655288667706,-14.949558704566622,24.90548762615269,-29.657265012700822,40.870182989174744,28.154215006516985
0.46,0.04604604604604605,3.2882348942218256,40.1079480572505,-35.83910109206108,4.14281036119804,37.41139247024962,-11.744097040502009,-19.614699604670843,-29.26456537747873,-22.240391423831955,38.34099608254302,-34.547324825727294,-35.502664317406264,24.917637330710857,16.78330997229674,-23.767286065730808,-14.950427146407005,24.90700906572654,-29.657051823388176,40.87069311400292,28.15476498383085
0.47000000000000003,0.04704704704704705,3.287376369850764,40.10911099088525,-35.83924271157685,4.143207853325432,37.41177279720925,-11.745384047221469,-19.61470339374449,-29.264488073340235,-22.240336979827937,38.34197971286548,-34.54809111872353,-35.503582791566735,24.918888669301086,16.78281611340048,-23.769072229798596,-14.95130787442215,24.908554165541283,-29.65682035480068,40.87119600063582,28.15531451683459
0.48,0.04804804804804805,3.28649732625046,40.110280756724954,-35.83937160391054,4.143611285023322,37.41214589788295,-11.74669173102325,-19.61469821620724,-29.264397312899742,-22.240272413431644,38.34296805855919,-34.548858858492515,-35.504505665547086,24.920156045264665,16.78230469950109,-23.77088737919215,-14.952200864115186,24.910122960548534,-29.656570588649206,40.87169162329942,28.155863595240742
0.49,0.04904904904904905,3.2855977430861047,40.11145730311059,-35.839487763875034,4.144020602486353,37.41251181534087,-11.748019961287712,-19.614684043255593,-29.264293154667275,-22.240197764547812,38.343961124365656,-34.54962803724218,-35.505432939036844,24.921439416257932,16.781775754714612,-23.772731533577776,-14.953106090295046,24.911715485055165,-29.656302506392727,40.87217995589287,28.15641220869461
0.5,0.050050050050050046,3.284677599870968,40.11264057789048,-35.839591186444025,4.14443575107963,37.41287059343329,-11.749368604706985,-19.614660845652487,-29.264175658151927,-22.24011307362235,38.34495891540177,-34.550398647155774,-35.50636461191051,24.922738738107846,16.781229303577177,-23.77460471201701,-14.954023527075199,24.913331772685297,-29.65601608924341,40.87266097198722,28.15696034677276
0.51,0.05105105105105105,3.2837368759672514,40.11383052841904,-35.8396818667543,4.144856675338271,37.41322227678665,-11.750737525262318,-19.614628593738505,-29.264044883863335,-22.240018381643157,38.345961437162096,-34.551170680391635,-35.50730068422437,24.924053964794066,16.780665371046613,-23.776506932912792,-14.95495314787241,24.91497185634172,-29.65571131817193,40.87313464482429,28.15750799898152
0.52,0.05205205205205205,3.2827755505869844,40.11502710155551,-35.8397598001081,4.145283318966976,37.41356691079942,-11.75212658420154,-19.614587257443343,-29.263900893313128,-22.239913730140895,38.346968695521255,-34.55194412908292,-35.50824115621312,24.925385048431043,16.780083982504056,-23.778438213954676,-14.955894925405536,24.916635768166746,-29.655388173912993,40.87360094731546,28.158055154755555
0.53,0.05305305305305305,3.2817936027929666,40.11623024366277,-35.839824981975596,4.145715624839653,37.41390454163786,-11.753535640016683,-19.614536806297565,-29.263743749016392,-22.2397991611897,38.34798069673633,-34.552718985337364,-35.50918602828641,24.926731939250157,16.779485163755542,-23.780398572063078,-14.956848831694366,24.918323539502474,-29.655046636971,40.874059852040695,28.158601803456463
0.54,0.05405405405405406,3.2807910114997516,40.11743990060613,-35.83987740799747,4.146153534999071,37.41423521623163,-11.754964548421773,-19.61447720944462,-29.263573514493114,-22.239674717407862,38.34899744744934,-34.553495241237044,-35.510135301025166,24.92809458558192,16.77886894103359,-23.782388023332594,-14.957814838058486,24.920035200850513,-29.65468668762598,40.87451133124751,28.159147934371408
0.55,0.055055055055055056,3.2797677554746767,40.1186560177522,-35.839917073987564,4.146596990656566,37.41455898226921,-11.756413162330825,-19.614408435653147,-29.263390254269602,-22.239540441958408,38.35001895468977,-34.55427288883814,-35.51108897517783,24.929472933838234,16.7782353409988,-23.78440658297438,-14.958792915116206,24.921770781831157,-29.654308305939647,40.87495535685009,28.159693536711806
0.56,0.056056056056056056,3.2787238133389276,40.11987853996779,-35.83994397593565,4.147045932191786,37.414875888193244,-11.757881331836058,-19.614330453329572,-29.2631940338799,-22.239396378549678,38.35104522587714,-34.55505192017072,-35.51204705165636,24.930866928494762,16.777584390741414,-23.78645426525759,-14.959783032783525,24.92353031114201,-29.65391147176172,40.875391900428404,28.160238599612054
0.5700000000000001,0.057057057057057055,3.277659163568647,40.12110741161887,-35.83995811001029,4.147500299152474,37.41518598319566,-11.75936890418639,-19.61424323053094,-29.262984919867147,-22.239242571435792,38.3520762688236,-34.55583232723849,-35.513009531532155,24.93227651207341,16.77691611778288,-23.788531083449893,-14.960785160273144,24.9253138165161,-29.6534961647364,40.87582093322748,28.160783112128282
