t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38
7.01,0.7017017017017017,-20.054021041067468,-13.77423951671156,-1.206117184852107,-26.36163441990726,-20.06858724773292,36.50212290676376,23.927934095665734,-13.779381985865436,30.21970051034886,-7.49210411441214,-7.495932352759133,-32.65034737645173,-32.63357592498413,30.22233617070408,17.642233513578752,-20.094862768456768,23.937819617566216,-26.344402501995848,36.50435566144203,-13.792757228162605,11.375023508810044,30.22264615175903,-32.639844104379804,-20.076086996513325,5.084681570538661,-1.2007883388619005,-1.2137037819105938,30.2113973525922,-26.356469397969043,17.643764058826164,-7.494833868578851,23.94271920372292,-32.66460455381976,-26.351610440320073,42.79339104349137,11.369763696698014,-7.492525017612149,-13.783726896160532,36.511733568489454
7.0200000000000005,0.7027027027027027,-20.0541721181372,-13.774231927915258,-1.2061468686947976,-26.36158654402689,-20.068560620410274,36.50208359974293,23.92793733901434,-13.779380273629695,30.21965312921901,-7.492126637712603,-7.495912942022624,-32.650274217038984,-32.633599528863215,30.222261275147563,17.64225738940939,-20.09452109759645,23.9377314381813,-26.344466829301062,36.50430751933249,-13.792536313270833,11.374985106898418,30.222665890267997,-32.6398082083377,-20.07593261254258,5.084612363556965,-1.2008791625451278,-1.2136583907027287,30.21144883756975,-26.356456797832042,17.643783704972197,-7.494838801377199,23.94265141974799,-32.66443353192965,-26.351592657904128,42.79334672376218,11.369739944320713,-7.492749052262794,-13.783838094295048,36.51170311871779
7.03,0.7037037037037037,-20.054320459252267,-13.774224589546238,-1.2061759772371299,-26.361539191125324,-20.068534443279503,36.50204478963911,23.927940506170362,-13.779378511274057,30.2196063574345,-7.492148714731564,-7.495893948510883,-32.650201930975044,-32.63362236131267,30.222187486763744,17.6422805963922,-20.094186455798628,23.937644873248516,-26.34452962327926,36.50425999599899,-13.792319917366353,11.374947052303066,30.222684773581918,-32.639772581644834,-20.07578131154741,5.084544365624139,-1.2009683928763537,-1.2136138904405558,30.21149904251743,-26.356444130095607,17.64380277366316,-7.494843568264167,23.94258457569031,-32.664264607187604,-26.351574981927147,42.793302844262655,11.369716245768851,-7.492966732848881,-13.783947136109864,36.51167274908453
7.04,0.7047047047047047,-20.054466106910667,-13.774217496461958,-1.2062045219815996,-26.3614923518959,-20.06850870587398,36.502006467678754,23.9279435954615,-13.77937669982154,30.219560183657368,-7.49217035375349,-7.49587536352897,-32.650130503761474,-32.63364443896674,30.22211478729795,17.64230314949197,-20.093858686494073,23.937559890176235,-26.344590916701296,36.504213081009624,-13.792107952581294,11.37490933822069,30.222702816275866,-32.63973722254507,-20.075633031932437,5.084477553526272,-1.2010560565089023,-1.213570264889231,30.211547993898165,-26.356431396130727,17.643821276124406,-7.494848172542326,23.942518654130485,-32.664097751408164,-26.351557411773737,42.793259396520135,11.369692602770808,-7.493178213425523,-13.7840540526713,36.51164245783232
7.05,0.7057057057057057,-20.05460910309294,-13.774210643601835,-1.2062325142324934,-26.361446017202454,-20.068483397951198,36.501968625238035,23.92794660534386,-13.77937484029206,30.21951459680823,-7.492191562927187,-7.495857178507194,-32.650059921127784,-32.6336657781438,30.222043158745745,17.64232506335586,-20.093537636594398,23.937476456988502,-26.344650741680212,36.504166764086996,-13.791900332500907,11.374871957987327,30.222720032778255,-32.63970212926221,-20.075487713158886,5.084411904457705,-1.2011421797287611,-1.2135274980432833,30.211595717660725,-26.356418597293466,17.643839223421118,-7.4948526174729135,23.94245363793786,-32.66393293671424,-26.35153994683029,42.793216372217366,11.36966901697014,-7.493383644673609,-13.784158874723257,36.511612243269795
7.0600000000000005,0.7067067067067067,-20.05474948926536,-13.77420402598664,-1.206259965097947,-26.36140017807636,-20.068458509488707,36.501931253840695,23.927949534396955,-13.779372933701739,30.2194695860593,-7.492212350267524,-7.4958393850013945,-32.64999016902829,-32.63368639485135,30.221972583351356,17.64234635232004,-20.09322315641609,23.937394542314955,-26.344709129683288,36.50412103510687,-13.79169697214777,11.37483490507624,30.222736437369825,-32.63966730000096,-20.075345295732788,5.084347396015247,-1.2012267884574692,-1.213485574125464,30.21164223924892,-26.356405734924746,17.64385662645895,-7.49485690627528,23.94238951026749,-32.66377013553569,-26.351522586484364,42.793173763190694,11.369645489928443,-7.493583173966712,-13.784261632687764,36.51158210376986
7.07,0.7077077077077077,-20.054887306383193,-13.77419763871787,-1.206286885492039,-26.361354825713597,-20.06843403068012,36.50189434515594,23.92795238131888,-13.779370981062241,30.219425140827585,-7.492232723657153,-7.49582197469313,-32.64992123363904,-32.63370630479105,30.221903043606048,17.642367030416175,-20.092915099606152,23.93731411538085,-26.34476611154389,36.50407588409678,-13.791497787965879,11.37479817309581,30.22275204418273,-32.63963273294785,-20.0752057211931,5.084284006192413,-1.2013099082550458,-1.2134444775855264,30.21168758361068,-26.356392810350165,17.643873495984703,-7.49486104212641,23.942326254557056,-32.66360932060784,-26.35150533012411,42.79313156142822,11.36962202312811,-7.4937769454368235,-13.784362356665591,36.51155203776797
7.08,0.7087087087087087,-20.055022594893988,-13.774191476977098,-1.206313286136919,-26.361309951471895,-20.06840995193114,36.50185789099635,23.927955144921615,-13.779368983380143,30.219381250768294,-7.492252690848214,-7.495804939389753,-32.64985310135476,-32.633725523363594,30.221834522246446,17.642387111377765,-20.092613323069333,23.93723514599722,-26.344821717473142,36.504031301234626,-13.791302697804637,11.374761755787432,30.22276686719971,-32.639598426272215,-20.075068932099718,5.084221713373713,-1.2013915643229587,-1.2134041930989372,30.211731775206967,-26.35637982487985,17.6438898425871,-7.494865028160499,23.94226385452377,-32.66345046496994,-26.35148817713773,42.79308975906797,11.369598617975043,-7.493965100038923,-13.784461076436955,36.51152204376045
7.09,0.7097097097097097,-20.055155394740936,-13.774185536025287,-1.206339177564966,-26.361265546867877,-20.068386263855672,36.501821883315785,23.92795782412648,-13.779366941656335,30.219337905768423,-7.49227225946402,-7.495788271024396,-32.649785758785846,-32.63374406567363,30.221767002252786,17.642406608646397,-20.092317686896894,23.93715760455113,-26.34487597707141,36.50398727684728,-13.791111620902768,11.374725647023416,30.22278092025334,-32.63956437812707,-20.07493487202139,5.084160496328981,-1.2014717815071279,-1.2133647055655246,30.211774838020588,-26.35636677980832,17.643905676697575,-7.494868867468588,23.94220229416124,-32.66329354196361,-26.351471126913008,42.793048348396006,11.369575275801258,-7.49414777561441,-13.784557821462299,36.51149212030283
7.1000000000000005,0.7107107107107107,-20.055285745366263,-13.7741798112021,-1.2063645701209738,-26.36122160357429,-20.06836295727195,36.501786314207344,23.92796041795974,-13.77936485688544,30.219295095940534,-7.492291437000743,-7.495771961655857,-32.64971919275542,-32.633761946534555,30.22170046684713,17.642425535377825,-20.0920280542969,23.93708146199605,-26.344928919339612,36.50394380140915,-13.790924477872148,11.37468984080489,30.222794217025378,-32.63953058665006,-20.07480348552357,5.084100334207747,-1.201550584300963,-1.213326000108066,30.211816795564857,-26.356353676414408,17.643921008591143,-7.494872563098258,23.942141557736324,-32.66313852523123,-26.35145417883688,42.79300732184458,11.369551997867434,-7.494325106953401,-13.784652620883149,36.511462266008245
