t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41
4.3500000000000005,0.43543543543543545,-4.349798255320877,33.13418112746568,21.104879973161335,14.851206328690216,-29.486123082380686,33.08613098976305,-10.26297518565751,-16.979174679673807,8.555791582373029,-4.112959551240365,-22.59492191518818,27.11927002146112,-23.49037318222846,-23.168204225213373,14.134618355598557,-4.3618897034648985,-35.37137974214805,-29.551349084209676,-29.467723443365422,-4.123244795965104,2.0060795735061094,34.02191701572656,8.34585524174661,1.8775568685951856,33.367512310991216,33.27450185715909,-23.044727074918455,14.491638795649981,39.41746263334629,-22.66198307057057,14.86305399670777,20.946575271849003,33.52848288297074,27.27156067810328,-4.419912103490215,-41.6433769899136,-35.84205485071652,-41.852415516889195,8.204029114995862,-10.582680099086431,-29.649707450794164,27.104982860587242
4.36,0.4364364364364364,-4.346765551035634,33.140087604322204,21.101113756933778,14.846288094013,-29.48464633196073,33.09166743903515,-10.266297446991189,-16.976763932478185,8.552529022054946,-4.115558959537645,-22.603651045311498,27.120058431309893,-23.484662907687056,-23.168032446617524,14.146546361378283,-4.360890664246292,-35.37732732990736,-29.54908394175543,-29.46585561442697,-4.125212041483034,2.005555858987043,34.015146608481444,8.346086622176518,1.880183370734644,33.368840541622056,33.277026110205014,-23.0469994497177,14.494105599311771,39.42335658984573,-22.666546620666477,14.85824433548641,20.944512865667555,33.526169821815095,27.270599454082998,-4.415664171801572,-41.648880467143236,-35.83960643798568,-41.85780174750566,8.205308242156768,-10.582927947864963,-29.645575816059342,27.10563762057524
4.37,0.43743743743743746,-4.343812336366273,33.14592345308784,21.097400409833924,14.84147503320751,-29.483198628501412,33.09712805669433,-10.26960225701728,-16.97439171551971,8.549291109470921,-4.118103123433659,-22.612257294586673,27.120838646155747,-23.479031672311713,-23.167845572455224,14.158223273833656,-4.359888147564408,-35.38319593737921,-29.546837482829623,-29.464009506681144,-4.127157557654555,2.0050745304588857,34.008436192782774,8.346293471040182,1.8827593169009444,33.370154207115,33.279520593481394,-23.04921993358255,14.496531766161585,39.42914069296721,-22.67108711027669,14.85349980097622,20.942511992325425,33.52393343636607,27.26963312516389,-4.411506873557335,-41.65430076754239,-35.837191359957046,-41.86302722245568,8.206579904843986,-10.583156787323087,-29.641508065660286,27.106293817800815
4.38,0.43843843843843844,-4.3409371030024255,33.151688476834146,21.093739903627004,14.83676535333536,-29.48177921314354,33.10251364722496,-10.272889090129143,-16.972057384271295,8.546078324848624,-4.1205930709857075,-22.620741641363637,27.121610634056385,-23.473478683729727,-23.167644127553352,14.169652074123093,-4.358882636336709,-35.38898573186154,-29.544609976564853,-29.46218543582324,-4.129081271962998,2.00463424276326,34.001785746270336,8.346476655067695,1.8852856862492002,33.37145326697566,33.28198549391778,-23.051389291299824,14.498917657978655,39.43481705221396,-22.675604113874773,14.848820274934013,20.940571225997008,33.52177202308318,27.268662249062704,-4.407438685094411,-41.659638814459136,-35.83480939093204,-41.86809552011057,8.20784403326351,-10.583367146583518,-29.63750363318803,27.106951418456305
4.39,0.4394394394394394,-4.338138346647191,33.15738251595228,21.090132173902017,14.832157238199137,-29.48038734664375,33.10782502439642,-10.276157437974069,-16.96976030168238,8.542891124986662,-4.123029837867811,-22.629105091567276,27.122374366452053,-23.46800314696144,-23.16742862488345,14.180835868632725,-4.357874597128313,-35.39469691097669,-29.54240167735434,-29.46038370056413,-4.1309831246197835,2.0042336602841417,33.99519523002368,8.346637024240511,1.8877634476507614,33.37273769012464,33.284421003575375,-23.053508287706517,14.50126364413173,39.4403877482472,-22.68009722090709,14.844205611952436,20.938689161435676,33.519683873198844,27.267687371699065,-4.403458091718464,-41.66489553219057,-35.83246029661184,-41.87301018393689,8.209100558209984,-10.583559543582316,-29.6335619385162,27.10761038075755
4.4,0.44044044044044045,-4.335414568482597,33.16300544767392,21.086577121382753,14.827648853178854,-29.479022309312075,33.113063009802886,-10.279406809534896,-16.967499838495623,8.539729943383083,-4.125414464719841,-22.637348676551433,27.12312981818532,-23.46260426485809,-23.167199565757176,14.191777875448368,-4.356864480687526,-35.40032970177238,-29.540212825027492,-29.458604581897994,-4.1328630682957135,2.0038714590362607,33.98866458917472,8.346775411635738,1.8901935592173789,33.37400745459006,33.28682731937798,-23.055577687300502,14.503570101106625,39.44585483192662,-22.684566035803005,14.839655640300352,20.936864414070502,33.51766727610015,27.266709026874832,-4.39956358858204,-41.67007184555824,-35.830143834479124,-41.877774719715354,8.210349411181724,-10.583734485322259,-29.629682388699663,27.1082706552173
4.41,0.44144144144144143,-4.332764276545181,33.16855718552693,21.083074613255086,14.823238349793879,-29.477683400905736,33.11822843149207,-10.282636731181642,-16.965275373521862,8.536595190401666,-4.127747994671276,-22.64547345103552,27.123876967511006,-23.45728123852728,-23.166957440023474,14.202481411494466,-4.355852722451473,-35.40588435981398,-29.5380436450353,-29.45684834249334,-4.134721067838531,2.0035463285808293,33.98219375350084,8.346892633295088,1.8925769678608233,33.37526254719871,33.289204642844744,-23.057598253855076,14.505837412043162,39.45122032348789,-22.689010177956295,14.835170162769252,20.93509562008869,33.51572052248679,27.265727735997608,-4.3957536815023595,-41.67516867949318,-35.82785975418075,-41.88239259303964,8.211590524492086,-10.583892468118984,-29.625864378854445,27.10893218493611
4.42,0.44244244244244246,-4.330185987014292,33.174037678731125,21.07962448450559,14.818923869992044,-29.47636994048255,33.12332212267936,-10.285846746694453,-16.963086293876398,8.533487253473476,-4.130031471036823,-22.65348049112305,27.12461579609699,-23.45203326774606,-23.166702726266838,14.212949880339528,-4.354839743024039,-35.411361168270325,-29.535894348645105,-29.4551152262007,-4.136557099978323,2.0032569737741786,33.97578263799916,8.3469894881181,1.8949146088871338,33.376502963266766,33.2915531798254,-23.059570750038446,14.508065966281787,39.45648621184796,-22.69342928167967,14.830748957523562,20.933381436504067,33.51384190731034,27.264744007846254,-4.392026887721074,-41.68018695863064,-35.82560779791059,-41.886867227078355,8.212823831377053,-10.584033977839809,-29.62210729301819,27.10959490590824
4.43,0.44344344344344344,-4.327678225415827,33.17944691153936,21.076226539266678,14.814703550169165,-29.47508126621745,33.128344920543995,-10.289036417259192,-16.96093199517948,8.530406497331239,-4.13226593518027,-22.66137089240107,27.125346289016452,-23.446859551361676,-23.16643589200607,14.223186760663348,-4.353825948628225,-35.41676043699486,-29.53376513314412,-29.453405457670414,-4.138371153022298,2.003002116355363,33.96943114344223,8.347066757779126,1.89720740562463,33.37772870629085,33.29387314023867,-23.06149593703919,14.510256158920098,39.461654454029095,-22.697822996134228,14.826391778952864,20.93172054121206,33.51202973250082,27.26375833837618,-4.388381736608319,-41.68512760691469,-35.82338770079156,-41.89120200058434,8.214049266098915,-10.584159490135148,-29.618410504990596,27.110258747340282
4.44,0.4444444444444444,-4.325239527744178,33.1847849025291,21.072880552163852,14.810575524923573,-29.4738167351854,33.133297665103726,-10.292205321436954,-16.958811881723683,8.527353264274089,-4.134452424542242,-22.669145768119353,27.126068434732254,-23.441759287679982,-23.166157393893013,14.233195595377577,-4.352811731534905,-35.42208250160428,-29.53165618205123,-29.45171924207375,-4.140163226540406,2.0027804963791573,33.96313915691568,8.347125206667586,1.8994562690847794,33.37893978764023,33.296164737814436,-23.06337457419857,14.512408390379493,39.466726974693145,-22.70219098523563,14.822098358524132,20.930111633031398,33.510282309487025,27.262771210562338,-4.384816770313339,-41.689991547212855,-35.82119919125602,-41.89540024613583,8.215266764045971,-10.584269470662559,-29.6147733791532,27.11092363198024
