t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
4.97,0.4974974974974975,32.71899563215647,-30.16401629562754,-5.360578195495231,7.369718744671008,37.50500256991269,-29.619391233208656,-11.113665471543866,-8.410542678382884,21.210373769263178,-8.04732825267435,-17.060638591352273,2.899468665102908,9.124431908549322
4.98,0.4984984984984985,32.720929032787446,-30.165215035177894,-5.363525630634806,7.374502452253187,37.510408046003185,-29.621143309260553,-11.112736849465922,-8.408955889933758,21.209174063587657,-8.047830288503208,-17.060953324475538,2.894850171417456,9.122327132773522
4.99,0.4994994994994995,32.722862709417626,-30.166407340473004,-5.366452157508859,7.379264195028872,37.51585025822492,-29.622856117705478,-11.111804885702387,-8.407375282402663,21.20797362718293,-8.048347544190298,-17.06127514630533,2.890176523068916,9.120221732735532
5.0,0.5005005005005005,32.72479669300699,-30.167592927239554,-5.369357394555223,7.384004142622294,37.52132933781157,-29.624530211151743,-11.110869678883423,-8.405800944866211,21.206772499202238,-8.048880116428572,-17.061603854133452,2.8854473000627334,9.118115725923143
5.01,0.5015015015015015,32.72673101375491,-30.168771511528142,-5.372240959044565,7.3887224680970105,37.5268454149213,-29.62616614686543,-11.109931325516639,-8.404232966794229,21.205570718525493,-8.049428104566823,-17.061939247621563,2.88066208808447,9.116009129924997
5.0200000000000005,0.5025025025025025,32.72866570106046,-30.169942809839505,-5.375102467166425,7.393419347776069,37.53239861845438,-29.627764486594824,-11.108989919956919,-8.402671438060528,21.2043683237598,-8.04999161067616,-17.062281128845562,2.8758204790301685,9.113901962429836
5.03,0.5035035035035035,32.730600783483496,-30.171106539253504,-5.377941534117076,7.398094961065665,37.5379890758588,-29.629325796397207,-11.108045554378553,-8.401116448954063,21.2031653532402,-8.050570739616855,-17.062629302338735,2.870922071552885,9.11179424122574
5.04,0.5045045045045045,32.73253628870663,-30.17226241756084,-5.380757774189251,7.4027494902823205,37.54361691292358,-29.630850646467778,-11.10709831874966,-8.399568090190483,21.20196184503061,-8.0511655991056,-17.062983575133668,2.8659664716255677,9.10968598419936
5.05,0.5055055055055055,32.734472243498026,-30.173410163397417,-5.383550800863771,7.407383120483633,37.549282253559504,-29.632339610970547,-11.10614830080891,-8.398026452924086,21.20075783692505,-8.051776299783276,-17.063343756802954,2.860953293120418,9.107577209335124
5.0600000000000005,0.5065065065065065,32.736408673675,-30.174549496381314,-5.386320226903117,7.411996039302611,37.554985219567,-29.633793267870995,-11.105195586044532,-8.396491628760176,21.199553366449013,-8.052402955283293,-17.063709659498734,2.8558821584048757,9.105467934714452
5.07,0.5075075075075075,32.738345604068535,-30.175680137252318,-5.389065664446996,7.416588436785622,37.560725930390916,-29.63521219877025,-11.104240257675594,-8.394963709767827,21.198348470861095,-8.053045682300608,-17.064081097991043,2.8507526989543166,9.10335817851494
5.08,0.5085085085085085,32.740283058488565,-30.176801808013902,-5.391786725109947,7.421160505233977,37.56650450286191,-29.636596988740607,-11.10328239663554,-8.393442788493068,21.197143187154804,-8.053704600661472,-17.06445788970502,2.8455645559815386,9.10124795900955
5.09,0.5095095095095095,32.74222105969013,-30.177914232077608,-5.394483020081043,7.4257124390491605,37.57232105092431,-29.637948226162116,-11.102322081557988,-8.391928957972484,21.19593755206058,-8.054379833394034,-17.064839854756993,2.8403173810830746,9.099137294565795
5.1000000000000005,0.5105105105105106,32.74415962934039,-30.179017134409722,-5.397154160225726,7.430244434581721,37.578175685350146,-29.63926650256005,-11.101359388764747,-8.390422311747244,21.19473160204802,-8.055071506799862,-17.065226815989384,2.8350108369023417,9.097026203644901
5.11,0.5115115115115115,32.74609878798645,-30.18011024168016,-5.39979975618985,7.43475668998383,37.58406851343931,-29.640552412442947,-11.100394392256057,-8.388922943877574,21.193525373328264,-8.055779750526504,-17.065618599004562,2.8296445978095925,9.094914704800988
5.12,0.5125125125125125,32.748038555024095,-30.181193282413453,-5.402419418505977,7.439249405065517,37.589999638705585,-29.641806553141006,-11.09942716370302,-8.387430948957654,21.19231890185658,-8.05650469764117,-17.066015032197548,2.824218350598605,9.092802816680225
5.13,0.5135135135135135,32.74997894866734,-30.182265987141697,-5.405012757701985,7.443722781154582,37.59596916054849,-29.643029524644607,-11.098457772442218,-8.385946422130981,21.19111222333514,-8.057246484705638,-17.066415946787625,2.818731795199994,9.090690558019993
5.14,0.5145145145145145,32.75191998591887,-30.183328088559396,-5.407579384412057,7.448177020960189,37.60197717391087,-29.64422192944261,-11.09748628547248,-8.384469459106178,21.18990537321593,-8.058005251852512,-17.066821176848865,2.8131846454109923,9.08857794764805
5.15,0.5155155155155156,32.75386168254134,-30.184379321679998,-5.4101189094901025,7.452612328440139,37.60802376892212,-29.64538437236024,-11.096512767453769,-8.383000156173273,21.188698386703845,-8.058781142862902,-17.067230559339546,2.807576629641496,9.08646500448168
5.16,0.5165165165165165,32.75580405302963,-30.185419423994027,-5.412630944125685,7.457028908671818,37.614109030527175,-29.646517460396225,-11.095537280708198,-8.381538610220458,21.187491298759948,-8.059574305245679,-17.067643934130476,2.801907491676118,9.084351747526863
5.17,0.5175175175175175,32.75774711058387,-30.18644813562864,-5.415115099962512,7.461426967726819,37.62023303810108,-29.64762180255896,-11.094559885223113,-8.380084918751328,21.186284144104853,-8.060384890318389,-17.068061144032246,2.796176991451942,9.082238195877427
5.18,0.5185185185185185,32.75969086708351,-30.187465199508456,-5.4175709892195565,7.465806712549236,37.62639586504947,-29.648698009701345,-11.093580638656226,-8.378639179902613,21.18507695722227,-8.061213053289952,-17.06848203482135,2.7903849058516044,9.080124368714209
