t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
5.11,0.5115115115115115,-11.216911043121598,-38.904849234625964,33.275931474179345,-7.544742265836183,32.92604109132918,20.631929826090424,26.895516298880153,-29.12707834065941,-36.5692527319017,4.372199834133963,-29.871369709904485,14.604008252958389,-10.830096551385047,-0.2999384936496769,32.89407769303116
5.12,0.5125125125125125,-11.216125959227439,-38.90336593915195,33.27582201950415,-7.543065524333719,32.92604673031047,20.631628695496076,26.89479123531751,-29.129279373166884,-36.5682321645679,4.371699512196005,-29.872546402293494,14.602855529997491,-10.83163410734417,-0.2981483095670226,32.89502015634944
5.13,0.5135135135135135,-11.215351478948785,-38.90185952644568,33.2757043274746,-7.541377439121028,32.92604900017736,20.631321688662787,26.894057317172702,-29.131486367767074,-36.567208557152135,4.37120920641962,-29.873721744146167,14.601705650335983,-10.833178269950038,-0.296351408245361,32.895953701051766
5.14,0.5145145145145145,-11.214587580263458,-38.90032981141114,33.27557837663647,-7.539677900835397,32.92604788047822,20.63100879534388,26.893314582369104,-29.133699455770618,-36.56618196886058,4.3707289782642125,-29.87489579821332,14.600558475391466,-10.834729106176548,-0.29454774591482685,32.896878378481084
5.15,0.5155155155155156,-11.213834240807257,-38.89877660683388,33.27544414535473,-7.537966799372087,32.926043350683514,20.630690004502092,26.892563068140813,-29.13591877061048,-36.56515245870804,4.370258890183888,-29.87606862718755,14.599413866426426,-10.83628668304194,-0.2927372784397366,32.897794239228055
5.16,0.5165165165165165,-11.213091437886257,-38.89719972335673,33.27530161180032,-7.536244023885245,32.926035390188694,20.630365304318214,26.891802811032008,-29.138144447853012,-36.56412008551905,4.369799005638565,-29.877240293699458,14.598271684540771,-10.837851067609149,-0.2909199613191442,32.89870133312802
5.17,0.5175175175175175,-11.212359148489004,-38.8955989694555,33.275150753936856,-7.534509462789005,32.92602397831709,20.6300346821996,26.89103384689638,-29.140376625208983,-36.56308490792903,4.369349389105197,-29.878410860313934,14.597131790664081,-10.839422326985906,-0.2890957496873174,32.89959970925803
5.18,0.5185185185185185,-11.21163734929857,-38.89397415141478,33.27499154950737,-7.532763003758801,32.92600909432271,20.629698124788483,26.89025621089666,-29.142615442544564,-36.5620469843855,4.368910106089131,-29.879580389526435,14.59599404554756,-10.841000528324596,-0.28726459831413187,32.90048941593403
5.19,0.5195195195195195,-11.210926016704509,-38.89232507330382,33.27482397602107,-7.531004533732895,32.92599071739301,20.629355617970155,26.889469937504224,-29.14486104189226,-36.56100637314929,4.368481223135584,-29.88074894375931,14.59485830975571,-10.842585738821857,-0.2854264616053811,32.90137050070813
5.2,0.5205205205205206,-11.210225126814667,-38.890651536952475,33.27464801074005,-7.529233938914119,32.92596882665167,20.62900714688099,26.888675060498823,-29.147113567461766,-36.5599631322958,4.368062807841257,-29.881916585358148,14.593724443657717,-10.844178025717914,-0.28358129360300005,32.90224301036595
5.21,0.5215215215215215,-11.209534655466888,-38.888953341927305,33.2744636306661,-7.527451104771863,32.9259434011612,20.628652695916294,26.88787161296837,-29.149373165650765,-36.55891731971632,4.367654928866084,-29.883083376588125,14.592592307418558,-10.845777456295657,-0.2817290479852004,32.903106990924094
