t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39
1.71,0.17117117117117117,30.730225545829008,-46.46741503229053,-8.537407801157617,-43.24143692386222,1.1438427153963389,22.001029951735973,5.491727575588411,-32.479374720423884,21.134069591781536,28.10200847407151,8.208099452857166,-5.586780877866852,23.87948366376413,-17.286387339959468,20.94741674779262,21.146163425622778,26.33487899371937,-1.1149287552510674,-32.9360103683847,24.09626230668109,-8.114735835970247,-30.72554313239037,-9.660873572275802,0.8855110055293967,-17.033095296878848,5.170748485309982,-25.22884517548021,23.30005614775536,1.2296513891057386,-25.523117738620588,11.82686054683512,17.473660458611036,-22.3330446414028,3.4363857399146673,22.455338052099897,-1.708982935001691,-26.044230620781704,11.264443143387066,-2.6794868321001473,29.806651466888834
1.72,0.17217217217217218,30.731229039596123,-46.47110424700001,-8.53745804089684,-43.242718362905755,1.1408125480654911,22.006552280443913,5.493728226039247,-32.486420223007364,21.138235267702154,28.10703557203191,8.21007442392977,-5.591440979093686,23.876369907463875,-17.28420585502859,20.94873843152412,21.145142191126165,26.33620043317542,-1.1178697312701305,-32.93549916495616,24.093677266588646,-8.116095135137087,-30.726267944445695,-9.65375923089857,0.8872095832680603,-17.036554775450515,5.1693653128540635,-25.22681263484514,23.302618067375214,1.229770329269584,-25.524664171212674,11.824060799276324,17.46958258005449,-22.325128584164332,3.444113662974819,22.4560797046708,-1.7095007168536192,-26.046932392917146,11.260745074197171,-2.6799388628793124,29.803847631513552
1.73,0.17317317317317318,30.732216937763507,-46.47478865940109,-8.537517954812207,-43.244014229422646,1.1377546600070576,22.01212109633383,5.495724286330673,-32.493486941872,21.142434356054192,28.112101554049936,8.212088461975373,-5.596122742073947,23.873223884342377,-17.281977594779104,20.950077466494477,21.144135676664575,26.337527727613352,-1.1208501255254044,-32.935000895530386,24.091053307994006,-8.117455322322694,-30.726991204294457,-9.646592150483736,0.8889099190750871,-17.04002258139374,5.167940810709156,-25.22478619308415,23.305184283764426,1.2298756298186013,-25.526252595186477,11.821236743770658,17.465461224591223,-22.317158002342218,3.451912324486338,22.456832107863065,-1.7100340964566056,-26.049646541695264,11.257029874093812,-2.6803657976726023,29.80103857473129
1.74,0.17417417417417416,30.73318888074953,-46.47846753708121,-8.537587684793596,-43.245324764850295,1.1346689074816387,22.01773619637661,5.497715371279823,-32.50057392070887,21.146667254810637,28.117206490687185,8.214142155849352,-5.600826167745399,23.870045490252526,-17.279701704461214,20.951434136736918,21.14314437495788,26.338860897374296,-1.1238702080012481,-32.93451593660521,24.088390231775087,-8.118816145932453,-30.727712901174343,-9.63937242886285,0.890611788402214,-17.043498372398123,5.166474681778705,-25.22276630648298,23.30775457842669,1.229967249526002,-25.527883665390906,11.81838813755006,17.461296305706274,-22.309133440983338,3.459781231471969,22.457595441431607,-1.710583308424033,-26.05237320842449,11.253297643726913,-2.6807671480430617,29.798224684189975
1.75,0.17517517517517517,30.734144508740943,-46.48214013865201,-8.537667371580547,-43.246650214420214,1.131555146242606,22.023397357549833,5.499701092180153,-32.50768017920191,21.150934368139097,28.122350444489363,8.216236100560922,-5.605551260469376,23.866834625133848,-17.27737731360587,20.952808730743293,21.142168783580168,26.340199963438494,-1.1269302391802216,-32.93404466539901,24.085687848514635,-8.120177349021029,-30.72843302516269,-9.632100176087393,0.8923149637144313,-17.04698180035859,5.164966643912458,-25.220753434315018,23.31032873258384,1.2300451513897337,-25.529558039389347,11.815514732977451,17.457087748575294,-22.301055468671976,3.467719843935737,22.45836988603425,-1.7111485870583159,-26.05511253868075,11.249548485298062,-2.681142429252629,29.79540635295055
1.76,0.17617617617617617,30.73508346187555,-46.48580571404316,-8.537757154695866,-43.24799082730264,1.1284132315140876,22.029104336538317,5.501681056879208,-32.51480471314784,21.155236106387335,28.127533469644995,8.218370897282064,-5.610298028056732,23.863591193185652,-17.275003535778364,20.954201541531994,21.1412094049516,26.341544947455862,-1.130030469552211,-32.93358745969777,24.08294597886435,-8.121538669303012,-30.72915156718415,-9.624775514761712,0.8940192145119656,-17.05047251137908,5.163416430432575,-25.21874803874875,23.31290652731201,1.2301093026481826,-25.531276377370894,11.81261627755755,17.45283549040484,-22.292924677721746,3.4757275738896563,22.459155623189943,-1.7117301662364428,-26.05786468231617,11.245782502637317,-2.6814911606458183,29.792583979425572
1.77,0.17717717717717718,30.736005380427898,-46.4894635048109,-8.537857172377736,-43.24934685675607,1.1252430179680228,22.034856869449474,5.503654869860596,-32.521946494613786,21.159572886066414,28.13275561163823,8.22054715335271,-5.6150664817893094,23.86031510304287,-17.27257946833227,20.95561286671678,21.14026674632811,26.34289587177694,-1.1331711391184711,-32.93314469769647,24.080164453906733,-8.122899839169328,-30.729868519017817,-9.617398580378579,0.8957243073546706,-17.053970145779346,5.161823790655927,-25.216750584752425,23.315487743679036,1.2301596747941803,-25.533039342062292,11.809692513952895,17.448539480767213,-22.28474168435059,3.483803784415844,22.45995283523598,-1.7123282792933987,-26.06062979346509,11.241999801282118,-2.6818128660392797,29.789757967308788
1.78,0.1781781781781782,30.736909904997635,-46.4931127444611,-8.537967561510253,-43.25071856028184,1.122044359700304,22.04065467154436,5.505622132330224,-32.529104472134065,21.163945129831447,28.13801690689603,8.222765482281982,-5.619856636436736,23.857006267954446,-17.270104192164155,20.957043008576512,21.139341319788926,26.344252759484164,-1.1363524768912299,-32.93271675783459,24.077343115513884,-8.124260585709631,-30.730583873303846,-9.60996952165704,0.8974300058888655,-17.057474338104928,5.160188490411449,-25.21476153999596,23.318072162882935,1.2301962435872833,-25.534847598640976,11.806743180005256,17.44419968192902,-22.276507128837952,3.4919477887675465,22.460761705284302,-1.7129431589035693,-26.063408030547247,11.238200488558261,-2.682107074116882,29.78692872549544
1.79,0.17917917917917917,30.737796676700228,-46.496752658786846,-8.538088457552375,-43.25210619978364,1.1188171102060336,22.046497436985476,5.507582442306833,-32.536277570947114,21.168353266459903,28.143317382430006,8.225026503745292,-5.624668510268373,23.853664605964234,-17.267576771469376,20.958492274125827,21.138433642221838,26.34561563442348,-1.1395747003895311,-32.932304018625814,24.074481816702328,-8.12562063074087,-30.731297623549565,-9.602488500882258,0.8991360708766596,-17.060984717140354,5.158510312551378,-25.212781374750126,23.320659566391093,1.2302189890642847,-25.53670181464958,11.803768008762667,17.439816069172696,-22.268221675663433,3.5001588495126565,22.461582417176846,-1.7135750369602332,-26.066199556268014,11.234384673662872,-2.68237331882994,29.784096667993072
1.8,0.18018018018018017,30.73866533735965,-46.5003824662202,-8.538219994465202,-43.253510041732106,1.1155611223539212,22.05238483860221,5.509535394716895,-32.54346469327374,21.172797730827398,28.148657055473286,8.227330843577072,-5.629502125060236,23.850290040094205,-17.264996253499373,20.959960975186796,21.13754423530621,26.34698452123623,-1.142838015132042,-32.93190685848186,24.071580421983064,-8.12697969084221,-30.732009764135068,-9.594955694246957,0.9008422602277968,-17.06450090592563,5.1567890574551525,-25.210810561783095,23.323249736079905,1.230227895547921,-25.538602659912318,11.800766728512244,17.435388631110136,-22.259886013626012,3.508436177723318,22.462415155440052,-1.7142241444532555,-26.06900453761565,11.23055246774933,-2.6826111398021846,29.781262213822625
