t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43
1.47,0.14714714714714713,5.606846879234216,7.759083401549916,24.43400820319523,-27.471982536523868,9.409137766809868,26.46325679683931,-17.51887437400509,-36.4968423788884,38.348879986529155,-12.133663580840995,-1.8319715145735003,-5.9045304726843115,20.5778217405272,8.681614607090872,-3.112280878075681,2.6102002228317955,-6.561949259889928,-4.336437928038509,15.456448298033619,-37.2809639396866,0.7177200493078211,-31.82510818618541,7.886324297448898,3.931424320692476,-6.001718640739048,-18.18637141624203,-12.978204168352095,37.88841579014062,18.34486975575259,28.14328230168938,33.0632975375149,3.1625329705542096,29.7999101262029,-25.7849580711342,-15.599351154504431,-34.56738653871536,-14.705048928781522,33.21001099205391,33.81611521398064,-34.465903398193916,-24.9708210739918,-18.232402905252634,-25.83437908844906,30.002111721036183
1.48,0.14814814814814814,5.606664840039188,7.758962849416864,24.435125500196,-27.47382060819007,9.404640446602762,26.463352121414363,-17.51787449055577,-36.49813197442441,38.35106795366579,-12.133746636407686,-1.8325232549589983,-5.903325957792555,20.579354873781632,8.675244771955285,-3.1125847870719663,2.6107090167819793,-6.562959284288122,-4.342430486460279,15.454499006569042,-37.27887491341667,0.7233382850087023,-31.820241054885038,7.892638615505898,3.9315049300709872,-6.003779158325403,-18.186079857246924,-12.97827232018354,37.89150072060027,18.34468796004741,28.1394049484917,33.06530778189343,3.1607728335789433,29.801669880383873,-25.780999247152472,-15.600353963462956,-34.56767812165705,-14.703873207931137,33.210944116187704,33.81510823368484,-34.47558752215599,-24.970036875830015,-18.231858372937236,-25.83276570443079,30.003460659155735
1.49,0.14914914914914915,5.6064807590347545,7.758843674828278,24.436249172654026,-27.475694061484372,9.400113463421366,26.46345637604893,-17.516867194090285,-36.49940963155696,38.353281692922785,-12.133823860491097,-1.833090854175239,-5.902113379087958,20.58087137891862,8.668862603220798,-3.1128967085103922,2.611197564290584,-6.5639532922538475,-4.3484630786814416,15.452508269058342,-37.276754535840226,0.7290380254990041,-31.81535025506347,7.8989877653271945,3.931577303646826,-6.005833009609104,-18.18577005477823,-12.978329260086172,37.89460414176277,18.3445251139747,28.135490473717596,33.06730713812835,3.1589888147861314,29.80343115660427,-25.776995086017568,-15.601384538457346,-34.567971973901095,-14.702699320033668,33.21187249267552,33.81407194864287,-34.48534229399309,-24.96922981657454,-18.231303557380688,-25.831134515187053,30.00481349335744
1.5,0.15015015015015015,5.606294682213465,7.758725993660338,24.4373793531194,-27.47760362582127,9.395557002390667,26.46356960529698,-17.515852762819478,-36.50067509236578,38.35552150749373,-12.133895202095692,-1.8336747486459455,-5.900892589377954,20.58237066925498,8.662468883147726,-3.1132167710100758,2.61166535716669,-6.564930913688113,-4.354535203359998,15.450475518497415,-37.274602497451184,0.7348200708960824,-31.810436020415604,7.9053711733100664,3.9316411237471027,-6.007879743390994,-18.185441652414728,-12.978374856602871,37.8977260950063,18.34438177205338,28.131538749147527,33.06929527647432,3.157180590903506,29.805193810597558,-25.772945025326862,-15.602443590629704,-34.56826829598974,-14.701527327827547,33.21279583425425,33.81300598196281,-34.49516729115819,-24.96839972155517,-18.230738375075223,-25.829485402141724,30.006170203836856
1.51,0.15115115115115116,5.606106657749341,7.758609923988896,24.43851617810201,-27.479550040983415,9.39097125359164,26.463691847904006,-17.51483148386867,-36.50192810008473,38.357787697898715,-12.133960611492226,-1.8342753856997538,-5.899663435788096,20.58385215507003,8.656064394287787,-3.1135451033210795,2.6121118848863394,-6.565891780572432,-4.360646336646316,15.448400185535256,-37.272418485375226,0.7406852147901476,-31.80549858264896,7.911788249627775,3.9316960653317823,-6.009918904934171,-18.185094289320237,-12.978408979180395,37.90086662122568,18.344258496143325,28.127549648245722,33.071271869648285,3.155347835543143,29.806957697802925,-25.768848491257717,-15.603531846959758,-34.568567294586074,-14.70035728676027,33.2137138487378,33.811909956401195,-34.505062065276704,-24.967546418254344,-18.230162742316967,-25.827818243989224,30.00753077207227
1.52,0.15215215215215216,5.60591673605039,7.758495586099818,24.439659788149964,-27.481534057142348,9.386356412066263,26.463823136759245,-17.513803653265263,-36.5031683991891,38.36008056172692,-12.134020040226847,-1.8348932237943743,-5.898425759718509,20.58531524385157,8.649649919016483,-3.113881834266852,2.61253663471317,-6.5668355270966305,-4.3667959318950125,15.446281698681469,-37.27020218340455,0.7466342434183815,-31.800538171336097,7.918238388131256,3.9317417959084615,-6.0119500359871045,-18.184727600229564,-12.978431498176072,37.90402576082542,18.344155855567,28.12352304635359,33.07323659298716,3.1534902193276633,29.80872267342513,-25.764704898597312,-15.604650050644654,-34.56886918264219,-14.699189244794985,33.21462623910196,33.810783494535514,-34.515026141746816,-24.966669736329543,-18.229576575216477,-25.826132916649048,30.00889518091983
1.53,0.15315315315315314,5.605724969812386,7.758383102498795,24.440810327929313,-27.483556434872728,9.381712677818996,26.46396349885333,-17.512769575915087,-36.50439573548237,38.36240039337488,-12.134073441127875,-1.8355287327426075,-5.897179396802588,20.586759340552142,8.643226239059407,-3.114227092684353,2.612939091821666,-6.567761789785028,-4.37298341939316,15.444119484525846,-37.26795327203656,0.7526679348066683,-31.79555501376338,7.924720966256262,3.931777975449414,-6.013972674807197,-18.184341215435396,-12.978442284863311,37.90720355371357,18.34407442723481,28.119458820891342,33.07518912460577,3.1516074100251372,29.810488592495947,-25.760513650786017,-15.605798961487453,-34.56917417957101,-14.698023242217264,33.21553270357651,33.809626218942114,-34.52505901935252,-24.965769507633414,-18.22897978970948,-25.824429293220277,30.010263414712067
1.54,0.15415415415415415,5.605531414073956,7.758272597920612,24.441967946304977,-27.485617945159706,9.37704025581466,26.464112955241667,-17.511729565567062,-36.50560985618219,38.36474748378082,-12.134120768310124,-1.8361823939400574,-5.895924176868035,20.588183847855607,8.63679413501306,-3.114581007361819,2.6133187394229,-6.568670207620772,-4.3792082061059014,15.441912967970465,-37.265671428516754,0.7587870578783457,-31.790549334775967,7.931235344935979,3.9318042563110946,-6.015986356184782,-18.183934760776197,-12.978441211435907,37.910400039296576,18.344014795774232,28.115356851567967,33.077129145554935,3.1496990726929615,29.81225530993718,-25.756274139974813,-15.606979356294374,-34.56948251142179,-14.696859311442186,33.216432935744294,33.80843775237948,-34.53516016989021,-24.96484556623161,-18.228372301567905,-25.822707243936144,30.011635459359848
1.55,0.15515515515515516,5.605336126273035,7.758164199337886,24.443132796422958,-27.487719369399006,9.372339355972606,26.464271521013725,-17.510683944765873,-36.50681051000545,38.36712212015521,-12.134161977176705,-1.8368547005943716,-5.8946599239003605,20.589588166454178,8.630354385860747,-3.1149437069741284,2.61367505889262,-6.569560422168136,-4.385469675440579,15.43966157247477,-37.26335632688595,0.7649923715294077,-31.78552135661896,7.93778086851912,3.9318202831563056,-6.01799061146756,-18.183507857625187,-12.978428151011089,37.91361525647504,18.343977553662782,28.111217020599643,33.07905633997933,3.147764869830958,29.814022680625214,-25.751985747097276,-15.608192029280877,-34.569794411059355,-14.695697476821909,33.21732662464765,33.807217717976926,-34.545329037809736,-24.96389774841829,-18.22775402641119,-25.820966636118683,30.013011302457876
1.56,0.15615615615615616,5.605139166304766,7.758058035969238,24.4443050357938,-27.48986149938927,9.367610193157113,26.46443920526852,-17.50963304479224,-36.50799744725226,38.36952458570787,-12.134197024418167,-1.837546157955825,-5.893386456008945,20.590971695335988,8.623907768484152,-3.115315320015732,2.614007529901545,-6.570432077692536,-4.391767187030497,15.437364720314076,-37.261007638032055,0.7712846236696274,-31.78047129877458,7.944356864693523,3.931825692879238,-6.01998496858547,-18.1830601228805,-12.978402977631305,37.91684924364048,18.343963301364884,28.107039212936698,33.080970395275145,3.1458044615439538,29.815790559457135,-25.747647841956656,-15.609437792486636,-34.57011011834701,-14.694537754453895,33.21821345490207,33.80596573942875,-34.55556503987075,-24.96292589272927,-18.227124879717994,-25.819207334133548,30.014390933393877
