t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37
7.49,0.7497497497497497,1.9148817198367678,14.459242444937095,8.18806184699416,1.9124381536651935,1.8834096949299735,33.330429965997915,-23.22623609542037,20.783002018100564,20.773447628510286,39.62024602791834,-29.514387796586227,14.48330067866203,14.488201783582246,1.9278720171610733,-29.514990956772692,-29.516048197290527,-23.22812203461219,27.059001584164022,-23.231923585024223,-23.233248678463433,-4.376437110568809,1.9149097437181486,20.76731219406595,27.093436124369443,-10.670072456820412,39.624865757571484,-35.79749268641958,-4.363466329155936,-16.953429384075214,-4.380700900677585,1.9109702156006387,1.923228626085311,-4.374972884338865,-16.939430634771593,-16.93969990983634,-16.942320706675744,26.851156870771504,-4.369992416560395
7.5,0.7507507507507507,1.9147970792086257,14.459464014189363,8.188082292521337,1.9123365912700323,1.883713422933782,33.33040112947869,-23.226367767381678,20.782788451512047,20.77332608086467,39.620110293300975,-29.514455115146784,14.483230812548488,14.488054424141461,1.9275245890951387,-29.51503262687314,-29.5160745423894,-23.22820058187501,27.05883211966501,-23.231990593351632,-23.23327216676534,-4.376492654726542,1.9147865538294273,20.767211258084178,27.092806030056998,-10.669960855525996,39.624882889974515,-35.797551528326885,-4.363652397616391,-16.953261029780897,-4.3806639606013595,1.9108771643623155,1.9230384312022923,-4.375000990700602,-16.93954998073838,-16.939893474296372,-16.942427251021858,26.854147928796728,-4.370121707345785
7.51,0.7517517517517518,1.9147131109595559,14.45968273573774,8.188101664838555,1.9122363143083112,1.8840139510076797,33.33037217429568,-23.22649654452388,20.782577648236906,20.773206114791467,39.61997631132378,-29.51452124869029,14.483161617099553,14.487909224198738,1.9271827020712011,-29.51507351008643,-29.51610065786848,-23.22827770795982,27.05866498305091,-23.232056663287743,-23.233295258021677,-4.37654698674412,1.914664788822503,20.767111172954177,27.092187266566096,-10.669851748061937,39.62489764768952,-35.79760962254616,-4.363836137854726,-16.953098119498684,-4.380627750997241,1.9107852130122334,1.9228505843836696,-4.375029340865746,-16.939667749243316,-16.940084096432912,-16.9425323391729,26.857101981477957,-4.370249392398157
7.5200000000000005,0.7527527527527528,1.914629816642515,14.459898639209657,8.188119999164558,1.9121373088236877,1.8843112910993258,33.33034311200596,-23.226622495192437,20.782369572246072,20.77308770800513,39.61984406036341,-29.514586216514022,14.483093088533641,14.487766151021747,1.9268462755530629,-29.515113618955958,-29.516126542958286,-23.22835343985856,27.05850014384899,-23.232121804573737,-23.233317956462383,-4.376600135893338,1.914544436832263,20.767011935368604,27.091579625263364,-10.669745078041407,39.624910107712296,-35.79766697177948,-4.364017573760929,-16.9529405051969,-4.380592257770194,1.9106943524804934,1.9226650593119798,-4.375057916766023,-16.939783956209347,-16.940271814288288,-16.94263598791505,26.860019406519754,-4.370375485298164
7.53,0.7537537537537538,1.9145471975967359,14.460111754079177,8.188137329687178,1.9120395609526124,1.8846054558913814,33.33031395380473,-23.226745685847483,20.782164187942133,20.772970838522067,39.619713519006844,-29.514650037558535,14.483025222974078,14.487625172367181,1.9265152299021666,-29.515152965847694,-29.516152196903406,-23.228427803932878,27.058337571871384,-23.23218602685275,-23.233340266319253,-4.376652130688398,1.9144254859801362,20.76691354208421,27.09098290121054,-10.669640790300148,39.62492034506409,-35.79772357895143,-4.364196729102306,-16.95278804237584,-4.380557467089365,1.9106045736758084,1.9224818299547324,-4.37508670086252,-16.93989861752319,-16.940456665547373,-16.942738213821134,26.862900579235355,-4.370499999706832
7.54,0.7547547547547547,1.9144652549526844,14.460322109664302,8.188153689595318,1.9119430569266271,1.8848964587681676,33.33028471053465,-23.226866181125214,20.78196146015515,20.772855484658777,39.61958466605206,-29.514712730415802,14.482958016455957,14.487486256474558,1.9261894863767537,-29.51519156295023,-29.516177618964672,-23.22850082593208,27.058177237217496,-23.232249339672236,-23.233362191821573,-4.376702998904615,1.91430792437784,20.766815989911777,27.0903968931056,-10.669538830870595,39.62492843283508,-35.797779447197186,-4.364373627520957,-16.952640589992452,-4.380523365381708,1.9105158674895626,1.9223008705598352,-4.375115676133964,-16.94001174903025,-16.940638687536826,-16.942839033257403,26.865745872524375,-4.370622949356786
7.55,0.7557557557557557,1.9143839896370014,14.460529735124313,8.188169111109772,1.9118477830744764,1.8851843137832864,33.33025539269489,-23.226984043896977,20.781761354138528,20.772741625029813,39.619457480508544,-29.514774313337114,14.482891464932665,14.487349372060006,1.9258689671306635,-29.515229422275013,-29.51620280842119,-23.228572531010496,27.05801911027607,-23.23231175248619,-23.23338373719208,-4.376752767596766,1.9141917401310387,20.766719275706713,27.089821403224523,-10.669439146956558,39.62493444222708,-35.79783457985107,-4.364548292531318,-16.952498010386414,-4.3804899393258685,1.9104282247996973,1.9221221556511587,-4.375144826065214,-16.940123366529757,-16.94081791722448,-16.942938462389908,26.868555656851992,-4.3707443480437975
7.5600000000000005,0.7567567567567568,1.914303402377421,14.460734659457158,8.188183625512966,1.911753725824041,1.8854690356281834,33.33022601045,-23.227099335326145,20.781563835564906,20.77262923854563,39.61933194159763,-29.514834804240735,14.48282556428208,14.48721448831007,1.9255535952117917,-29.51526655565678,-29.516227764572236,-23.22864294374431,27.05786316172702,-23.232373274657277,-23.233404906643276,-4.376801463117054,1.914076921342907,20.766623396360295,27.0892562373638,-10.669341686908462,39.624938442595486,-35.79788898043552,-4.364720747517791,-16.9523601692076,-4.380457175846308,1.9103416364744354,1.921945660024233,-4.375174134635946,-16.940233485770147,-16.940994391218876,-16.943036517190475,26.871330300229534,-4.370864209618621
7.57,0.7577577577577578,1.9142234937076645,14.460936911496887,8.188197263177626,1.9116608717041002,1.8857506396016366,33.330196573638574,-23.227212114922878,20.78136887052208,20.77251830441029,39.61920802875273,-29.51489422071934,14.48276031031244,14.487081574875495,1.9252432945602167,-29.515302974754164,-29.516252486739027,-23.22871208814784,27.057709362542983,-23.232433915458834,-23.233425704374017,-4.3768491111327075,1.9139634561176042,20.766528348791528,27.08870120478357,-10.669246400199132,39.62494050149043,-35.797942652650576,-4.36489101573243,-16.95222693534494,-4.380425062107671,1.9102560933758463,1.9217713587420757,-4.375203586309538,-16.940342122444672,-16.94116814576897,-16.943133213442344,26.874070168196454,-4.370982547979131
7.58,0.7587587587587588,1.914144263972302,14.46113651991114,8.188210053594446,1.9115692073459365,1.886029141580154,33.33016709178169,-23.227322440596833,20.78117642550896,20.772408802119063,39.61908572161943,-29.514952580047236,14.482695698767921,14.486950601865036,1.9249379900060068,-29.51533869105047,-29.51627697426639,-23.228779987689325,27.05755768399063,-23.23249368407676,-23.23344613456643,-4.37689573664321,1.9138513325636535,20.766434129939576,27.088156118151492,-10.669153237400105,39.6249406846972,-35.79799560036372,-4.365059120292718,-16.952098180856577,-4.380393585509368,1.9101715863632593,1.9215992271311433,-4.375233166022153,-16.94044929218723,-16.941339216763946,-16.943228566745432,26.876775623803628,-4.371099377062745
