t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
2.21,0.22122122122122123,-30.844265363156843,-10.927515395864887,25.48401509724944,-19.085204754583778,-31.96740212997879,36.492247390199395,-18.36571969322817,-21.476387360816588,-1.888778960135412,-12.383018000727533,-10.866246731858796,17.99916521791825,-11.994277918162451,6.8343995686068135,25.018388109124885,27.243358631921595,6.931302336580493,25.479712418608447
2.22,0.2222222222222222,-30.847546021300918,-10.927600639789983,25.486008107631996,-19.084689581410974,-31.9607102189344,36.49591179774288,-18.368158609685416,-21.4751593434606,-1.8866481610584498,-12.383659173828947,-10.87046754009792,18.001667908622313,-11.994518850918377,6.831616611920411,25.01823310065544,27.236475133119292,6.932709302651508,25.480308639838213
2.23,0.22322322322322322,-30.85081577134077,-10.927694444835307,25.48798740847175,-19.0841726836565,-31.95399849914297,36.499591279994185,-18.370587366688195,-21.473923000382513,-1.8844919524615578,-12.384300474636994,-10.874723046961035,18.004177730480908,-11.99476773154156,6.828827897686104,25.018071621564292,27.22955719603229,6.934117047683324,25.480917251430615
2.24,0.22422422422422422,-30.854074239998727,-10.927796954092955,25.489952724582494,-19.083654087465447,-31.94726767917391,36.503285767624966,-18.37300565374366,-21.47267825185157,-1.8823100009091467,-12.38494188508347,-10.879013230139865,18.006694608791445,-11.995024704428682,6.826033586576871,25.01790362942115,27.222605189909622,6.935525394805295,25.48153824687166
2.25,0.22522522522522523,-30.857321055404075,-10.927908310976607,25.491903780553525,-19.083133818962025,-31.940518477209434,36.50699518912329,-18.375413162717685,-21.471425016224178,-1.8801019689980656,-12.385583387066337,-10.883338058500556,18.009218468539196,-11.995289914744527,6.823233840597183,25.017729081653332,27.215619493782143,6.936934164409039,25.482171613841853
2.2600000000000002,0.22622622622622623,-30.86055584727419,-10.928028659185939,25.493840300788005,-19.082611904247756,-31.93375162082775,36.510719470786384,-18.377809588020884,-21.470163209921136,-1.8778675153683226,-12.386224962459853,-10.887697491970828,18.011749234420424,-11.995563508373762,6.8204288230650265,25.017547935544574,27.208600496447474,6.938343174161759,25.482817334132836
2.27,0.2272272272272272,-30.863778247096874,-10.928158142670211,25.495762009542265,-19.08208836939969,-31.926967846777664,36.51445853671413,-18.38019462679513,-21.46889274740478,-1.8756062947164451,-12.386866593125038,-10.892091481432505,18.014286830865565,-11.995845631870697,6.8176186985931935,25.01736014823376,27.20154859644785,6.939752239021385,25.48347538356695
2.2800000000000002,0.22822822822822822,-30.86698788831373,-10.928296905591042,25.49766863096603,-19.08156324046863,-31.920167900744755,36.51821230880329,-18.382567979100333,-21.467613541156066,-1.8733179578115673,-12.387508260920477,-10.896519968619645,18.016831182062408,-11.996136432407022,6.814803633069827,25.017165676713642,27.194464202040734,6.941161171253544,25.484145731919856
2.29,0.22922922922922923,-30.87018440650434,-10.928445092284395,25.49955988914362,-19.0810365434774,-31.913352537109205,36.521980706742596,-18.38492934810128,-21.46632550165161,-1.8710021515143331,-12.388149947713444,-10.900982886022497,18.019382211979273,-11.996436057717489,6.811983793638227,25.016964477829525,27.18734773116206,6.942569780450401,25.484828342846363
2.3000000000000003,0.23023023023023023,-30.873367439571087,-10.928602847221804,25.501435508136154,-19.080508304419105,-31.90652251869548,36.52576364800859,-18.387278440254338,-21.46502853734067,-1.8686585187987061,-12.388791635391366,-10.905480156797529,18.021939844388132,-11.996744656043571,6.809159348675913,25.016756508277904,27.180199611381976,6.943977873551395,25.485523173809653
