t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
0.22,0.022022022022022022,-23.42217207164476,-3.4268001489408433,10.363444312572593,-24.45159445958414,35.74034476954449,-34.181817826700346,10.724150110437405,-20.401233589066333,-1.1312207031223505,-9.352793047903834,-10.496505316232474,35.39789524809277,-23.056537572052935,21.79543733200751,7.752587626306234,16.761812847739744,-36.635428805464045,-35.098656991521594,-26.44517080457414,23.175975174472956,34.10669672394328,6.5391003640490455,-32.75969878227225,-37.31944438326139,10.307745923043406,25.181543761007248,28.816291846472414,35.759815818455394,5.869837273522728,12.052625684683509
0.23,0.023023023023023025,-23.42187629599568,-3.4265542823587203,10.363842390293916,-24.451817203437198,35.74094708303879,-34.18241876829171,10.724028569588098,-20.401675179028235,-1.1320158388274688,-9.352970091035411,-10.49642890347744,35.399236662927805,-23.056672179947785,21.7962909072903,7.753280666414557,16.762283111918915,-36.63604737651474,-35.098862193938594,-26.44662574554988,23.176156463870452,34.10709433943982,6.539632216701324,-32.760462184005796,-37.32060467945768,10.308390656593197,25.18197790214553,28.81677496373055,35.760238176283885,5.869053619472453,12.052033506166046
0.24,0.024024024024024024,-23.421545185408853,-3.4262938554096154,10.364248820658467,-24.45202820968377,35.741544492308584,-34.1830158197388,10.723891932158137,-20.402118053484273,-1.1328458326701212,-9.353146222488453,-10.496338937639667,35.40060641296387,-23.05679198370479,21.797163519834974,7.753998172362891,16.76275914490562,-36.63666082536279,-35.09904450526581,-26.448122167130823,23.176325155138947,34.10747914176212,6.540182391199812,-32.76123018773408,-37.321783233572795,10.309055046379763,25.182408543895683,28.81725359483318,35.76064706187085,5.868228784026542,12.05140311900449
0.25,0.025025025025025023,-23.421178635849483,-3.4260188362509107,10.3646635566643,-24.452227515289803,35.74213700188952,-34.18360898595801,10.723740187323882,-20.40256220515133,-1.1337106714436531,-9.353321410123845,-10.49623536672203,35.40200442867206,-23.056896980438236,21.798055169415687,7.7547401393447695,16.763240877317557,-36.63726914794192,-35.09920390891275,-26.449660005744484,23.17648126044605,34.10785117631179,6.540750879739446,-32.762002778293514,-37.32297999312745,10.309739034809175,25.182835646676086,28.81772771739177,35.76104245443821,5.867362750782462,12.050734474033943
0.26,0.026026026026026026,-23.420776535982064,-3.4257291919081916,10.365086549869046,-24.45241515764476,35.742724615167404,-34.184198273653564,10.723573322018773,-20.403007628143794,-1.1346103415986857,-9.353495622488254,-10.496118137089987,35.4034306380677,-23.056987165692775,21.79896585558852,7.755506562148091,16.763728236298025,-36.63787233849511,-35.09934038886443,-26.451239196451144,23.17662479172415,34.10821049298975,6.54133767388162,-32.7627799420459,-37.32419490493188,10.310442561372733,25.183259171037708,28.818197309612795,35.76142433374319,5.866455504474301,12.050027521006033
0.27,0.02702702702702703,-23.42033876713953,-3.4254248882745677,10.365517750372142,-24.45259117455905,35.74330733436846,-34.18478369131776,10.723391320927016,-20.403454317983233,-1.135544829219576,-9.353668828816412,-10.495987193468784,35.40488496667156,-23.057062533436568,21.79989557768513,7.7562974351478395,16.764221145511193,-36.63847038957346,-35.099453929674496,-26.452859672904633,23.176755760661237,34.10855714619488,6.541942764559506,-32.763561666888094,-37.32542791509567,10.311165562614562,25.18367907766989,28.81866235029007,35.76179268006761,5.865507031020093,12.049282208599948
0.28,0.028028028028028028,-23.419865203290964,-3.4251058901102738,10.365957106796417,-24.452755604261093,35.7438851605491,-34.18536524923111,10.723194166476988,-20.40390227160898,-1.1365141200006394,-9.35384099903311,-10.49584247894064,35.406367337470066,-23.057123076054236,21.800844334806072,7.757112752298672,16.764719525137693,-36.63906329203473,-35.09954451645808,-26.4545213673125,23.176874178691705,34.10889119482286,6.542566142083728,-32.76434794226213,-37.32667896903764,10.311907972098162,25.184095327406247,28.819122818796625,35.76214747420659,5.864517317570417,12.048498484434077
0.29,0.029029029029029027,-23.41935571100786,-3.4247721610425472,10.366404566269052,-24.45290848539412,35.74445809358529,-34.18594295946234,10.722981838834388,-20.404351487389615,-1.1375181992221532,-9.354012103754888,-10.495683934941946,35.40787767087437,-23.057168784339652,21.80181212581377,7.75795250712739,16.765223291870484,-36.63965103504133,-35.099612134884346,-26.45622421039558,23.176980056987198,34.109212702264976,6.543207796148395,-32.76513875916589,-37.327948011495856,10.312669720371934,25.184507881230694,28.819578695076174,35.76248869745681,5.863486352558238,12.047676295078265
0.3,0.03003003003003003,-23.418810149428943,-3.4244236635658023,10.366860074401934,-24.453049857012637,35.74502613216145,-34.18651683586829,10.722754315895125,-20.40480196513534,-1.138557051726157,-9.354182114291417,-10.495511501260461,35.40941588467851,-23.057199647488552,21.802798949325148,7.758816692725306,16.765732358911066,-36.64023360605807,-35.09965677116874,-26.45796813134702,23.177073406447448,34.109521736407196,6.5438677158374885,-32.76593411016425,-37.32923498653788,10.313450734933712,25.18491670028358,28.82002995963411,35.76281633160409,5.862414125749981,12.046815586066696
0.31,0.031031031031031032,-23.418228370223577,-3.4240603590421013,10.367323575271412,-24.453179758578578,35.74558927375895,-34.18708689409367,10.722511573277968,-20.405253706111292,-1.139630661892074,-9.354351002646592,-10.495325116032534,35.41098189401653,-23.057215653090985,21.803804803703944,7.759705301740485,16.76624663596602,-36.64081099084934,-35.099678412064954,-26.459753057790746,23.17715423769113,34.109818369629224,6.544545889631612,-32.76673398940069,-37.330539837570974,10.314250940194293,25.18532174586797,28.8204765935281,35.76313035891052,5.861300628297816,12.045916301911415
0.32,0.03203203203203203,-23.417610217553758,-3.423682207701936,10.367795011397488,-24.453298229957117,35.74614751464412,-34.1876531515707,10.722253584316944,-20.405706713051742,-1.140739013612169,-9.354518741519296,-10.495124715740346,35.412575611318665,-23.057216787123565,21.80482968705262,7.760618326369893,16.766766029243925,-36.641383173476015,-35.099677044856605,-26.461578915739448,23.177222561046726,34.11010267880368,6.545242305415099,-32.767538392609474,-37.331862507352575,10.315070257440032,25.185722979456024,28.82091857835823,35.76343076210096,5.8601458527931225,12.0449783861165
0.33,0.03303303303303303,-23.416955528034716,-3.4232891686453297,10.368274323722458,-24.453405311412165,35.746700849855834,-34.18821562751859,10.721980320053506,-20.406160990175255,-1.1418820902668665,-9.35468530430387,-10.494910235209183,35.41419694626656,-23.057203033941562,21.805873597203966,7.761555758351434,16.76729044145264,-36.64195013629188,-35.099652657348585,-26.4634456295521,23.177278386543403,34.11037474529537,6.545956950483482,-32.76834731712826,-37.33320293800079,10.315908604794489,25.186120362695522,28.82135589625675,35.763717524349026,5.8589497933211145,12.044001781192883
0.34,0.03403403403403403,-23.41626413069414,-3.422881199843266,10.368761451589004,-24.453501043601513,35.74724927319267,-34.18877434294289,10.721691749228478,-20.406616543200748,-1.1430598746999492,-9.354850665090236,-10.494681607604756,35.41584580574758,-23.05717437627081,21.806936531712307,7.762517588955896,16.76781977179701,-36.64251185993968,-35.099605237858135,-26.46535312189105,23.177321723901905,34.110634654960634,6.546689811551319,-32.76916076191129,-37.33456107100508,10.316765897179163,25.186513857416507,28.82178852987736,35.76399062926254,5.857712445516604,12.042986428673855
0.35000000000000003,0.035035035035035036,-23.415535846930055,-3.422458258139461,10.369256332717779,-24.45358546757165,35.74779277719959,-34.18932932063471,10.72138783827379,-20.40707337936449,-1.144272349193657,-9.355014798663733,-10.494438764430559,35.4175220938083,-23.057130795199456,21.808018487844365,7.763503808978805,16.76835391597699,-36.64306832334675,-35.099534775205605,-26.467301313678718,23.17735258252545,34.11088249814675,6.547440874760395,-32.76997872754302,-37.33593684723704,10.317642046273356,25.186903425638054,28.822216462384095,35.76425006086836,5.85643380662087,12.041932269131236
