t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
1.51,0.15115115115115116,-20.59165866316419,-7.489188194924433,-13.632667793850867,-19.921162843400115,-20.4630710585784,2.072256321129903,33.82458966278938,-2.598700258467292,37.61818421092898,11.084374412494768,-24.581420057540736,27.29097466748831,5.53616103070123,-26.643745100054296,-0.4197337559460989,-21.241104173197055,0.06623355825816354,-0.29235404182817887,-5.602226552126923,7.158522181665251,1.6257827521928598,38.915860103946635
1.52,0.15215215215215216,-20.589607382879638,-7.489800698293711,-13.633279445016623,-19.92053235799155,-20.459819915381875,2.0725435248952984,33.82487498900312,-2.599564835274333,37.61759024933329,11.08943807110644,-24.580968347214924,27.290070466348848,5.537816057426247,-26.64621922432049,-0.419552059587829,-21.239459701315326,0.06453100088933539,-0.2921651299281815,-5.603181015434898,7.1564883276709645,1.623548016765624,38.913155817717104
1.53,0.15315315315315314,-20.587539566927052,-7.490410055746865,-13.633879544954818,-19.91989051251674,-20.456557527546487,2.0728331796928203,33.825160654367025,-2.600433898087619,37.61698566245775,11.09454009817068,-24.58051542230616,27.289156180087108,5.539489706237639,-26.648705379313295,-0.41936908071303264,-21.2377952768567,0.06281474462351062,-0.2919766878671537,-5.604145168932478,7.154428888904045,1.621296118795589,38.91041929694912
1.54,0.15415415415415415,-20.585455201421663,-7.491016171721366,-13.634467857013616,-19.91923725254069,-20.453284137378994,2.0731253065963973,33.8254467021087,-2.6013074186406113,37.616370419139656,11.09968048121905,-24.580061390545833,27.288231797479877,5.541182126924815,-26.65120352955637,-0.4191848218404746,-21.23611076319101,0.061084831830197764,-0.29178873635362584,-5.605119106253679,7.152343709065708,1.61902702764482,38.9076503929656
1.55,0.15515515515515516,-20.58335427244923,-7.491618951059369,-13.635044144765818,-19.918572524470157,-20.44999998756528,2.0734199269356512,33.825733175491024,-2.6021853682729885,37.615744488071094,11.104859201308729,-24.57960636029371,27.28729730722619,5.542893468957403,-26.653713638891233,-0.4189992855689241,-21.234406022963253,0.05934130822057778,-0.2916012958754719,-5.6061029215969365,7.1502326345432445,1.6167407129417837,38.904848958593554
1.56,0.15615615615615616,-20.581236766086995,-7.492218299028012,-13.635608172067185,-19.91789627557928,-20.446705321126178,2.073717062298253,33.826020117808845,-2.603067717931632,37.615107837803684,11.11007623282169,-24.57915044052592,27.2863526979511,5.544623881418892,-26.65623567047278,-0.4188124745774161,-21.232680918118074,0.05758422289689109,-0.29141438669833575,-5.607096709705508,7.1480955145550436,1.614437144597751,38.90201484828205
1.57,0.15715715715715717,-20.57910266842552,-7.492814121339635,-13.636159703115638,-19.91720845403533,-20.4434003813729,2.0740167345323184,33.82630757238562,-2.6039544381717605,37.614460436753596,11.115331543261467,-24.57869374082266,27.28539795820962,5.546373512938391,-26.658769586764862,-0.4186243916254952,-21.230935309925062,0.05581362840081745,-0.2912280288641593,-5.6081005658471295,7.145932201298474,1.612116292823648,38.89914791822307
1.58,0.15815815815815815,-20.57695196559147,-7.493406324171886,-13.63669850251131,-19.91650900892455,-20.44008541186212,2.074318965748847,33.82659558257,-2.604845499158212,37.61380225320692,11.120625093047677,-24.578236371355636,27.28443307649088,5.5481425116204965,-26.661315349536,-0.4184350395534416,-21.229169059004796,0.05402958076077541,-0.29104224218981195,-5.609114585792908,7.14374255010061,1.6097781281473662,38.89624802647545
1.59,0.15915915915915915,-20.574784643771345,-7.493994814187729,-13.637224335317464,-19.91579789027812,-20.43676065635071,2.0746237783242027,33.82688419173228,-2.6057408706668865,37.61313325532534,11.125956835308362,-24.57777844287519,27.283458041222428,5.5499310249732385,-26.663872919855123,-0.41824442128247974,-21.227382025355737,0.05223213953806581,-0.2908570462658196,-5.6101388657954505,7.141526419571757,1.607422621431538,38.89331503309172
1.6,0.16016016016016016,-20.572600689236157,-7.49457949855533,-13.637736967122255,-19.915075049098178,-20.43342635875014,2.074931194902639,33.8271734432609,-2.606640522086335,37.612453411152146,11.131326715670317,-24.577320066697187,27.28247284077474,5.5517391998341035,-26.666442258087447,-0.41805253981496976,-21.22557406838191,0.050421367871782814,-0.2906724604551937,-5.611173502566197,7.139283671761749,1.6050497438917892,38.89034880024801
1.61,0.16116116116116116,-20.57040008836708,-7.495160284967827,-13.638236164101343,-19.914340437383945,-20.43008276308059,2.0752412383988643,33.82746338055873,-2.6075444224195063,37.611762688618626,11.13673467204751,-24.576861354689623,27.281477463465922,5.553567182294113,-26.669023323890418,-0.4178593982345813,-21.22374504692143,0.04859733252241387,-0.2904885038923576,-5.61221859325197,7.137014172318973,1.6026594671154761,38.88734919237692
1.62,0.16216216216216217,-20.56818282768209,-7.495737081662955,-13.638721693081342,-19.913594008157936,-20.426730113424757,2.075553932000651,33.82775404703946,-2.608452540285648,37.61106105555079,11.142180634427742,-24.576402419258944,27.280471897566578,5.555415117619947,-26.671616076209755,-0.41766499970645016,-21.221894819275853,0.046760103914048966,-0.2903051954821705,-5.613274235410709,7.134717790652063,1.6002517630809143,38.88431607630328
1.6300000000000001,0.16316316316316315,-20.56594889386359,-7.496309797442539,-13.639193321604097,-19.91283571549221,-20.423368653881393,2.0758692991714884,33.82804548612375,-2.609364843922361,37.610348479676524,11.147664524657719,-24.57594337333612,27.279456131304883,5.5572831501741025,-26.674220473275593,-0.41746934747731834,-21.22002324324037,0.044909756175117894,-0.29012255389904695,-5.614340526986396,7.132394400094219,1.5978266041771094,38.881249321382995
1.6400000000000001,0.16416416416416416,-20.563698273787068,-7.496878341691839,-13.639650817991786,-19.91206551453472,-20.419998628518606,2.076187363653275,33.828337741235416,-2.6102813011878117,37.60962492863305,11.153186256226673,-24.57548433036244,27.27843015287185,5.559171423333088,-26.67683647259872,-0.4172724448756565,-21.218130176134867,0.04304636717757296,-0.28994059758617124,-5.615417566283141,7.13004387807008,1.5953839632239983,38.878148799644684
