t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35
0.2,0.02002002002002002,32.69822615244222,-32.75348172684693,-10.266511877976276,-1.9041599602255996,-24.384088079812283,-2.7012585542281555,1.608095522089531,-20.74746902422978,-8.070674443444002,-17.40573667517191,39.950073511339696,-20.82112322223254,-11.29697617620331,39.027615306036836,32.053166690031816,36.608237569168075,19.98414015005277,20.278311103284487,17.234005980913448,17.018394583232705,4.364594070311001,-9.70240657212343,11.55947345622538,2.446979210322591,-16.55221376679777,32.751026631448944,-15.573021097042934,-17.91221680504119,-37.32276137613844,-27.746606080623227,27.582809399725356,-8.290178054469584,38.82418428772249,-28.437267090460313,-27.837575681081073,-31.229299077177586
0.21,0.02102102102102102,32.6988425816628,-32.75507393901875,-10.26690064356279,-1.9045089730711462,-24.384167659938324,-2.7015117351313576,1.6078041148353879,-20.748249177482645,-8.070917739489603,-17.40593387437531,39.950423538205,-20.821888774597312,-11.29666801145887,39.029239202614804,32.05469031372966,36.60906557996812,19.984720168737233,20.279014868986458,17.2343711077026,17.018445009151684,4.364949560824975,-9.702838400932997,11.559718505679058,2.4472007176196793,-16.552519658894234,32.75163146498757,-15.572766801675153,-17.91263957824344,-37.32370863279622,-27.747181804216552,27.583256491434916,-8.29031147002878,38.82507456747496,-28.438362113055405,-27.838371316048608,-31.22961920657638
0.22,0.022022022022022022,32.699457647885126,-32.75671242004137,-10.267298228059019,-1.9048733848371415,-24.38422632662935,-2.7017753426980646,1.6074971866489305,-20.749047516658134,-8.071166030935943,-17.40612305749171,39.95075170574293,-20.822672307689874,-11.29633251443865,39.030904285568774,32.056257874526395,36.60989872758656,19.985309640063065,20.27973449870957,17.23473672436304,17.018480245622275,4.365317926610577,-9.703282152405428,11.559964352281675,2.4474310916374082,-16.552823909844157,32.752233774999226,-15.572484416966045,-17.913065301459135,-37.32466571552223,-27.747758419552827,27.583698492184688,-8.290443812770546,38.825970985678644,-28.439483288980615,-27.839178818469744,-31.22992391163788
0.23,0.023023023023023025,32.70007140200545,-32.75839709083403,-10.2677045896439,-1.9052531928584495,-24.384264035936603,-2.702049422222676,1.6071748141692963,-20.749864038811687,-8.071419433531107,-17.40630418720292,39.95105809424947,-20.823473892410124,-11.295969627138826,39.032610416644054,32.05786932753188,36.61073703383784,19.985908612448807,20.28047008321551,17.235102754074077,17.018500208144914,4.365699074618289,-9.70373784354148,11.560211003731286,2.447670356338125,-16.55312649779295,32.752833566612395,-15.572173994141767,-17.913493944211453,-37.32563261118538,-27.748335919990584,27.584135407825897,-8.290575153096073,38.8268735846044,-28.440630609847975,-27.839998189049762,-31.230213183582926
0.24,0.024024024024024024,32.70068389612864,-32.7601278693376,-10.268119685015105,-1.9056483945377298,-24.384280743797795,-2.7023340190041343,1.6068370766731261,-20.75069874025408,-8.071678066758528,-17.406477225409386,39.95134278956195,-20.8242936016241,-11.295579290644733,39.0343574526616,32.05952462511798,36.61158052063887,19.986517136814726,20.281221715259544,17.2354691182215,17.018504809872503,4.366092907879772,-9.704205492007999,11.560458467793524,2.447918536931247,-16.5534274009621,32.75343084706228,-15.571835587317288,-17.91392547516994,-37.32660930632603,-27.748914299732135,27.584567244584978,-8.290705563804812,38.82778240830736,-28.44180406649909,-27.840829429141472,-31.230487013144543
0.25,0.025025025025025023,32.70129518359242,-32.76190467049152,-10.268543469360388,-1.9060589873548544,-24.384276406042787,-2.702629178356365,1.6064840560867606,-20.751551616552323,-8.07194205386038,-17.40664213320966,39.951605883072126,-20.825131510178192,-11.295161445138294,39.03614524550213,32.06122371688678,36.61242921000039,19.9871352665938,20.281989489609586,17.23583573639897,17.018493961586657,4.366499325495594,-9.704685116136236,11.56070675228477,2.4481756598666595,-16.55372659764739,32.75402562570844,-15.571469253522249,-17.914359862143055,-37.32759578714801,-27.749493553829506,27.584994009067007,-8.290835120120741,38.828697502629716,-28.443003648965732,-27.8416725407431,-31.230745390560013
0.26,0.026026026026026026,32.7019053189926,-32.763727406210464,-10.268975896328387,-1.906484968876717,-24.384250978399418,-2.7029349456191363,1.606115836998604,-20.75242266253063,-8.0722115218615,-17.40679887087945,39.951847471739434,-20.825987694913763,-11.294716029905883,39.03797364209043,32.06296654963815,36.61328312401821,19.98776305774302,20.282773503065737,17.236202526409517,17.018467571673273,4.3669182226226955,-9.70517673491998,11.560955865054629,2.4484417528276485,-16.554024066216833,32.7546179140528,-15.57107505272767,-17.91479707207033,-37.32859203951035,-27.75007367819051,27.58541570825926,-8.290963899719547,38.82961891520357,-28.444229346429413,-27.842527526495942,-31.230988305562647
0.27,0.02702702702702703,32.702514358209264,-32.76559598536076,-10.269416917998903,-1.906926336767435,-24.384204416499454,-2.7032513661693214,1.6057325066716344,-20.75331187227149,-8.072486601593841,-17.40694739785012,39.952067658104475,-20.826862234682103,-11.294242983346615,39.03984248438,32.06475306733662,36.61414228486412,19.98840056875498,20.283573854480363,17.236569404267073,17.018425546097472,4.367349490461597,-9.70568036801348,11.561205813967712,2.448716844723361,-16.55431978510833,32.75520772575819,-15.570653047873487,-17.915237071014154,-37.32959804891863,-27.750654669584915,27.585832349534854,-8.29109198275669,38.83054669545387,-28.445481147179876,-27.84339438968173,-31.231215747373227
0.28,0.028028028028028028,32.70312235843396,-32.7675103137366,-10.269866484852678,-1.907383088798947,-24.384136675884655,-2.7035784854325726,1.605334155056036,-20.754219239116793,-8.07276742772145,-17.407087672686806,39.95226655030262,-20.827755210359765,-11.293742242981072,39.041751609338014,32.06658321107775,36.61500671477678,19.989047860669757,20.284390644778675,17.23693628419808,17.01836778837785,4.367793016243331,-9.70619603572917,11.561456606884686,2.449000965680781,-16.55461373282708,32.7557950766672,-15.570203304896921,-17.915679824151198,-37.33061380051618,-27.75123652565074,27.5862439406565,-8.291219451896387,38.83148089460147,-28.44675903857257,-27.844273134219776,-31.23142770469111
0.29,0.029029029029029027,32.703729378197885,-32.769470294036076,-10.270324545740678,-1.9078552228620065,-24.384047712012965,-2.703916348895389,1.6049208748019308,-20.755144755669086,-8.073054138765965,-17.40721965306599,39.95244426207776,-20.828666704864283,-11.293213745460456,39.04370084893071,32.068456919053894,36.615876436052275,19.989704997087088,20.285223976979854,17.23730307864319,17.018294199560092,4.368248683216111,-9.706723759035185,11.561708251642605,2.4492941470362095,-16.554905887942663,32.756379984821564,-15.56972589276164,-17.916125295763415,-37.33163927907485,-27.751819244900688,27.586650489780332,-8.291346392341497,38.832421565666266,-28.4480630069851,-27.845163764663823,-31.231624165684998
0.3,0.03003003003003003,32.70433547740107,-32.771475825837115,-10.270791047852935,-1.908342736977576,-24.38393748026483,-2.7042650021175763,1.604492761272184,-20.75608841379291,-8.073346877132638,-17.40734329575264,39.95260091279615,-20.829596803170208,-11.29265742657619,39.04569003010928,32.070374126519525,36.616751471034576,19.99037204417884,20.286073956218658,17.23766969825903,17.0182046781899,4.3687163706317085,-9.707263559552668,11.561960756034487,2.4495964213262433,-16.55519622908589,32.756962470481945,-15.56922088348772,-17.91657344922869,-37.33267446898552,-27.752402826728673,27.58705200545981,-8.291472891864311,38.83336876347041,-28.449393037772705,-27.846066286198635,-31.231805117983377
