t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36
1.34,0.13413413413413414,39.6206027038379,11.313187138234557,-16.80304418720957,-0.3731202539471271,-34.50954232841866,14.514118862460961,-37.5650402486619,28.913932774243538,-22.73067138488654,35.38208213183861,10.77767176914393,13.100163455184198,-14.666944903585025,-30.443432403437498,-10.724139445068406,19.718313603842972,-30.620053193435826,-6.302025272102864,-34.22205046693456,27.145445045794173,-10.103105868394136,20.503406538837222,1.8720768377914563,16.192554258392143,15.25623031380397,28.026326113126732,33.42798180299574,32.2848190354084,-19.420017506715194,0.9921703694041085,13.750620593516969,13.08834124966491,-30.68987673736699,-0.4411961815819855,-31.96737389703288,-29.851631200534435,-11.606617211879547
1.35,0.13513513513513514,39.62100823128539,11.313788884357901,-16.80631040874508,-0.3740637870345631,-34.5128913899247,14.511980270297148,-37.56230472855547,28.91388818000101,-22.731148777938387,35.382360768738415,10.779129079042042,13.101116936877707,-14.66639220513752,-30.44037929454727,-10.723974921580188,19.719994415479103,-30.61657248317316,-6.299619475010036,-34.223403713926004,27.141577549735818,-10.109696944318605,20.501214738674754,1.8720794729519363,16.190721430779924,15.25326115572474,28.023366338713302,33.42513725568211,32.28446193338467,-19.41771256829629,0.9945066192802616,13.753669075174974,13.094979933575646,-30.68909124658152,-0.4417461275914964,-31.965132246194127,-29.849773520602092,-11.607866524271001
1.36,0.13613613613613612,39.62139565326226,11.314398713135995,-16.809599954027536,-0.37500597461959295,-34.516270198372155,14.509829882187606,-37.55952985255749,28.913834917962767,-22.731633667607436,35.38262370570922,10.780610183616107,13.102074370780135,-14.66585305666638,-30.43729930410834,-10.723813789982747,19.72168487869762,-30.613066188928155,-6.297190390525296,-34.22477012395576,27.137665319513847,-10.116329809077174,20.499019099415367,1.8720756656624515,16.188862352008606,15.250274193606531,28.02037495733678,33.42226093580731,32.28409933764876,-19.41537768301214,0.9968597822100784,13.756732009900436,13.10167849154382,-30.688291028544956,-0.4422889281180495,-31.96285564084838,-29.847902918960674,-11.609114033764106
1.37,0.13713713713713713,39.62176475594274,11.315016771034795,-16.812912846652026,-0.3759466100927581,-34.5196790121265,14.507667989945915,-37.556715420393246,28.91377281547011,-22.73212623560366,35.38287067134734,10.78211554268557,13.103035748290988,-14.665327984455343,-30.43419247760142,-10.723656176470842,19.723384968590697,-30.60953465901102,-6.294737987243057,-34.226149873476764,27.133708363953453,-10.123003888509825,20.496819979966745,1.8720653208462552,16.186976747084888,15.24726961197926,28.01735191228477,33.41935280748336,32.283731230131785,-19.413012563555007,0.9992298247354242,13.759809203051276,13.108436642759377,-30.68747609784723,-0.442824275145936,-31.960543833870545,-29.846019551591095,-11.61035950760914
1.3800000000000001,0.13813813813813813,39.62211532992542,11.315643206368609,-16.816249108536876,-0.3768854851659634,-34.523118091849284,14.50549489258046,-37.553861237091944,28.913701695909467,-22.732626665984498,35.38310139228183,10.783645626005907,13.104001061997542,-14.664817521785169,-30.431058862698865,-10.72350220690997,19.725094658272504,-30.605978252401357,-6.2922622367931735,-34.22754313978981,27.129706705249266,-10.129718586724339,20.49461774129646,1.87204834507151,16.185064338968218,15.244247597394631,28.014297149326552,33.41641283899234,32.28335759063264,-19.410616918189223,1.0016167118919748,13.762900456942083,13.115254079372711,-30.686646474005137,-0.4433518561489149,-31.958196580170096,-29.84412357672006,-11.611602711186114
1.3900000000000001,0.13913913913913914,39.62244717041172,11.316278169308116,-16.819608759804222,-0.37782238989300293,-34.526587700447905,14.503310896324477,-37.55096711327074,28.913621378655904,-22.733135145197778,35.38331559313925,10.78520091349587,13.10497030572969,-14.664322208983712,-30.427898509315185,-10.723352006792991,19.72681391878458,-30.602397338783383,-6.289763113938604,-34.22895010101785,27.125660379301234,-10.136473285870615,20.492412746379642,1.872024646594915,16.183124848666715,15.241208338409374,28.011210616798163,33.41344100292302,32.282978396814045,-19.408190450721282,1.0040204071724388,13.766005570844396,13.122130465954038,-30.685802181562195,-0.44387135403088135,-31.955813636877476,-29.842215154839,-11.612843408031432
1.4000000000000001,0.14014014014014015,39.62276007738415,11.316921811888061,-16.82299181865689,-0.3787571126908727,-34.53008810302232,14.501116314659766,-37.54803286542287,28.91353167901615,-22.733651862125733,35.383512996506184,10.78678189547011,13.105943474616016,-14.663842593475145,-30.424711469657623,-10.723205701196536,19.728542718998398,-30.598792298569915,-6.28724059667348,-34.230370936079616,27.121569436044826,-10.143267345934756,20.490205360145104,1.8719941354030378,16.181157995337212,15.238152025567544,28.008092265688298,33.41043727630772,32.2825936242014,-19.405732860471236,1.0064408724895453,13.769124340988714,13.129065438970114,-30.684943250186098,-0.4443824470657436,-31.953394763535364,-29.84029444872286,-11.614081359865938
1.41,0.14114114114114115,39.62305385578414,11.3175742880146,-16.826398301251594,-0.37968944036186625,-34.53361956680864,14.498911468333796,-37.54505831620971,28.91343240817105,-22.73417700813019,35.38369332288951,10.788389072877255,13.106920565141046,-14.663379229828312,-30.421497798276754,-10.723063414737243,19.730281025515172,-30.59516352291458,-6.284694666321496,-34.23180582466241,27.117433939774834,-10.150100104554106,20.48799594941986,1.8719567232512027,16.179163496389435,15.235078851381918,28.004942049724985,33.407401640759375,32.28220324618462,-19.403243842245434,1.0088780681388168,13.77225656056824,13.136058606279917,-30.684069714763513,-0.44488480883650955,-31.950939722294798,-29.83836162344885,-11.615316326624422
1.42,0.14214214214214213,39.62332831568911,11.318235753472273,-16.829828221568413,-0.38061915811644764,-34.53718236111945,14.496696685369935,-37.54204329475654,28.91332337311753,-22.734710777098922,35.383856290674416,10.790022957543624,13.107901575203716,-14.66293267980422,-30.418257552117073,-10.722925271527838,19.732028802562873,-30.591511413711892,-6.282125307634516,-34.233254947194176,27.11325396946202,-10.156970876854347,20.485784882872053,1.871912323699794,16.177141067594253,15.231989010314452,28.00175992546303,33.40433408260856,32.28180723402312,-19.400723086310716,1.0113319527611477,13.775402019744405,13.143109546650976,-30.683181615492046,-0.44537810817358187,-31.94844827811614,-29.83641684641502,-11.616548066486601
1.43,0.14314314314314314,39.62358327248858,11.318906365930621,-16.83328159127662,-0.38154604959689453,-34.54077675728089,14.494472301070546,-37.53898763695172,28.913204376610004,-22.735253365493172,35.38400161607999,10.791684072422678,13.108886504177026,-14.662503512402694,-30.41499079056753,-10.722791395133061,19.7337860118905,-30.587836383584772,-6.279532508891294,-34.234718484814756,27.109029619061833,-10.163878955309837,20.483572530952245,1.8718608521478322,16.175090423195943,15.228882698755847,27.998545852372157,33.4012345930402,32.281405556853905,-19.3981702783701,1.013802483305214,13.778560505654218,13.150217809298006,-30.682278997969163,-0.44586200909226237,-31.945920198974886,-29.834460287358738,-11.617776335909623
