t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8
0.49,0.04904904904904905,-5.398776908178107,-13.812455419028769,14.995103370962902,3.42469998945576,-8.985769408060674,13.119263196328317,-7.03639511188769,-9.332862930167297,13.985886638580997
0.5,0.050050050050050046,-5.39839696218638,-13.812509365941427,14.995358451553942,3.42432149074852,-8.986397413744873,13.119267155450599,-7.036026980403459,-9.333378190089828,13.986455232618347
0.51,0.05105105105105105,-5.398007011349851,-13.812559003055458,14.995612491730899,3.4239337123914484,-8.987034383859791,13.119266186306044,-7.0356482358326025,-9.333900786749217,13.987030448423969
0.52,0.05205205205205205,-5.397607055893486,-13.812604342590795,14.995865482504325,3.423536643426091,-8.987680309191013,13.119260303297821,-7.035258865231775,-9.334430754959687,13.987612316643961
0.53,0.05305305305305305,-5.397197096054055,-13.812645396855213,14.996117414771964,3.423130272731141,-8.988335180399517,13.119249521047182,-7.034858855318761,-9.33496813008022,13.988200868162922
0.54,0.05405405405405406,-5.396777132080509,-13.812682178246119,14.99636827931868,3.4227145890238013,-8.988998988021212,13.119233854396535,-7.0344481924704105,-9.335512948018469,13.988796134103143
0.55,0.055055055055055056,-5.396347164234398,-13.81271469925234,14.996618066816401,3.4222895808611917,-8.989671722466477,13.119213318412596,-7.034026862720527,-9.33606524523474,13.989398145823735
0.56,0.056056056056056056,-5.395907192790288,-13.812742972455942,14.996866767824084,3.421855236641793,-8.990353374019703,13.119187928389596,-7.033594851757721,-9.336625058746058,13.99000693491968
0.5700000000000001,0.057057057057057055,-5.395457218036213,-13.812767010534065,14.997114372787703,3.421411544606938,-8.99104393283883,13.119157699852575,-7.033152144923224,-9.33719242613027,13.990622533220828
0.58,0.058058058058058054,-5.394997240274139,-13.812786826260773,14.997360872040261,3.420958492842344,-8.991743388954895,13.119122648560733,-7.032698727208647,-9.337767385530244,13.9912449727908
0.59,0.05905905905905906,-5.394527259820452,-13.81280243250892,14.997606255801822,3.4204960692796877,-8.992451732271576,13.119082790510856,-7.032234583253709,-9.338349975658113,13.991874285925848
0.6,0.06006006006006006,-5.394047277006458,-13.81281384225205,14.997850514179563,3.420024261698229,-8.993168952564744,13.119038141940818,-7.0317596973439125,-9.338940235799603,13.992510505153598
0.61,0.06106106106106106,-5.393557292178911,-13.812821068566286,14.998093637167852,3.419543057726476,-8.993895039482013,13.118988719333151,-7.031274053408172,-9.339538205818418,13.99315366323176
0.62,0.062062062062062065,-5.393057305700556,-13.812824124632273,14.998335614648344,3.419052444843899,-8.99462998254229,13.118934539418687,-7.030777635016399,-9.340143926160694,13.993803793146727
0.63,0.06306306306306306,-5.392547317950696,-13.81282302373711,14.998576436390106,3.418552410382689,-8.995373771135347,13.118875619180267,-7.030270425377037,-9.340757437859528,13.9944609281121
0.64,0.06406406406406406,-5.392027329325774,-13.812817779276317,14.998816092049765,3.4180429415295706,-8.996126394521362,13.118811975856532,-7.0297524073345485,-9.341378782539564,13.995125101567139
0.65,0.06506506506506507,-5.391497340239976,-13.812808404755813,14.999054571171671,3.417524025327653,-8.9968878418305,13.118743626945786,-7.0292235633668465,-9.342008002421652,13.995796347175117
0.66,0.06606606606606606,-5.390957351125858,-13.812794913793919,14.999291863188093,3.4169956486783417,-8.997658102062472,13.118670590209918,-7.028683875582683,-9.34264514032758,13.996474698821599
