t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
0.33,0.03303303303303303,-21.05739775605886,-20.724475197194888,-18.00336806018763,-17.16962492331051,24.81013121878313,27.752254611048958,19.44160753422865,12.811030967170925,-33.94369669633731,-11.251856573455795,24.549396311213386,-11.193365832665153,-25.367842815744858,-5.834961529649524,21.902752669022533,7.79876618081852,2.6260370055330853,-8.943741059488378,-30.585810680368446,15.52162293836435,11.02690610537551,12.422875938790751,25.38411828764951
0.34,0.03403403403403403,-21.057405803969107,-20.725218831479722,-18.00334163624535,-17.169921020970712,24.81099450807929,27.75215078711242,19.44207938408298,12.811842418479209,-33.9433526417815,-11.252017781850011,24.549674017253068,-11.193457075168629,-25.368433442132734,-5.835184895059991,21.903407966483996,7.798291437525154,2.625384976198916,-8.944156403798148,-30.586083992894455,15.521369734662851,11.026620549015684,12.423381639281656,25.38473475071308
0.35000000000000003,0.035035035035035036,-21.05740132965866,-20.725972104813906,-18.003303580303147,-17.170215370664547,24.811869070960903,27.752026418271264,19.44255403604359,12.812670520008078,-33.94297830139493,-11.252177095659404,24.549944998506408,-11.193544402776874,-25.369025905248748,-5.835410814613441,21.904069980738786,7.797797792429076,2.624711442996693,-8.944578549585128,-30.58634701194331,15.521099316954746,11.026319910589987,12.423895092085605,25.385354530614897
0.36,0.036036036036036036,-21.0573843380033,-20.72673499282308,-18.00325390959708,-17.1705079547143,24.812754909526355,27.75188144683025,19.443031506447532,12.813515251319826,-33.942573721668424,-11.25233452818172,24.550209232876885,-11.193627834017128,-25.369620165240356,-5.835639247153555,21.904738720275674,7.797285267852238,2.624016390351731,-8.94500746813977,-30.586599731646338,15.52081166994133,11.02600421662741,12.424416297840713,25.385977624833046
0.37,0.037037037037037035,-21.05735483404184,-20.72750747028655,-18.003192642256234,-17.170798755235296,24.813652025801996,27.75171581319462,19.443511811876835,12.814376591566408,-33.94213894953534,-11.252490093316217,24.55046669806118,-11.19370738804698,-25.370216182138158,-5.835870151382834,21.905414193711735,7.796753887315802,2.6232998025849796,-8.9454431299226,-30.586842145550513,15.520506777908873,11.025673494807199,12.424945257784454,25.38660403063642
0.38,0.03803803803803804,-21.057312822977202,-20.728289511132523,-18.003119797301643,-17.171087754139435,24.81456042174007,27.751529455872486,19.443994969156865,12.815254519489223,-33.9416740323815,-11.252643805561856,24.55071737155409,-11.193783084654552,-25.370813915860133,-5.8361034858646414,21.906096409788493,7.7962036755422295,2.6225616639186855,-8.945885504571072,-30.587074246618265,15.520184624730147,11.025327773964316,12.425481973754666,25.387233745089492
0.39,0.03903903903903904,-21.057258310177524,-20.729081088433244,-18.003035394645167,-17.17137493313884,24.815480099216593,27.751322311477466,19.444480995354642,12.816149013418844,-33.941179018055585,-11.252795680015428,24.55096123065367,-11.193854944258867,-25.371413326215844,-5.836339209025224,21.906785377368006,7.795634658457377,2.621801958482246,-8.946334560906585,-30.587296027227374,15.51984519386603,11.024967084095124,12.426026448190491,25.387866765057137
0.4,0.04004004004004004,-21.057191301177266,-20.729882174400025,-18.002939455088356,-17.171660273749634,24.816411060029235,27.75109431473163,19.444969907777022,12.81706005127468,-33.940653954880034,-11.252945732369593,24.55119825246661,-11.193922987910401,-25.37201437291064,-5.836577279155726,21.907481105428896,7.795046863192609,2.621020670318257,-8.946790266941653,-30.587507479170963,15.51948846836721,11.024591456363295,12.426578684133242,25.388503087209546
0.41000000000000003,0.04104104104104104,-21.057111801678353,-20.730692740378206,-18.002832000321266,-17.17194375729583,24.817353305895132,27.750845398468694,19.445461723968823,12.817987610564563,-33.94009889166234,-11.253093978910847,24.551428413913843,-11.19398723729183,-25.372617015549825,-5.8368176544141726,21.908183603062323,7.794440318086925,2.6202177833887537,-8.947252589887214,-30.58770859365759,15.51911443087601,11.02420092310593,12.427138685227192,25.389142708027226
0.42,0.04204204204204204,-21.057019817551325,-20.73151275684199,-18.002713052921248,-17.172225364913356,24.818306838448688,27.75057549363751,19.44595646171085,12.818931668384272,-33.93951387770686,-11.253240436517405,24.55165169173638,-11.19404771471895,-25.373221213642786,-5.837060292827442,21.9088928794679,7.793815052689093,2.619393281581649,-8.947721496160103,-30.587899361311464,15.518723063628272,11.0237955178399,12.427706455720292,25.38978562380607
0.43,0.043043043043043044,-21.05691535483651,-20.73234219338923,-18.002582636351697,-17.172505077554202,24.819271659239345,27.750284529305848,19.446454139017828,12.819892201416986,-33.93889896282702,-11.253385122657004,24.551868062501384,-11.194104443141798,-25.37382692660714,-5.837305152293216,21.90960894394956,7.79317109775979,2.618547148717369,-8.948196951390674,-30.588079772172733,15.518314348455373,11.023375275268382,12.428282000464808,25.3904318306625
0.44,0.044044044044044044,-21.056798419745213,-20.73318101873609,-18.002440774960775,-17.172782875990684,24.820247769729313,27.7499724326645,19.44695477413625,12.820869185932658,-33.93825419735797,-11.253528055384628,24.552077502608455,-11.194157446145955,-25.374434113772814,-5.837552190581898,21.910331805911365,7.792508485273745,2.6176793685556823,-8.948678920430568,-30.58824981569792,15.517888266786327,11.02294023128761,12.428865324917865,25.391081324538696
0.45,0.04504504504504504,-21.056669018660937,-20.73402920071168,-18.002287493980074,-17.173058740819837,24.82123517129128,27.74963912903165,19.447458385542134,12.821862597787325,-33.937579632169665,-11.25366925334015,24.55227998829616,-11.194206747954029,-25.375042734386106,-5.837801365338521,21.911061474853245,7.791827248421884,2.616789924802732,-8.949167367360639,-30.588409480760436,15.517444799649988,11.022490422993817,12.429456435141919,25.391734101207888
0.46,0.04604604604604605,-21.056527158140586,-20.73488670625259,-18.00212281952326,-17.173332652467945,24.82223386520608,27.749284541857605,19.447964991938715,12.822872412422324,-33.93687531868035,-11.253808735745892,24.55247549564879,-11.194252373427345,-25.37565274761374,-5.838052634084616,21.911797960366716,7.791127421613462,2.615878801118265,-8.949662255499026,-30.588558755651242,15.516983927677359,11.02202588869038,12.43005533780513,25.392390156279713
0.47000000000000003,0.04704704704704705,-21.056372844915725,-20.73575350139734,-18.001946778584674,-17.17360459119518,24.82324385266033,27.748908592729823,19.448474612254007,12.82389860486345,-33.93614130887046,-11.253946522404116,24.55266400060334,-11.194294348067805,-25.376264112546863,-5.838305954220065,21.912541272130515,7.790409040478207,2.614945981123063,-8.950163547409387,-30.588697628079604,15.516505631103998,11.021546667895135,12.430662040181645,25.393049485205655
0.48,0.04804804804804805,-21.056206085893827,-20.73662955128082,-18.001759399037862,-17.17387453710039,24.824265134744046,27.748511201378285,19.448987265638323,12.824941149720015,-33.935377655296925,-11.254082633694411,24.552845478956723,-11.194332698019947,-25.376876788205042,-5.838561283024914,21.91329141990619,7.789672141868433,2.613991448406572,-8.950671204909273,-30.588826085173988,15.51600988977254,11.0210528013479,12.431276550151779,25.393712083284537
