t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
8.3,0.8308308308308309,14.950475227950575,-35.33722053876352,-10.196267517532672,8.657691906993648,-22.767356646761197,-16.480244876249685,14.950573816772941,27.52163357646869,27.50969420001227,-41.62989419203296,33.81036695225636
8.31,0.8318318318318318,14.950398453524468,-35.33727781579839,-10.196368991590337,8.657591290403364,-22.767435164587873,-16.480195951255823,14.95063234934466,27.521579257576168,27.51016245073271,-41.6299560548886,33.81032208565411
8.32,0.8328328328328328,14.95032266842178,-35.337334064143064,-10.196468907160599,8.657492141226806,-22.767512379991658,-16.4801476641514,14.95068988436993,27.521525517474196,27.510623801473688,-41.630016661505664,33.810277573100436
8.33,0.8338338338338338,14.9502478605206,-35.337389296489064,-10.196567283368307,8.657394441949208,-22.767588309402502,-16.480100007215313,14.950746434010078,27.521472349419284,27.51107833694768,-41.63007602798944,33.81023341073223
8.34,0.8348348348348348,14.950174017831117,-35.337443525404716,-10.196664139143891,8.657298175223376,-22.767662969071978,-16.48005297280631,14.950802010311525,27.521419746737052,27.51152614098656,-41.630134170273976,33.81018959472569
8.35,0.8358358358358359,14.950101128494412,-35.337496763335814,-10.196759493224747,8.657203323868757,-22.76773637507494,-16.480006553362394,14.95085662520629,27.52136770282173,27.511967296548605,-41.630191104123554,33.8101461212961
8.36,0.8368368368368369,14.950029180781234,-35.33754902260629,-10.19685336415662,8.657109870870489,-22.76780854331119,-16.479960741400244,14.950910290512496,27.521316211135666,27.512401885725456,-41.630246845134096,33.810102986697544
8.370000000000001,0.8378378378378378,14.9499581630908,-35.33760031541889,-10.196945770295004,8.657017799378453,-22.76787948950713,-16.479915529514635,14.950963017934896,27.52126526520881,27.51282998974909,-41.63030140873463,33.81006018722268
8.38,0.8388388388388388,14.949888063949599,-35.33765065385586,-10.197036729806511,8.656927092706319,-22.767949229217372,-16.479870910377844,14.951014819065406,27.52121485863823,27.51325168899872,-41.63035481018871,33.81001771920247
8.39,0.8398398398398398,14.949818872010201,-35.33770004987964,-10.19712626067027,8.656837734330573,-22.76801777782637,-16.479826876739068,14.951065705383657,27.521164985087598,27.513667063007716,-41.63040706459585,33.8099755790059
8.4,0.8408408408408409,14.949750576050082,-35.33774851533356,-10.19721438067931,8.656749707889553,-22.768085150550004,-16.479783421423836,14.951115688257543,27.52111563828668,27.514076190470462,-41.6304581868929,33.80993376303974
8.41,0.8418418418418419,14.94968316497045,-35.337796061942534,-10.197301107441943,8.656662997182465,-22.768151362437184,-16.479740537333416,14.9511647789438,27.521066812030845,27.514479149249212,-41.63050819185549,33.809892267748246
8.42,0.8428428428428428,14.949616627795084,-35.3378427013138,-10.197386458383153,8.656577586168408,-22.768216428371403,-16.479698217444234,14.951212988588576,27.521018500180546,27.514876016380903,-41.63055709409941,33.80985108961293
8.43,0.8438438438438438,14.949550953669183,-35.337888444937605,-10.197470450745978,8.656493458965379,-22.768280363072307,-16.47965645480728,14.951260328228022,27.52097069666082,27.51526686808395,-41.63060490808198,33.80981022515224
8.44,0.8448448448448448,14.949486131858215,-35.33793330418796,-10.197553101592892,8.656410599849279,-22.76834318109724,-16.479615242547517,14.951306808788889,27.520923395460795,27.515651779764998,-41.630651648103445,33.80976967092133
8.45,0.8458458458458459,14.949422151746788,-35.337977290323366,-10.197634427807182,8.656328993252922,-22.768404896842764,-16.4795745738633,14.951352441089131,27.52087659063315,27.516030826025677,-41.63069732830834,33.809729423511726
8.46,0.8468468468468469,14.949359002837513,-35.33802041448751,-10.197714446094338,8.656248623765025,-22.768465524546187,-16.47953444202578,14.95139723583852,27.52083027629365,27.516404080669286,-41.63074196268685,33.80968947955112
8.47,0.8478478478478478,14.94929667474989,-35.33806268771006,-10.197793172983415,8.656169476129206,-22.76852507828706,-16.479494840378333,14.951441203639266,27.520784446620613,27.51677161670748,-41.63078556507615,33.80964983570301
8.48,0.8488488488488488,14.949235157219194,-35.33810412090737,-10.197870624828422,8.656091535242966,-22.768583571988675,-16.479455762335945,14.951484354986649,27.52073909585441,27.51713350636692,-41.63082814916178,33.8096104886665
8.49,0.8498498498498498,14.949174440095373,-35.338144724883236,-10.197946817809687,8.656014786156687,-22.76864101941954,-16.479417201384653,14.951526700269646,27.52069421829697,27.51748982109589,-41.63086972847893,33.80957143517593
8.5,0.8508508508508509,14.949114513341952,-35.338184510329675,-10.198021767935225,8.655939214072601,-22.768697434194845,-16.479379151080945,14.951568249771586,27.520649808311273,27.51784063157087,-41.63091031641382,33.80953267200068
8.51,0.8518518518518519,14.949055367034948,-35.338223487827634,-10.198095491042114,8.655864804343778,-22.768752829777917,-16.479341605051182,14.951609013670787,27.520605860320835,27.51818600770312,-41.63094992620498,33.80949419594481
8.52,0.8528528528528528,14.948996991361785,-35.33826166784778,-10.19816800279785,8.655791542473098,-22.76880721948166,-16.479304556991007,14.951649002041211,27.52056236880922,27.51852601864519,-41.630988570944574,33.80945600384682
8.53,0.8538538538538538,14.948939376620233,-35.338299060751254,-10.198239318701713,8.655719414112227,-22.76886061646998,-16.479268000664778,14.951688224853136,27.520519328319534,27.518860732797414,-41.63102626357972,33.80941809257936
8.540000000000001,0.8548548548548548,14.948882513217338,-35.33833567679044,-10.198309454086125,8.655648405060587,-22.76891303375921,-16.479231929904973,14.951726691973805,27.520476733453922,27.519190217814383,-41.63106301691375,33.80938045904892
8.55,0.8558558558558559,14.948826391668375,-35.33837152610973,-10.198378424118003,8.655578501264326,-22.76896448421951,-16.47919633861162,14.951764413168105,27.520434578873076,27.519514540611382,-41.63109884360751,33.80934310019557
8.56,0.8568568568568569,14.948771002595791,-35.33840661874629,-10.19844624380011,8.655509688815286,-22.769014980576262,-16.479161220751713,14.95180139809924,27.52039285929573,27.519833767370784,-41.63113375618065,33.80930601299266
8.57,0.8578578578578578,14.94871633672818,-35.33844096463083,-10.198512927972402,8.65544195394997,-22.769064535411452,-16.47912657035865,14.951837656329408,27.520351569498164,27.520147963548425,-41.63116776701289,33.80926919444653
8.58,0.8588588588588588,14.948662384899247,-35.338474573588364,-10.198578491313373,8.655375283048501,-22.769113161165038,-16.47909238153164,14.951873197320486,27.520310704313715,27.520457193879942,-41.63120088834526,33.80923264159624
8.59,0.8598598598598598,14.948609138046784,-35.33850745533904,-10.198642948341394,8.655309662633597,-22.76916087013631,-16.47905864843515,14.951908030434716,27.52027025863228,27.520761522387083,-41.63123313228138,33.809196351513265
8.6,0.8608608608608609,14.948556587211657,-35.338539619498846,-10.198706313416046,8.65524507936952,-22.769207674485237,-16.47902536529832,14.951942164935389,27.520230227399825,27.521061012383974,-41.6312645107887,33.80916032130122
8.61,0.8618618618618619,14.948504723536804,-35.338571075580425,-10.198768600739454,8.65518152006105,-22.769253586233802,-16.478992526414405,14.951975609987548,27.520190605617895,27.521355726483367,-41.631295035699715,33.809124548095575
8.620000000000001,0.8628628628628628,14.948453538266232,-35.338601832993845,-10.198829824357608,8.655118971652435,-22.76929861726733,-16.47896012614021,14.952008374658673,27.520151388343123,27.521645726602852,-41.631324718713245,33.80908902906336
8.63,0.8638638638638638,14.94840302274403,-35.338631901047385,-10.19888999816169,8.655057421226363,-22.76934277933581,-16.478928158895513,14.952040467919389,27.52011257068675,27.521931073971025,-41.63135357139561,33.809053761402886
8.64,0.8648648648648649,14.948353168413382,-35.33866128894831,-10.198949135889386,8.654996856002919,-22.76938608405517,-16.47889661916253,14.952071898644158,27.520074147814128,27.522211829133635,-41.63138160518185,33.80901874234346
8.65,0.8658658658658659,14.9483039668156,-35.338690005803635,-10.199007251126206,8.654937263338539,-22.769428542908614,-16.478865501485323,14.952102675611986,27.520036114944254,27.522488051959694,-41.631408831376966,33.80898396914511
8.66,0.8668668668668669,14.948255409589144,-35.338718060620934,-10.199064357306781,8.654878630724983,-22.76947016724786,-16.478834800469276,14.952132807507125,27.519998467349275,27.522759801647553,-41.63143526115708,33.80894943909829
8.67,0.8678678678678678,14.94820748846868,-35.3387454623091,-10.199120467716176,8.654820945788291,-22.769510968294448,-16.478804510780517,14.952162302919783,27.519961200354015,27.523027136730946,-41.63146090557065,33.80891514952361
8.68,0.8688688688688688,14.948160195284112,-35.33877221967912,-10.199175595491173,8.654764196287745,-22.769550957140975,-16.47877462714538,14.952191170346829,27.5199243093355,27.523290115085,-41.63148577553964,33.80888109777153
8.69,0.8698698698698699,14.948113521959646,-35.338798341444885,-10.199229753621578,8.654708370114832,-22.769590144752364,-16.478745144349855,14.952219418192499,27.519887789722485,27.523548793932203,-41.631509881860694,33.808847281222135
8.700000000000001,0.8708708708708709,14.948067460512855,-35.33882383622392,-10.1992829549515,8.654653455292214,-22.76962854196709,-16.47871605723903,14.952247054769108,27.519851636994975,27.523803229848358,-41.631533235206334,33.80881369728479
8.71,0.8718718718718719,14.94802200305374,-35.338848712538216,-10.199335212180625,8.654599439972687,-22.76966615949843,-16.478687360716567,14.952274088297763,27.519815846683763,27.52405347876848,-41.631555846126076,33.808780343397906
8.72,0.8728728728728729,14.947977141783824,-35.338872978814955,-10.199386537865506,8.65454631243815,-22.769703007935668,-16.47865904974414,14.952300526909069,27.51978041436995,27.524299595992673,-41.63157772504762,33.808747217028646
8.73,0.8738738738738738,14.94793286899522,-35.33889664338732,-10.19943694442082,8.654494061098573,-22.76973909774531,-16.478631119340925,14.952326378643843,27.519745335684497,27.52454163619197,-41.63159888227796,33.80871431567266
8.74,0.8748748748748749,14.947889177069742,-35.33891971449528,-10.199486444120637,8.65444267449097,-22.769774439272283,-16.47860356458303,14.952351651453824,27.51971060630775,27.524779653414136,-41.63161932800456,33.8086816368538
8.75,0.8758758758758759,14.94784605847799,-35.338942200286326,-10.19953504909968,8.654392141278366,-22.76980904274114,-16.47857638060299,14.952376353202387,27.519676221968982,27.52501370108944,-41.63163907229645,33.80864917812386
8.76,0.8768768768768769,14.947803505778468,-35.33896410881626,-10.199582771354573,8.654342450248777,-22.76984291825723,-16.478549562589237,14.952400491665252,27.519642178445938,27.525243832036384,-41.631658125105375,33.80861693706229
8.77,0.8778778778778779,14.947761511616696,-35.33898544804999,-10.199629622745087,8.654293590314175,-22.76987607580786,-16.478523105785552,14.952424074531194,27.519608471564375,27.52547009846742,-41.631676496266884,33.80858491127594
8.78,0.8788788788788788,14.947720068724328,-35.33900622586225,-10.199675614995387,8.654245550509481,-22.76990852526349,-16.47849700549056,14.95244710940276,27.51957509719761,27.525692551994595,-41.63169419550146,33.808553098398804
8.790000000000001,0.8798798798798799,14.94767916991829,-35.33902645003841,-10.199720759695253,8.65419831999153,-22.76994027637885,-16.478471257057205,14.952469603796969,27.519542051266075,27.5259112436352,-41.63171123241561,33.8085214960917
8.8,0.8808808808808809,14.947638808099912,-35.339046128275236,-10.199765068301321,8.654151888038065,-22.769971338794115,-16.478445855892236,14.952491565146026,27.519509329736866,27.526126223817357,-41.63172761650295,33.808490102042065
8.81,0.8818818818818819,14.947598976254072,-35.33906526818162,-10.199808552138295,8.654106244046718,-22.770001722036017,-16.478420797455684,14.952513000798035,27.519476928623295,27.526337542385587,-41.63174335714531,33.80845891396366
8.82,0.8828828828828829,14.947559667448346,-35.339083877279386,-10.199851222400168,8.654061377533996,-22.770031435518987,-16.47839607726036,14.952533918017698,27.519444843984445,27.52654524860633,-41.631758463613785,33.80842792959631
8.83,0.8838838838838838,14.947520874832167,-35.33910196300402,-10.199893090151427,8.654017278134278,-22.770060488546257,-16.478371690871345,14.952554323987027,27.519413071924742,27.526749391173446,-41.63177294506983,33.808397146705666
8.84,0.8848848848848849,14.94748259163599,-35.33911953270543,-10.199934166328257,8.653973935598803,-22.770088890310983,-16.47834763390548,14.952574225806043,27.519381608593502,27.526950018213665,-41.631786810566304,33.8083665630829
8.85,0.8858858858858859,14.947444811170469,-35.33913659364872,-10.199974461739734,8.653931339794669,-22.770116649897332,-16.478323902030862,14.952593630493483,27.51935045018451,27.52714717729201,-41.63180006904854,33.80833617654449
8.86,0.8868868868868869,14.947407526825621,-35.339153153014905,-10.200013987069017,8.653889480703837,-22.77014377628158,-16.478300490966365,14.952612544987502,27.519319592935584,27.52734091541719,-41.631812729355374,33.808305984931955
