t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
6.15,0.6156156156156156,-21.707303533681614,35.04835417996323,3.6802410596569186,16.205531251892545,9.853994099295818,35.097877290319296,-34.10238377841032,-9.001211824994108,-15.248794294542314,28.763263352675636,-15.372803740719903,16.152719923292203,-34.11039743160471,22.46009775218395,-21.502070081082778,-2.736460771468402,-21.609195962455317,-15.332875180654879,-34.07315154992889,34.96336474230689,-29.5200256186447,22.25961193051346,41.27714110952195,28.703059917234302,41.31146927413641,-34.18334869011332,-27.849753692239283,9.960609034185596,22.464796358090624,-21.510825107074986,-27.846446491956577
6.16,0.6166166166166166,-21.706228330739453,35.04766735512169,3.6787984200103887,16.204702868403427,9.85393010250574,35.09702509995605,-34.10306832851377,-9.001402097161234,-15.249286404711683,28.7628416422588,-15.37177949016007,16.152420069276253,-34.11095321842822,22.459806183791116,-21.502750151720264,-2.7365842139989542,-21.609141255558765,-15.333619859924061,-34.07416719746527,34.96333338573072,-29.508351470708433,22.259442251447236,41.27685617516872,28.702890936664595,41.31099479297717,-34.18373721180006,-27.849774045763542,9.959210343802107,22.464230874524997,-21.511353645071235,-27.84687005421726
6.17,0.6176176176176176,-21.705172165558903,35.04698198113475,3.677368454845048,16.203878051800068,9.853862038105238,35.096176517500815,-34.10375025508351,-9.001595468509176,-15.249778330681249,28.76241786579986,-15.37077327830171,16.15211759350386,-34.111507809642106,22.45951122078495,-21.503429715893997,-2.7367117089751636,-21.60909207281432,-15.334353154254941,-34.075176996929414,34.96329883983602,-29.496658546373176,22.25928094238551,41.27656893765701,28.702717552016907,41.31051932798359,-34.18412562304332,-27.84980054988409,9.957819591885926,22.463666159196325,-21.51188192473045,-27.847293948063605
6.18,0.6186186186186187,-21.704134759375197,35.046298096671784,3.675950985040648,16.203056811878444,9.853789911830946,35.09533150346598,-34.10442954401212,-9.001791866894775,-15.250270044401157,28.761992054084924,-15.369784928102499,16.151812579246716,-34.11206117977841,22.459212913061357,-21.50410875088272,-2.736843176629409,-21.609048329464578,-15.335074887040411,-34.07618099095132,34.963261158034584,-29.484948669774255,22.25912834635063,41.27627947827258,28.702539879031313,41.310042937603505,-34.184513830083894,-27.84983312842336,9.956436804644367,22.4631022387497,-21.512409963743742,-27.847718122712877
6.19,0.6196196196196196,-21.70311583429498,35.04561574117907,3.674545835145166,16.20223915912976,9.853713731687654,35.09449001933463,-34.10510618019219,-9.00199121944632,-15.250761516743074,28.761564238399174,-15.368814262935384,16.15150510991375,-34.11261330211674,22.4589113108245,-21.50478723354856,-2.736978535905528,-21.609009939237087,-15.335784888298052,-34.07717922072923,34.96322039617846,-29.473223676412616,22.25898479802385,41.275987879471856,28.7023580342377,41.309565680879096,-34.18490173762347,-27.849871704657573,9.955062007445326,22.46253914077776,-21.512937778597244,-27.848142526192962
6.2,0.6206206206206206,-21.702115113332837,35.044934954841125,3.6731528333324204,16.201425104711333,9.853633507913873,35.093652027569156,-34.10578014755209,-9.002193452605875,-15.251252717540453,28.761134450535344,-15.3678611065758,16.151195269030698,-34.1131641487279,22.45860646460027,-21.505465140329388,-2.737117704517253,-21.608976814401174,-15.336482994928502,-34.078171726026476,34.96317661248794,-29.46148541164751,22.258850623320324,41.27569422482488,28.70217213490363,41.30908761741418,-34.18528924893162,-27.849916201314578,9.953695224826982,22.461976893788698,-21.51346538457458,-27.848567105398082
6.21,0.6216216216216216,-21.701132320450142,35.044255778540695,3.6717718113596187,16.2006146604163,9.853549252946914,35.09281749161896,-34.10645142909316,-9.002398492173151,-15.251743615629831,28.76070272280136,-15.366925283189579,16.150883140218006,-34.11371369051905,22.45829842524854,-21.506142447232094,-2.7372605990079815,-21.60894886582632,-15.337169050962663,-34.079158545170216,34.963129867477164,-29.449735729174034,22.258726138977025,41.275398598955924,28.70198229897994,41.30860880734014,-34.18567626595525,-27.849966540573018,9.95233648050559,22.461415527172925,-21.513992795759833,-27.848991806146046
6.22,0.6226226226226226,-21.700167180596118,35.04357825381747,3.6704026045248077,16.199807838642208,9.853460981387435,35.09198637592732,-34.10712000692823,-9.0026062633508,-15.252234178893106,28.76026908802709,-15.366006617321574,16.150568807167136,-34.11426189728044,22.45798724397424,-21.506819129826805,-2.7374071348118245,-21.608926003042072,-15.337842907796981,-34.08013971505184,34.96308022387733,-29.43797648948871,22.25861165215468,41.27510108748199,28.701788645044118,41.30812931128077,-34.18606268943044,-27.850022644062943,9.950985797381437,22.46085507116854,-21.514520025040998,-27.84941657323695
6.23,0.6236236236236237,-21.699219419751053,35.04290242282554,3.6690450516241944,16.199004652358592,9.853368709963434,35.09115864593738,-34.10778586232142,-9.002816690791066,-15.252724374300724,28.75983357957027,-15.36510493388505,16.15025235361533,-34.11480873773348,22.45767297233719,-21.50749516324209,-2.7375572263158587,-21.60890813429939,-15.338504424416085,-34.081115271129256,34.963027746557714,-29.426209558346272,22.258507460054826,41.274801776949246,28.701591292241634,41.30764919031584,-34.186448418996385,-27.85008443286779,9.949643197543029,22.460295556825628,-21.515047084113935,-27.84984135051325
6.24,0.6246246246246246,-21.698288764971537,35.042228328289745,3.667698994909314,16.198205115073552,9.85327245749366,35.09033426809721,-34.10844897572918,-9.003029698643676,-15.25321416795571,28.75939623132149,-15.36422005815185,16.14993386331893,-34.11535417958018,22.45735566226071,-21.508170522161137,-2.737710786923507,-21.608895166633392,-15.339153467602108,-34.08208524743087,34.962972502444586,-29.41443680521087,22.258413849553033,41.27450075476749,28.701390360225233,41.307168505943714,-34.18683335331127,-27.85015182752777,9.948308702269617,22.45973701596944,-21.51557398348687,-27.850266080921056
6.25,0.6256256256256256,-21.69737494443762,35.04155601346094,3.666364280044022,16.197409240799466,9.853172244850432,35.08951320986404,-34.10910932684238,-9.003245210604884,-15.253703525138468,28.758957077708292,-15.363351815743377,16.149613420025336,-34.11589818955378,22.457035366039,-21.508845180818923,-2.7378677291189693,-21.608887005927382,-15.339789912130044,-34.083049676561416,34.96291456043802,-29.402660101704956,22.258331096849307,41.27419810914284,28.701185969092364,41.3066873200429,-34.18721739016995,-27.850224748044702,9.946982332032121,22.45917948116259,-21.516100732485427,-27.850690706572646
6.26,0.6266266266266266,-21.69647768750179,35.040885522070326,3.665040756061282,16.196617044017874,9.853068094921849,35.08869543970753,-34.10976689462946,-9.003463149967542,-15.254192410352294,28.758516153698352,-15.362500032622387,16.14929110744362,-34.11644073347061,22.456712136343242,-21.509519113000405,-2.738027964532616,-21.608883556978114,-15.340413640948578,-34.084008589709526,34.962853991326874,-29.390881320059044,22.2582594671366,41.273893929008686,28.700978239320847,41.3062056948327,-34.18760042662308,-27.8503031138882,9.945664106492574,22.45862298566625,-21.51662733925823,-27.85111516880999
6.2700000000000005,0.6276276276276276,-21.695596724739627,35.040216898282885,3.6637282753197353,16.195828539643642,9.85296003257335,35.08788092711217,-34.11042165738048,-9.00368343967211,-15.254680787369507,28.75807349480169,-15.361664535085676,16.14896700921399,-34.116981776282906,22.456386026226465,-21.510192292039722,-2.7381914040072615,-21.60888472356219,-15.341024545345833,-34.08496201665702,34.96279086770188,-29.379102331565537,22.258199214288325,41.27358830395512,28.70076729170288,41.30572369283305,-34.18798235909761,-27.850386844003317,9.944354044502148,22.45806756340054,-21.517153810783075,-27.851539408269254
6.28,0.6286286286286287,-21.694731788002013,35.039550186650025,3.6624266934600302,16.19504374298847,9.852848084608661,35.08706964257874,-34.111073592752035,-9.003906002358487,-15.255168619278125,28.757629137071973,-15.360845149757608,16.14864120887609,-34.11752128213265,22.456057089127146,-21.510864690820426,-2.7383579576652144,-21.60889040850352,-15.34162252509957,-34.08590998578998,34.962725263867156,-29.367325005039838,22.25815058056572,41.273281324156876,28.700553247277544,41.30524137682354,-34.18836308351831,-27.85047585681958,9.943052164097889,22.457513248904085,-21.517680152873716,-27.85196336494613
6.29,0.6296296296296297,-21.693882610468812,35.03888543206154,3.661135869360892,16.194262669723848,9.852732279730077,35.08626155762492,-34.11172267781289,-9.004130760418539,-15.255655868529015,28.75718311710684,-15.360041703584553,16.14831378983627,-34.11805921440624,22.45572537887155,-21.51153628177673,-2.7385275349760216,-21.608900513741695,-15.342207488611393,-34.086852524111514,34.962657255750145,-29.355551205291857,22.25811379634579,41.2729730803,28.70033622726188,41.30475880980182,-34.188742495430176,-27.850570070261387,9.941758482498225,22.456960077292873,-21.518206370187215,-27.852386978261894
6.3,0.6306306306306306,-21.693048926703806,35.03822267969701,3.6598556650949234,16.193485335843516,9.852612648498093,35.08545664478491,-34.112368889090234,-9.004357636049233,-15.256142496983424,28.75673547204727,-15.359254023830239,16.147984835333943,-34.11859553578989,22.45539094967481,-21.512207036895802,-2.7387000448247947,-21.608914940401277,-15.342779353024625,-34.08778965725621,34.962586920810125,-29.343782791611,22.25808907987058,41.2726636635074,28.700116352980753,41.30427605494136,-34.18912049012145,-27.850669401759834,9.94047301609737,22.456408084218506,-21.518732466231953,-27.85281018713007
6.3100000000000005,0.6316316316316316,-21.692230472710833,35.037561974976654,3.6585859458841217,16.192711757625556,9.85248922329039,35.0846548776082,-34.11301220261651,-9.004586551306243,-15.256628465960816,28.756286239575978,-15.35848193807203,16.147654428407083,-34.11913020832573,22.455053856140765,-21.51287692772107,-2.7388753955810254,-21.608933588861806,-15.34333804432551,-34.08872140950629,34.96251433794549,-29.332021616267692,22.25807663701832,41.27235316526337,28.69989374579559,41.303793175548776,-34.189496962746965,-27.850773768265856,9.939195780458714,22.4558573058259,-21.519258443376227,-27.853232930023577
6.32,0.6326326326326326,-21.691426985990912,35.03690336351186,3.6573265800551003,16.191941951594174,9.852362038260145,35.083856230657396,-34.11365259397665,-9.004817428157915,-15.25711373628693,28.755835457914852,-15.35772527419814,16.14732265185696,-34.119663193468355,22.45471415326052,-21.513545925356578,-2.7390534951677794,-21.608956358828475,-15.343883497427518,-34.08964780380937,34.96243958739989,-29.320269523034316,22.25807666109707,41.272041677337235,28.6996685270321,41.30331023502069,-34.18987180845172,-27.850883086264748,9.937926790307303,22.45530777871055,-21.519784302857495,-27.85365514504223
6.33,0.6336336336336337,-21.690638205600283,35.03624689105538,3.6560774389940094,16.191175934481276,9.852231129293719,35.08306067950519,-34.11429003835568,-9.005050188539483,-15.257598268341964,28.755383165821424,-15.356983860405798,16.14698958821226,-34.12019445214189,22.454371896409818,-21.51421400047232,-2.7392342511311654,-21.608983149403365,-15.344415656238557,-34.09056886179783,34.96236275066742,-29.308528345728508,22.25808933266129,41.27172929170634,28.69944081790722,41.30282729680029,-34.190244922494244,-27.850997271791982,9.936666059521496,22.454759539875422,-21.52031004479227,-27.854076769980495
6.34,0.6346346346346347,-21.68986387220916,35.03559260345136,3.654838397101148,16.19041372318793,9.852096533967675,35.08226820073038,-34.114924510586526,-9.0052847544074,-15.258082022108814,28.75492940258437,-15.356257525200375,16.146655319692627,-34.12072394479732,22.454027141345136,-21.514881123310637,-2.7394175707099686,-21.609013859157105,-15.344934473710964,-34.09148460380973,34.96228391039694,-29.29679990678152,22.258114819351725,41.271416100478476,28.699210739455353,41.302344424333654,-34.1906162003697,-27.85111624045034,9.935413601123924,22.454212626687564,-21.52083566818665,-27.854497742395353
6.3500000000000005,0.6356356356356356,-21.689103728161072,35.03494054658534,3.653609331745265,16.189655334745783,9.851958291505182,35.08147877191306,-34.11555598519795,-9.00552104779369,-15.258564957221282,28.754474208018046,-15.35554609739547,16.14631992817177,-34.12125163147005,22.453679944198615,-21.515547263693552,-2.739603360905341,-21.609048386200882,-15.345439911874223,-34.09239504891136,34.962203150295814,-29.28508601583431,22.25815327575896,41.27110219581388,28.698978412454057,41.301861681025954,-34.19098553793233,-27.85123990742831,9.934169427271836,22.453667076834556,-21.52136117094748,-27.854917999674132
