t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46
7.1000000000000005,0.7107107107107107,32.98097610408865,-29.87689738151928,1.5453532683749673,-36.1618797689067,32.98639317664153,32.98061501955054,-17.300678853025648,7.83359561412637,1.5524910329015733,7.833532616699817,32.98814283579548,-23.58706421987074,-23.587543507656665,1.5505316473272148,33.00003852535863,-4.732295361055887,1.5471783258926453,20.41114506753105,-36.15639537150114,-29.880661933141226,20.40570358058624,-36.1531930993661,26.69968234437883,1.5541639528438205,-4.731317108912288,26.697668484148544,-11.020168806547607,1.5491784858132556,7.841246194686625,-11.033715229305924,1.5575778098075979,7.845454980821503,-29.880790222900277,14.121609677043587,7.838906312805431,-11.046105161893914,20.408904864612726,-11.017746118972848,20.400353193373117,32.96722099271918,-42.44081337109374,-4.738947515753659,-36.150956454875214,20.40604889460625,-36.17470094189449,-11.01783297201214,32.983552726260356
7.11,0.7117117117117117,32.980893608753945,-29.87691814038993,1.5453983307141035,-36.161880584314105,32.98632241436645,32.980587122545316,-17.30071417382023,7.833633471335369,1.552456972350202,7.83350276682697,32.98806651107157,-23.587109584647987,-23.58755353200395,1.550480625403691,32.99975907755131,-4.732334996674152,1.547221090620739,20.411109970754698,-36.15639680086051,-29.880671389449894,20.405672327593866,-36.15322104269461,26.699628091883135,1.554172158175955,-4.731372382492401,26.69760114555999,-11.020211968440998,1.5491193627211173,7.841201882656024,-11.033473086843987,1.5575485848972204,7.8452869634522955,-29.880739076454056,14.121584667502114,7.838896118274584,-11.045622654527488,20.40889098654375,-11.017772448925115,20.400572001952842,32.967402719183724,-42.440834817694316,-4.738897637212354,-36.15097172312523,20.406112554715673,-36.17454615908369,-11.017807316609613,32.983490317448
7.12,0.7127127127127127,32.9808124887083,-29.87693842278978,1.5454426436742323,-36.161881325670144,32.98625259621033,32.980559502479295,-17.300748850208855,7.833670353514442,1.5524235925251955,7.833473356527196,32.98799112343344,-23.587153944134943,-23.587563271678924,1.5504300605568775,32.9994856575872,-4.732373612373528,1.5472630370472829,20.411075544659827,-36.15639792785152,-29.880680519328067,20.40564148385406,-36.15324832978532,26.699574641006873,1.5541801012478373,-4.731426561776731,26.697534970542247,-11.02025398192763,1.549061184410089,7.841158238571423,-11.033235194659083,1.5575196522386967,7.845122898070133,-29.88068871899271,14.121560059600796,7.8388863592065245,-11.045149040613733,20.408877092687828,-11.017798321693185,20.400786089331458,32.96758042467743,-42.44085529692172,-4.738848674713689,-36.150986494094084,20.40617491164318,-36.17439416485547,-11.017782001259778,32.98342891990675
7.13,0.7137137137137137,32.98073272050001,-29.876958229815553,1.5454862196452825,-36.161881985845724,32.98618370460838,32.980532153736256,-17.300782890291668,7.833706284915502,1.5523908801275488,7.833444384480888,32.987916658657504,-23.58719731484129,-23.58757273119218,1.5503799633218607,32.99921812599321,-4.73241123322421,1.5473041813955093,20.41104177008304,-36.15639876033017,-29.880689322008823,20.405611045779533,-36.153274969366166,26.699521974813067,1.5541877868197822,-4.731479665120341,26.697469935313404,-11.02029487297383,1.5490039435536493,7.8411152525618455,-11.033001484966356,1.5574910093153183,7.844962694666254,-29.880639133060733,14.121535846214355,7.838877019751894,-11.04468416833055,20.40886318945706,-11.017823741824241,20.400995547942404,32.967754192703445,-42.44087483323,-4.73880061248511,-36.15100077914221,20.406235985589145,-36.17424490222672,-11.017757023640518,32.98336851056028
7.140000000000001,0.7147147147147147,32.98065428098585,-29.876977562774357,1.545529070847114,-36.16188255808792,32.98611572236128,32.98050507081777,-17.300816302122914,7.8337412892026625,1.5523588221232187,7.833415849190333,32.98784310273505,-23.587239713043594,-23.58758191496331,1.5503303435387965,32.99895634647053,-4.732447883657222,1.547344539565268,20.411008628416447,-36.156399305961266,-29.880697796897103,20.40558100972523,-36.153300970183565,26.6994700767341,1.5541952195966724,-4.731531710634161,26.697406016581688,-11.020334666956886,1.5489476326808702,7.841072914869109,-11.03277189083161,1.557462653636254,7.844806265102177,-29.880590301582146,14.121512020349199,7.838868084483074,-11.044227888112351,20.40884928289281,-11.017848713874903,20.401200468512155,32.96792410499533,-42.44089345054677,-4.73875343490668,-36.15101458941168,20.406295796503468,-36.17409831532739,-11.017732381357233,32.98330906690664
7.15,0.7157157157157157,32.98057714733069,-29.876996423174592,1.5455712093307041,-36.16188303600714,32.986048632627394,32.98047824834122,-17.300849093709576,7.833775389465871,1.5523274057376766,7.833387748987693,32.98777044186874,-23.58728115478859,-23.587590827323968,1.5502812103763093,32.99870018582356,-4.732483587481878,1.5473841271398618,20.41097610159254,-36.15639957222295,-29.88070594356496,20.405551371993266,-36.15332634099503,26.699418930564292,1.5542024042275786,-4.731582716186426,26.697343191534735,-11.020373388678182,1.548892244184956,7.841031215847398,-11.032546346167345,1.5574345827351366,7.844653523076597,-29.88054220785318,14.121488575140727,7.838859538385889,-11.043780052624566,20.408835378681935,-11.017873242409605,20.401400940089264,32.96809024155791,-42.440911172282576,-4.738707126514763,-36.151027935829376,20.406354364087814,-36.1739543493812,-11.017708071947203,32.98325056700338
7.16,0.7167167167167167,32.980501297006846,-29.877014812717114,1.5456126469793714,-36.16188341356472,32.98598241891513,32.980451681037806,-17.300881273010074,7.833808608234253,1.552296618450573,7.833360082042775,32.987698662469306,-23.5873216558964,-23.587599472520818,1.5502325723543,32.99844951389041,-4.732518367902724,1.5474229593927105,20.410944172069456,-36.1563995664111,-29.880713761746872,20.405522128837706,-36.15335109056218,26.699368520452555,1.5542093453054353,-4.731632699404175,26.697281437829172,-11.02041106237607,1.548837770331542,7.840990145962816,-11.032324785728562,1.5574067941687344,7.844504384092683,-29.880494835535018,14.121465503850706,7.838851366851416,-11.043340516738217,20.408821482172414,-11.017897331998988,20.40159705007301,32.968252680707025,-42.44092802134022,-4.738661672005401,-36.15104082911007,20.40641170779784,-36.17381295068648,-11.017684092883814,32.98319298945309
7.17,0.7177177177177178,32.98042670779328,-29.87703273328664,1.5456533955100396,-36.16188368506084,32.98591706507547,32.9804253637506,-17.300912847933017,7.833840967489176,1.552266447990515,7.833332846370578,32.98762775115222,-23.58736123196364,-23.587607854718353,1.550184437366174,32.99820420347492,-4.732552247535981,1.5474610512938491,20.410912822816595,-36.15639929564366,-29.880721251335082,20.405493276469063,-36.15337522764417,26.69931883089521,1.5542160473667672,-4.731681677674796,26.697220733580462,-11.020447711738493,1.548784203266758,7.840949695792924,-11.032107145108352,1.557379285515699,7.844358765425765,-29.880448168646677,14.1214427998647,7.838843555667872,-11.04290913750457,20.408807598388357,-11.017920987218337,20.40178888424162,32.96841149910826,-42.440944020123894,-4.738617056237428,-36.151053279759566,20.40646784684537,-36.17367406659741,-11.01766044158061,32.983136313389316
7.18,0.7187187187187187,32.98035335777466,-29.877050186943407,1.5456934664745337,-36.161883845122794,32.98585255529462,32.980399291432605,-17.300943826336034,7.833872488677047,1.552236882329948,7.833306039838637,32.98755769473446,-23.587399898366485,-23.58761597800163,1.5501368127005013,32.99796413028031,-4.732585248425503,1.5474984175162663,20.410882037300567,-36.15639876686485,-29.88072841237497,20.405464811058632,-36.153398760991436,26.699269846728885,1.554222514891465,-4.731729668147625,26.69716105735301,-11.020483359915346,1.5487315350250606,7.84090985602626,-11.031893360733292,1.5573520543753907,7.844216586091434,-29.880402191557963,14.121420456689565,7.838836091012602,-11.042485774129874,20.408793732044497,-11.017944212646047,20.4019765267801,32.9685667718146,-42.44095919054822,-4.738573264235301,-36.15106529807776,20.406522800200595,-36.17353764550533,-11.017637115395207,32.98308051846285
7.19,0.7197197197197197,32.98028122534024,-29.877067175915062,1.5457328712609095,-36.16188388869362,32.9857888740868,32.98037345914483,-17.300974216024652,7.833903192721821,1.5522079096801464,7.833279660174158,32.987488480231406,-23.587437670263633,-23.587623846378865,1.55008970506212,32.99772917284419,-4.73261739205826,1.5475350724420847,20.41085179947149,-36.15639798684931,-29.880735245060478,20.405436728742604,-36.15342169933986,26.699221553123564,1.5542287523026095,-4.731776687735586,26.697102388150544,-11.02051802953059,1.5486797575368372,7.84087061746184,-11.031683369858643,1.5573250983667764,7.844077766814033,-29.88035688898254,14.121398467951,7.8388289594441485,-11.042070287950192,20.408779887560087,-11.017967012862119,20.402160060307683,32.96871857230314,-42.440973554047204,-4.73853028119169,-36.151076894161754,20.40657658659423,-36.17340363682047,-11.017614111633064,32.98302558482835
