t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
7.8500000000000005,0.7857857857857857,-6.576731299930511,17.99375886055759,-25.43934803171041,-37.90204455879424,-31.42759222487071,-0.04175041225133555,-25.065966615678786,-18.818706217800383,-38.00475054452909,-19.725798629175088,30.481609223125826,-19.014193097806107,31.058439102569505,31.677678308848144,-13.850130052468211,-1.2217329208811063,14.601458573453776,5.420857146718459,30.973352225217674,11.529424105840743,31.035615189522737,37.559621434371486,11.750339352685108,18.469819560598186,-25.462687286103268,-1.3498352204976276,-0.019873717061769436,-6.463200244966411
7.86,0.7867867867867868,-6.577505703948349,17.996639665404555,-25.44056478340091,-37.90411560793119,-31.43081558585933,-0.04365795973691015,-25.069245633106952,-18.820659331945734,-38.00652308884262,-19.721569785176836,30.484576611937836,-19.01624265933763,31.057518462897487,31.673274926675287,-13.845263101589492,-1.2117587398738228,14.592369974226687,5.42601442413332,30.97334933863829,11.535155050309784,31.03258283814135,37.55785101261866,11.75609799337614,18.468654458632052,-25.464425070309993,-1.3467133434102656,-0.02247716728658611,-6.4649151862506455
7.87,0.7877877877877878,-6.57826859039615,17.99951594906486,-25.441760175471043,-37.90615647024978,-31.434020508672642,-0.04556891233499715,-25.07251063256809,-18.822581700635066,-38.00826547820833,-19.717361554842086,30.48753972943412,-19.01828017798013,31.056622049038108,31.668890213156008,-13.840397183558496,-1.2019087643992061,14.583134356610298,5.431127793643587,30.973362380633617,11.540855545863064,31.02964839258883,37.55609160218444,11.761849740658327,18.467510451224932,-25.4661464126868,-1.343588537745727,-0.025075452156715892,-6.46662564321075
7.88,0.7887887887887888,-6.5790198510671,18.00238768068401,-25.442934407399502,-37.90816732632207,-31.437206935233107,-0.04748290825878738,-25.07576156933439,-18.82447324197183,-38.00997775451217,-19.713173750118642,30.490498698555353,-19.020305435096144,31.055749790888978,31.664524298523133,-13.835532581743578,-1.1921818932047576,14.573750646515917,5.436197665585723,30.973391292763615,11.546525448598766,31.02681025613286,37.554343436152706,11.767594568614042,18.466387563980884,-25.46785123192449,-1.3404608583102455,-0.027668301981728188,-6.46833129153326
7.890000000000001,0.7897897897897898,-6.579759381411269,18.00525483117141,-25.444087675666108,-37.91014836309935,-31.440374806907226,-0.049399589596429615,-25.078998397200586,-18.826333902692845,-38.01165997082443,-19.7090061818876,30.493453642034467,-19.022318217180473,31.0549016095294,31.660177310559906,-13.830669577509001,-1.182576982570896,14.564217825499309,5.4412244528443985,30.973436014193265,11.552164632473726,31.02406681495658,37.552606742163654,11.7733324307083,18.465285817335843,-25.469539448155633,-1.3373303588362513,-0.03025544994668522,-6.470031811001283
7.9,0.7907907907907907,-6.580487080662675,18.008117373165177,-25.44522017386049,-37.91209977366734,-31.443524064631184,-0.051318602311515214,-25.082221068547877,-18.82816365905512,-38.013312191118715,-19.70485866027547,30.4964046821168,-19.02431831590122,31.054077417491186,31.65584937457698,-13.825808450078013,-1.173092849856407,14.55453493460917,5.446208570686414,30.973496481629404,11.557772988844638,31.021416441223657,37.550881742271486,11.779063258514276,18.46420522656528,-25.471210983000283,-1.3341970919852664,-0.03283663217572962,-6.471726885582969
7.91,0.7917917917917918,-6.581202851970905,18.010975280994273,-25.446332092788214,-37.9140217570053,-31.446654649034198,-0.0532395962459106,-25.085429534408455,-18.829962517708797,-38.01493448999242,-19.700730994967618,30.499351940276412,-19.026305528137144,31.0532771190233,31.651540613390825,-13.82094947640112,-1.1637282769121797,14.544701078330467,5.451150436565883,30.973572629250576,11.563350425979765,31.018857496000003,37.54916865280139,11.784786960422625,18.463145801797314,-25.472865759611665,-1.331061109352828,-0.03541158779359004,-6.473416203518304
7.92,0.7927927927927928,-6.581906602537298,18.013828530637813,-25.447423620574703,-37.91591451775022,-31.44976650055959,-0.05516222512495423,-25.08862374453055,-18.831730516553108,-38.01652695238984,-19.69662299552321,30.502295536928614,-19.028279656011488,31.052500610349295,31.64725114730343,-13.81609293102979,-1.154482013362319,14.534715428616552,5.456050469902077,30.97366438862969,11.568896868543197,31.016388332032438,37.54746768420583,11.790503420337991,18.46210754803087,-25.474503702721766,-1.3279224614754697,-0.03798005898501637,-6.475099457404282
7.930000000000001,0.7937937937937938,-6.582598243755704,18.01667709968146,-25.448494942767265,-37.91777826596695,-31.452859559583654,-0.057086146565031866,-25.091803647444,-18.833467725572202,-38.018089673328994,-19.69253447169197,30.505235591138767,-19.030240506922482,31.051747779916735,31.642981094083375,-13.811239085995732,-1.1453527797524048,14.524577229003082,5.46090909183138,30.973771688649297,11.574412257053739,31.01400729638518,37.54577904092005,11.796212496366483,18.46109046515846,-25.476124738686902,-1.324781197839791,-0.04054179105216674,-6.476776344278563
7.94,0.7947947947947948,-6.583277691357753,18.01952096727074,-25.449546242435616,-37.91961321692525,-31.455933766532347,-0.05901102208354509,-25.09496919052622,-18.83517424764731,-38.019622757633144,-19.688465233732913,30.508172220327495,-19.032187893570725,31.051018508637785,31.638730568948173,-13.806388210695967,-1.1363392705652822,14.514285798795807,5.465726724934821,30.973894455409376,11.57989654732044,31.011712732935568,37.54410292121716,11.801914019498343,18.460094547993155,-25.477728795533274,-1.3216373668936445,-0.04309653246997583,-6.478446565701703
