t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
4.26,0.4264264264264264,-33.50045038446718,29.388709622282256,35.10257072863334,-27.541618779158107,5.04608001917077,29.26164044942597,-41.120281783194365,-40.45802733655475,28.87661294167763,-27.738265327252275,35.477883424435845,1.8182736428673838,29.204781649901296,22.430908054084327,-15.751307556230714,-6.81728768146468,-3.1613834751640373,-33.59864409888657,-33.41539305792164,12.052647742711233,3.580544818337489,35.165996124081964,-2.396933588338116,-9.192634259338881,9.550550543262911
4.2700000000000005,0.4274274274274274,-33.50592477532799,29.38481620918082,35.10389099238131,-27.545100323417632,5.042075243420419,29.26242801211961,-41.11659710182094,-40.45554498321787,28.87221622434372,-27.738594414251445,35.47817392293733,1.823975566949819,29.20774632110302,22.431759852523882,-15.746647679284099,-6.822804963813205,-3.1547001408851467,-33.597449215516235,-33.4196711610551,12.044611459682908,3.582561608498565,35.16525870204337,-2.397799609750312,-9.187227709648635,9.553520395704947
4.28,0.42842842842842843,-33.51133951027193,29.380934474908717,35.10520317977069,-27.548504502378695,5.038070561705662,29.263197655738196,-41.11291212784193,-40.453090985192304,28.86789054927643,-27.738898756034107,35.47843752921605,1.8297746984061884,29.21070166542355,22.432624162082707,-15.74203716261472,-6.8283845596492885,-3.148081797883349,-33.596267252051895,-33.42391640302105,12.036530233515538,3.584567789866941,35.16451802917226,-2.3986547878183333,-9.181890982323528,9.556500730899321
4.29,0.4294294294294294,-33.51669475089885,29.37706477497284,35.10650725470879,-27.551832593523578,5.034065859284994,29.263949702062813,-41.10922700933473,-40.45066478076198,28.86363543233017,-27.73917858397731,35.47867495019086,1.8356725252710864,29.21364720380711,22.433500470638545,-15.73747530025451,-6.834027048718413,-3.1415281713136602,-33.59509834270949,-33.42812884574009,12.028403690733768,3.5865633020238845,35.16377452936201,-2.3994989617954063,-9.176623667574539,9.559490794116801
4.3,0.43043043043043044,-33.521990677275525,29.373207459803748,35.107803182249604,-27.55508586417734,5.030061018688369,29.264684457440822,-41.10554188561186,-40.448265817726345,28.859450385897432,-27.739434131108588,35.47888687546928,1.8416705662433084,29.216582457160218,22.434388277282476,-15.732961383130043,-6.839733020916796,-3.135038970986346,-33.59394262464022,-33.43230855546994,12.020231447343539,3.588548086979925,35.16302861893848,-2.400331982713437,-9.171425332303606,9.56248984546395
4.3100000000000005,0.4314314314314314,-33.5272274872358,29.369362874651152,35.10909092867378,-27.55826557100537,5.026055919692148,29.265402212927743,-41.10185688692595,-40.44589355346258,28.855334919712675,-27.739665632092947,35.47907397721991,1.8477703703131112,29.219506946231377,22.435287092280458,-15.728494699246706,-6.845503076413195,-3.1286138920598634,-33.592800238028445,-33.43645560274999,12.012013108958623,3.5905220891831267,35.16228070665815,-2.401153713108623,-9.166295521147443,9.565497159875767
4.32,0.43243243243243246,-33.5324053956885,29.365531359485146,35.110370461562425,-27.561372959545874,5.022050439290748,29.26610324443145,-41.09817213417567,-40.44354745496995,28.851288541643868,-27.739873323217967,35.479236910064316,1.8539735163268887,29.22242019148908,22.436196437029675,-15.72407453385039,-6.851337825755335,-3.1222526157140695,-33.591671326188035,-33.440570062345365,12.003748270948838,3.592485255524063,35.16153119371413,-2.4019640267454263,-9.161233757511628,9.56851202709869
4.33,0.43343343343343343,-33.53752463393408,29.361713248903097,35.11164174986508,-27.56440926377596,5.018044451665203,29.266787812858098,-41.09448773861261,-40.44122699889721,28.847310758472155,-27.74005744237717,35.479376310987895,1.8602816124850028,29.2253217129983,22.43711584400996,-15.719700169567012,-6.857237889959042,-3.1159548098037324,-33.59055603565708,-33.44465201319067,11.995436518611836,3.5944375353376676,35.160780473749824,-2.4027628083394705,-9.15623954459345,9.57153375166448
4.34,0.4344344344344344,-33.54258544899075,29.35790887204217,35.112904763961744,-27.567375705710035,5.014037828148871,29.267456164259283,-41.09080380154913,-40.43893167155399,28.843401076660054,-27.74021822905169,35.47949279926914,1.8666962957682605,29.22821103029561,22.43804485673062,-15.715370886520198,-6.86320390057802,-3.1097201294924037,-33.58945451629092,-33.44870153833338,11.987077427370465,3.596378880402142,35.160028932879854,-2.403549953279907,-9.151312366392096,9.574561652855412
4.3500000000000005,0.43543543543543545,-33.54758810293073,29.35411855249741,35.114159475719276,-27.57027349502922,5.010030437190547,29.268108529979944,-41.08712041406728,-40.43666096890706,28.83955900310859,-27.740355924290323,35.479586976426646,1.87321923128828,29.231087662262976,22.438983029672986,-15.711085962427429,-6.869236499752076,-3.10354821786676,-33.58836692135336,-33.45271872487701,11.978670562997872,3.5983092449350997,35.15927694971805,-2.4043253673517286,-9.146451688704833,9.577595064661251
