t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47
8.35,0.8358358358358359,15.134126797294327,21.420055882473825,-41.430959672338844,-16.288317289177748,15.131921927866225,-22.570022914650014,-10.007301956923461,-16.29102073334079,-35.148988725660615,-28.858375917826773,8.848990244932946,15.135564362692056,-16.29117921925611,-10.001967291847398,21.422863572782827,-22.57266919421077,27.707862174037984,-10.004301167810377,-35.134499431790495,27.78228321581383,-16.295882346414903,21.42224650463886,-28.86029757458273,2.5668463355335693,33.98952070361933,-10.00571942536809,-28.85694193168443,33.989298595424906,8.849976815952179,21.42275014148014,33.996912027160604,21.42335687320265,-28.862461176542674,-10.001878854929565,27.70325952643405,-16.291802819162633,-16.289313275967277,-3.7190838522722136,-16.290849832751825,15.147134549123837,-10.006837805685834,8.851600319859223,2.5664535053370963,27.722409631183123,-16.292815561337186,33.99161195339315,33.99072083080441,-10.008976884825563
8.36,0.8368368368368369,15.134150598198392,21.420068244399808,-41.43092370882533,-16.28830216129568,15.131940609058649,-22.570008955375307,-10.007274768057574,-16.29099181047756,-35.14898404205191,-28.858352500706427,8.849005291242735,15.135565619741303,-16.291160376571195,-10.001955186457716,21.422876080740572,-22.572643014869765,27.7078648838928,-10.004275775366894,-35.13455796135162,27.781674109900948,-16.29584735448925,21.4222639100231,-28.860264286264005,2.566837896839887,33.98953038723984,-10.005693560833938,-28.85691396771481,33.989312130316854,8.84999897662597,21.422765973404058,33.99691290360763,21.42335209109312,-28.862425271159402,-10.001866398285994,27.703261250561553,-16.291763965747087,-16.289290630189566,-3.7190624419460634,-16.290827088822134,15.147118541919758,-10.006814728826946,8.85161740029614,2.5664752983134096,27.72230057580913,-16.292779557509373,33.991616537716766,33.99071440986275,-10.008942572926793
8.370000000000001,0.8378378378378378,15.134174047995637,21.420080411521752,-41.43088801860772,-16.288287172541228,15.131959059711342,-22.56999513053952,-10.007247841760543,-16.290963168299594,-35.14897912590781,-28.858329281530768,8.849020139839176,15.135566822542557,-16.291141684941866,-10.001943221385453,21.42288830686905,-22.572617102877235,27.707867443517134,-10.004250670401225,-35.13461565415462,27.78107232398417,-16.29581265142612,21.422281005215364,-28.86023129745762,2.566829576809677,33.98953984699948,-10.005667978420774,-28.856886287615758,33.98932537966798,8.85002080745192,21.422781499289524,33.99691355558559,21.42334726623876,-28.862389678978893,-10.00185408444765,27.703262896608724,-16.291725511561758,-16.289268213746908,-3.719041295906249,-16.29080455028661,15.147102564167234,-10.006791859072509,8.851634223140534,2.566496798746194,27.722192719889215,-16.292743879489578,33.99162093427574,33.990707967203576,-10.008908601229502
8.38,0.8388388388388388,15.134197151060704,21.4200923854309,-41.43085259905113,-16.288272321102422,15.131977282276186,-22.569981438678163,-10.007221175244538,-16.290934803821663,-35.1489739817532,-28.858306258046575,8.849034793161408,15.13556797196887,-16.291123142454687,-10.001931394802396,21.42290025512507,-22.572591455277994,27.707869854768497,-10.004225849589233,-35.134672519672755,27.780477774058546,-16.295778234420897,21.422297793512836,-28.860198605031258,2.566821374100741,33.98954908554573,-10.00564267458,-28.85685888803457,33.98933834718243,8.850042313002083,21.422796722701314,33.99691398641186,21.423342399708417,-28.862354396458905,-10.001841911665583,27.70326446574243,-16.291687452513877,-16.289246023831534,-3.719020410947809,-16.290782214757304,15.147086615653118,-10.006769194369278,8.851650791403866,2.5665180099027585,27.72208604993749,-16.29270852467765,33.99162514548543,33.990701503337895,-10.008874966012348
8.39,0.8398398398398398,15.134219911718928,21.420104167725682,-41.43081744753893,-16.288257605194698,15.131995279186688,-22.569967878340236,-10.007194765745194,-16.290906714083345,-35.14896861403391,-28.858283428026773,8.849049253620773,15.135569068879766,-16.29110474722542,-10.001919704905754,21.42291192941196,-22.57256606914563,27.707872119489398,-10.004201309640315,-35.13472856729897,27.77989037694211,-16.295744100687312,21.42231427819569,-28.86016620587951,2.566813287382889,33.9895581055043,-10.005617645810826,-28.856831765657564,33.98935103652216,8.850063497782765,21.42281164717579,33.996914199360425,21.42333749254682,-28.86231942009772,-10.001829878212163,27.703265959113,-16.291649784539068,-16.289224057670925,-3.7189997839016473,-16.29076007987364,15.147070696173127,-10.006746732679074,8.851667108069696,2.566538935023803,27.72198055259553,-16.292673490467283,33.991629173737074,33.99069501876853,-10.008841663588175
8.4,0.8408408408408409,15.134242334246855,21.420115760010965,-41.43078256147286,-16.28824302306039,15.132013052857966,-22.569954448088176,-10.007168610521573,-16.290878896149007,-35.14896302711808,-28.85826078927012,8.849063523601115,15.135570114121467,-16.291086497398492,-10.001908149917737,21.42292333358035,-22.572540941582275,27.70787423950731,-10.004177047297167,-35.13478380634606,27.779310050270034,-16.295710247457595,21.422330462526713,-28.860134096923797,2.566805315337865,33.98956690947912,-10.005592888659487,-28.856804917209608,33.98936345130739,8.850084366235603,21.422826276220857,33.99691419766251,21.42333254577522,-28.86228474643365,-10.001817982380794,27.703267377854495,-16.291612503601502,-16.289202312527337,-3.718979411634162,-16.29073814330213,15.147054805531532,-10.006724471978792,8.851683176093811,2.5665595773234227,27.721876214631664,-16.292638774247052,33.991633021397966,33.99068851399028,-10.008808690303841
8.41,0.8418418418418419,15.134264422872755,21.420127163897348,-41.43074793827312,-16.28822857296825,15.132030605686731,-22.56994114649779,-10.00714270685612,-16.290851347107775,-35.148957225297515,-28.85823833960091,8.84907760545907,15.135571108527103,-16.291068391146478,-10.001896728085145,21.42293447142897,-22.572516069718368,27.70787621663464,-10.004153059335533,-35.13483824604683,27.778736712488822,-16.295676671982626,21.422346349750953,-28.86010227511228,2.566797456659275,33.98957550005238,-10.005568399718479,-28.856778339453655,33.98937559511707,8.850104922738632,21.422840613315923,33.99691398450721,21.423327560391975,-28.86225037204457,-10.001806222485632,27.703268723084946,-16.29157560569401,-16.289180785697333,-3.718959291046877,-16.29071640273611,15.147038943540835,-10.0067024102604,8.85169899840437,2.5665799399891167,27.721773022940276,-16.292604373401424,33.99163669081161,33.990681989490106,-10.008776042540058
8.42,0.8428428428428428,15.134286181777131,21.420138381000456,-41.43071357537848,-16.28821425321296,15.132047940051283,-22.56992797215819,-10.007117052054614,-16.290824064073504,-35.14895121278903,-28.85821607686866,8.849091501524354,15.135572052916922,-16.291050426669567,-10.001885437678968,21.42294534670542,-22.572491450712427,27.707878052668743,-10.004129342563965,-35.13489189555431,27.77817028285047,-16.295643371532073,21.42236194309537,-28.860070737419754,2.5667897100525106,33.98958387978452,-10.005544175625802,-28.856752029190286,33.98938747148928,8.850125171607326,21.422854661911884,33.996913563042035,21.423322537373142,-28.862216293547416,-10.001794596861295,27.70326999590662,-16.29153908683819,-16.289159474511322,-3.7189394190760785,-16.290694855895453,15.147023110021477,-10.006680545530948,8.851714577902044,2.566600026181805,27.721670964541087,-16.292570285311726,33.991640184297914,33.990675445747286,-10.008743716711223
8.43,0.8438438438438438,15.134307615093222,21.420149412940273,-41.43067947024637,-16.28820006211466,15.132065058311499,-22.569914923671725,-10.00709164344611,-16.290797044184753,-35.14894499373576,-28.85819399894784,8.849105214100051,15.135572948098504,-16.291032602195067,-10.001874276993993,21.422955963106904,-22.57246708175082,27.70787974939187,-10.004105893823585,-35.1349447639419,27.777610681406667,-16.29561034339451,21.422377245768516,-28.860039480847558,2.566782074234678,33.98959205121427,-10.005520213064232,-28.85672598325726,33.98939908392171,8.850145117095622,21.42286842543111,33.996912936373555,21.423317477673034,-28.862182507597733,-10.001783103862605,27.703271197406252,-16.291502943084513,-16.289138376333103,-3.7189197926924535,-16.290673500526303,15.147007304801539,-10.006658875812555,8.85172991746016,2.56661983903585,27.72157002657843,-16.292536507357084,33.99164350415333,33.99066888323353,-10.008711709265246
8.44,0.8448448448448448,15.134328726907496,21.420160261340495,-41.43064562035293,-16.2881859980185,15.132081962808835,-22.56990199965391,-10.007066478382884,-16.290770284604722,-35.14893857220843,-28.85817210373754,8.849118745462901,15.135573794866954,-16.29101491597691,-10.001863244348412,21.422966324280996,-22.57244296004755,27.707881308571192,-10.004082709987834,-35.134996860203636,27.777057829002985,-16.295577584877538,21.422392260960212,-28.860008502423476,2.5667745479345254,33.989600016858674,-10.005496508760594,-28.856700198529076,33.989410435872074,8.85016476339692,21.422881907267424,33.99691210756793,21.423312382224776,-28.862149010889215,-10.001771741864308,27.703272328655284,-16.291467170512433,-16.289117488559427,-3.7189004089007343,-16.2906523344008,15.146991527716462,-10.006637399142413,8.851745019924843,2.566639381659084,27.721470196320517,-16.29250303691534,33.99164665265106,33.99066230241317,-10.008680016683378
8.45,0.8458458458458459,15.134349521260146,21.4201709278279,-41.43061202319311,-16.288172059294162,15.132098655866326,-22.569889198733364,-10.007041554240367,-16.290743782521226,-35.148931952206645,-28.85815038916122,8.849132097863572,15.13557459400511,-16.290997366295162,-10.00185233808345,21.42297643382635,-22.572419082844025,27.707882731958783,-10.004059787962234,-35.135048193254356,27.776511647273086,-16.295545093307886,21.422406991841267,-28.85997779920163,2.5667671298923733,33.98960777921314,-10.005473059485066,-28.856674671916522,33.989421530758534,8.85018411464507,21.422895110786122,33.9969110796515,21.423307251940834,-28.862115800153248,-10.001760509260814,27.703273390710105,-16.291431765230453,-16.289096808619544,-3.7188812647393434,-16.29063135531681,15.146975778608775,-10.006616113572777,8.851759888115168,2.566658657132844,27.721371461158704,-16.292469871363902,33.9916496320412,33.99065570374327,-10.008648635480043
