t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37
1.12,0.028028028028028028,-39.09895174836014,-5.214043455700736,-36.896263667504726,-1.5387819166999448,26.933865066192194,-14.361891446888146,30.465747921135836,-30.874377935861208,-28.266543775659624,21.286238416973447,11.752945050121697,16.105701070170245,1.8035466718568898,-3.494890948844865,30.280853148639295,-11.099656941573325,0.9226995129166797,14.020045725131427,-7.108388030113414,9.587242223699791,6.113808516562361,-4.8725660131265345,31.38295031815007,17.966506403806758,32.563204719410734,29.479985874244665,-15.383509405624666,13.73993991759837,-36.03805010631953,-24.677861565197208,16.31321549338882,18.53403648232751,-17.378598325337936,34.777437288267706,-40.24348182125598,-13.01290352942334,-25.17634873390802,-6.133727424014947
1.16,0.029029029029029027,-39.09934984584262,-5.215922728878428,-36.90010689157808,-1.5402378653150302,26.93230355959075,-14.363840048351548,30.47281106783222,-30.875870623167202,-28.270802636792837,21.28215160488861,11.75435536678143,16.10774981556273,1.8040100423696728,-3.499082490087616,30.285540942408304,-11.101307421406116,0.9217164505423776,14.021841291164112,-7.110990372808945,9.58632041717504,6.116653273922237,-4.870652123423982,31.381585316508247,17.967604087991102,32.56645598232699,29.483341626053164,-15.385562453795165,13.742134453033449,-36.04238945749022,-24.6744835653442,16.31347486147465,18.534326805813084,-17.382307026717108,34.78291860452501,-40.24292444040099,-13.006397900079852,-25.181681063203957,-6.134253586099083
1.2,0.03003003003003003,-39.09964106552935,-5.21785525367124,-36.90398548020209,-1.5417368283666193,26.93058969360235,-14.365816334971981,30.480062305069055,-30.877325821891667,-28.27514147882562,21.277862241271276,11.755782586216991,16.109840691576967,1.8044799698141651,-3.503436084122852,30.2903099255028,-11.102982725685195,0.9207021258957988,14.023657353800902,-7.113661288834049,9.585345769359774,6.119591383196925,-4.8686683246792075,31.380095328660474,17.968697199726318,32.56972590115058,29.486734122224053,-15.387645838586039,13.74436498590935,-36.046786461446686,-24.67092459814225,16.31369250422719,18.534576726610595,-17.386094484116082,34.78851141662332,-40.24223393101794,-12.999639739215375,-25.187125378972027,-6.134788082982426
1.24,0.031031031031031032,-39.09982472870838,-5.219840940425184,-36.907899534501304,-1.543278300407606,26.928721944276845,-14.367820085247056,30.48750345557794,-30.87874311814357,-28.279561134637223,21.273370675371897,11.757226565046961,16.11197506810081,1.8049559428516126,-3.5079539516133322,30.29516021101485,-11.10468257849804,0.9196572038555987,14.025493299887787,-7.1164000795107585,9.584318675014853,6.1226237224938185,-4.8666162070317265,31.378481806290434,17.969786455040946,32.57301404899515,29.4901633505997,-15.389759815486336,13.746631068434908,-36.05124154169482,-24.667186066677008,16.313868057258357,18.534786497330646,-17.389960258174316,34.79421706786767,-40.241410433504434,-12.992631376521349,-25.19268054417072,-6.135331391177433
1.28,0.03203203203203203,-39.0999001624988,-5.221879672452645,-36.91184912604823,-1.5448617571190884,26.92669880069161,-14.369851061325864,30.495136352457326,-30.88012207276952,-28.28406245982778,21.268677274018977,11.75868714713279,16.11415435428259,1.8054374387988015,-3.5126383713258313,30.300091925903548,-11.10640668262742,0.9185823699292832,14.027348475132552,-7.119206004368565,9.583239518150972,6.125751187677032,-4.864497439509378,31.376746271049047,17.970872590664918,32.57631998562886,29.493629291076,-15.391904669101383,13.748932225782815,-36.05575510678276,-24.663269467391384,16.314001154001076,18.534956387348103,-17.393903876388734,34.80003693525106,-40.24045409299301,-12.985375309598147,-25.198345339822765,-6.13588398384586
1.32,0.03303303303303303,-39.09986670111757,-5.2239713043406,-36.91583429442525,-1.5464866552715704,26.92451877036181,-14.371909008860195,30.502962835381037,-30.881462221746467,-28.2886463326153,21.26378242352667,11.76016416361361,16.116379998731325,1.8059239245010874,-3.5174916782378096,30.305105211147325,-11.108154718406503,0.9174783298061892,14.029222183197708,-7.122078281491281,9.582108671897707,6.128974690792503,-4.8623137706996475,31.37489031674754,17.97195636369212,32.57964325677635,29.49713191547581,-15.394080715284923,13.751267955057592,-36.06032754723653,-24.659176394151775,16.314091425859335,18.535086683701575,-17.397924830667872,34.80597242946859,-40.239365060104035,-12.977874211852622,-25.20411846334756,-6.136446330698187
1.36,0.03403403403403403,-39.09972368716521,-5.226115660237648,-36.91985504470696,-1.5481524326851355,26.92218038496759,-14.373993656853452,30.510984746555394,-30.882763076652587,-28.293313653738565,21.258686531679466,11.761657432968686,16.118653489696136,1.8064148572398695,-3.5225162614758267,30.310200221890515,-11.109926342594198,0.9163458088970969,14.031113684801117,-7.12501608789639,9.580926498346129,6.13229515837172,-4.860067029345174,31.37291561150909,17.973038551223176,32.582983393394834,29.50067118743604,-15.396288303385978,13.753637724260765,-36.064959232422744,-24.654908542384824,16.31413850235351,18.535177692035152,-17.40202257487388,34.812024994901,-40.238143491739145,-12.970130940324227,-25.209998526993314,-6.137018897871837
1.4000000000000001,0.035035035035035036,-39.09947047292566,-5.228312532126671,-36.92391134486305,-1.5498585081894143,26.91968220640037,-14.376104717507891,30.5192039264148,-30.884024125220673,-28.29806534636544,21.253390029791795,11.763166761109614,16.12097635522384,1.8069096856727371,-3.527714562075507,30.315377127582842,-11.111721187279976,0.9151855518598817,14.033022196829123,-7.128018559948802,9.579693348364598,6.1357135296083225,-4.85775912485262,31.370823899864604,17.974119949988005,32.58633991092104,29.50424706231085,-15.398527818614081,13.756040971256848,-36.069650507345756,-24.65046771326955,16.314142011259825,18.53522973758116,-17.406196522364105,34.818196109564774,-40.23678955191412,-12.962148543391113,-25.21598405638284,-6.137602147787559
1.44,0.036036036036036036,-39.099106421674946,-5.230561678090681,-36.92800312308254,-1.5516042815842228,26.917022833129035,-14.378241886070784,30.52762220904594,-30.885244831978422,-28.302902356006054,21.24789337484055,11.764691941504523,16.123350163293807,1.8074078508041047,-3.533089070552601,30.320636112110197,-11.113538858828068,0.9139983221106832,14.034946891467298,-7.131084793810503,9.578409561387373,6.139230754401803,-4.855392047703716,31.36861700477785,17.975201375947744,32.58971230848575,29.50785948709347,-15.400799684526525,13.75847710274408,-36.074401689387614,-24.645855817968382,16.31410157874265,18.53524316618251,-17.41044604354481,34.824487285025775,-40.23530341262974,-12.953930268305058,-25.222073489186883,-6.1381965389834034
1.48,0.037037037037037035,-39.09863090899303,-5.232862820580025,-36.93213026502039,-1.5533891336018066,26.91420090688513,-14.380404840680141,30.53624141733105,-30.886424638979904,-28.307825650430118,21.24219705166829,11.766232755336622,16.125776521929183,1.807908786983704,-3.5386423242744462,30.325977373914903,-11.11537893687163,0.9127849013201678,14.036886895354089,-7.134213845927117,9.577075465175627,6.1428477912626684,-4.852967869756959,31.366296829584915,17.976283663875687,32.593100068092305,29.51150840035939,-15.403104365641083,13.76094549323397,-36.07921306500027,-24.64107488187953,16.31401682947841,18.535218345352998,-17.414770463450395,34.83090006627324,-40.23368525477934,-12.945479568501662,-25.228265173938695,-6.1388025259256125
