t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
21.72,0.5435435435435435,-26.931191419252087,-26.92027156951303,4.5087950577415,35.96671065312381,23.3623256544549,17.10805465925825,-26.955399259960757,4.522129718626427,-14.363357008339483,29.706820532466978,-8.059726883752514,4.51302329060994,-14.366420424526156,-20.653321912877228,-1.750277632658972,-8.061253622612341,10.79529674531122,42.265288990381684,17.09020093976272,17.089488423072428,-20.64154144299511,-14.359405226697586,4.5167471127894085,-26.96863099291551
21.76,0.5445445445445445,-26.93108191155478,-26.92042015004852,4.508800842956832,35.966495613559815,23.362401372040505,17.10825409919203,-26.955274735233424,4.522040162388466,-14.363398584885092,29.706778643891667,-8.059819874903816,4.51303634242928,-14.366243517003614,-20.653285126908514,-1.7503559790846375,-8.06130362679919,10.795246031772892,42.26511812265143,17.090187077904638,17.089494040842627,-20.64160307307323,-14.359433830024614,4.516906923683046,-26.968454482295304
21.8,0.5455455455455456,-26.93097392452519,-26.920563909066463,4.508806341709112,35.9662845483602,23.362475054027396,17.108447826500406,-26.955151364742083,4.521952579395473,-14.363437984447547,29.70673306513022,-8.059910148134103,4.5130483415550255,-14.366070325064252,-20.653247991851337,-1.7504338305017597,-8.061352076829005,10.795196443920934,42.2649492560249,17.090172912440114,17.089499442159944,-20.641662241378064,-14.359460847880634,4.5170631157443175,-26.968279901049105
21.84,0.5465465465465466,-26.930867432893923,-26.920702972283927,4.508811565475494,35.966077365131426,23.362546747170814,17.108635953999276,-26.95502912539299,4.521866919614821,-14.36347526387899,29.706683946361167,-8.0599977727155,4.513059329021007,-14.365900759079603,-20.65321051943188,-1.7505111811999385,-8.061399011797256,10.79514795817786,42.264782351279976,17.09015845393051,17.089504619354383,-20.64171901044992,-14.359486320684049,4.517215750100492,-26.96810720831075
21.88,0.5475475475475475,-26.93076241177746,-26.920837462382508,4.508816525372539,35.96587397361917,23.36261649721641,17.108818592623347,-26.954907994687,4.521783134247252,-14.363510478672124,29.706631433044492,-8.060082816243796,4.513069344552303,-14.365734731451312,-20.65317272112549,-1.7505880259472661,-8.06144446986937,10.795100551433729,42.264617370022194,17.0901437126559,17.089509565276288,-20.64177344137641,-14.359510287893885,4.517364887130316,-26.967936364268816
21.92,0.5485485485485485,-26.930658836673025,-26.920967499074482,4.50882123216547,35.96567428566156,23.36268434892081,17.10899585145121,-26.95478795070292,4.5217011756987535,-14.36354368299151,29.70657566604845,-8.060165344677076,4.513078426601255,-14.365572156571684,-20.65313460816103,-1.75066435997369,-8.061488488301926,10.795054201037154,42.264454274668665,17.0901286986218,17.089514273277818,-20.641825593823476,-14.359532788032762,4.517510586466441,-26.96776733013731
21.96,0.5495495495495496,-26.930556683453485,-26.9210931991678,4.5088256962772295,35.965478215143335,23.36275034607175,17.1091678377302,-26.954668972081308,4.521620997553004,-14.363574929704164,29.706516781773495,-8.060245422373505,4.513086612382622,-14.365412950784766,-20.653096191525158,-1.7507401789547656,-8.061531103463404,10.79500888478651,42.26429302843229,17.09011342156571,17.089518737194926,-20.641875526065757,-14.359553858709287,4.51765290699806,-26.967600068127243
22.0,0.5505505505505506,-26.930455928362345,-26.92121467662991,4.508829927797349,35.965285677950966,23.362814531507873,17.109334656901094,-26.954551038008812,4.5215425545443555,-14.363604270409441,29.70645491227338,-8.060323112128279,4.513093937907895,-14.365257032347966,-20.65305748196656,-1.750815478995798,-8.061572350854473,10.794964580921288,42.26413359530614,17.090097890963566,17.089522951329798,-20.64192329501648,-14.359573536639877,4.517791906873715,-26.967434541418985
22.04,0.5515515515515516,-26.93035654800881,-26.921332042650427,4.508833936490634,35.9650965919286,23.36287694713813,17.109496412622565,-26.954434128202912,4.521465802531363,-14.36363175546826,29.70639018537349,-8.060398475209755,4.513100438018783,-14.365104321394208,-20.653018490000104,-1.7508902566163653,-8.061612265127819,10.794921268113642,42.263975940048056,17.090082116036022,17.089526910433804,-20.641968956256758,-14.359591857670038,4.517927643504308,-26.967270714135434
22.080000000000002,0.5525525525525525,-26.93025851936289,-26.92144540570266,4.508837731805665,35.96491087683494,23.362937633960797,17.109653206795485,-26.954318222897125,4.521390698470848,-14.363657434031653,29.706322724786425,-8.060471571394793,4.513106146419898,-14.364954739894632,-20.65297922591096,-1.750964508735221,-8.06165088010755,10.79487892546008,42.26382002816549,17.09006610575461,17.08953060969089,-20.64201256406435,-14.35960885679511,4.518060173566276,-26.967108551315953
22.12,0.5535535535535535,-26.93016181975061,-26.921554871604,4.508841322883116,35.964728454300996,23.362996632082158,17.10980513958697,-26.954203302826652,4.521317200392476,-14.363681354068676,29.706252650224915,-8.060542459003301,4.5131110957106495,-14.36480821162182,-20.65293969975864,-1.751038232655569,-8.061688228808167,10.79483753247334,42.26366582590056,17.090049868847768,17.08953404470143,-20.642054171441867,-14.359624568180475,4.518189553004944,-26.966948018891046
