t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34
33.52,0.8388388388388388,-30.622355676587592,0.81452308185911,-11.763522947012344,19.669957655478363,32.25028549796183,-11.778012798553378,-11.761699135889156,19.671073873301193,7.094131514171742,-5.471725216244938,-24.334668691303644,-11.762660246461788,32.26190965992949,25.951574831575233,32.236560000828334,-5.471857589043723,13.379171421318176,25.955837037273202,-11.7551851305468,13.379945497339714,-18.04326427540156,-24.329735969120605,25.952186504970523,13.384695610180497,7.10097205760152,-18.03664249814407,-30.616819929943325,-18.0470112965256,32.23426180129026,25.968310551022075,-30.60818760151261,-30.623021539566007,-30.611289366120406,-30.61791897535601,32.24149189660583
33.56,0.8398398398398398,-30.622333164026532,0.8145200632734636,-11.763511650204126,19.669947644600715,32.25025822974846,-11.777982965672589,-11.761690094312105,19.67106239735723,7.094133007724384,-5.4717244218058285,-24.3346516533886,-11.762650063226486,32.26186788935043,25.951566777588692,32.23654979414769,-5.471856710506357,13.379170661392342,25.955823725862963,-11.755184127247029,13.379943912351417,-18.04325725706834,-24.329724847338248,25.9521776831884,13.384688116693486,7.100965171274573,-18.036643591657082,-30.616804197040132,-18.046999700410424,32.234254366211594,25.96828190988686,-30.608182533809792,-30.62299817408338,-30.611280454118837,-30.6179016864458,32.24147555108254
33.6,0.8408408408408409,-30.622310706568403,0.8145170524569444,-11.763500381209663,19.669937658057687,32.250231029348775,-11.777953209841515,-11.76168107490224,19.67105094977119,7.094134497350109,-5.471723629315538,-24.334634657143646,-11.76263990482811,32.261826223616836,25.951558742935223,32.236539611962,-5.471855833800249,13.37916990307053,25.955810446986693,-11.75518312591168,13.37994233051955,-18.043250255709854,-24.329713753064976,25.95216888273768,13.384680641369002,7.100958301803494,-18.0366446820187,-30.616788502429735,-18.046988132584982,32.23424694892585,25.968253339514764,-30.608177477566002,-30.622974865969034,-30.611271563302875,-30.617884440551723,32.24145924566613
33.64,0.8418418418418419,-30.62228830400926,0.8145140493787364,-11.763489139925264,19.669927695759984,32.25020389650587,-11.777923530752409,-11.761672077577195,19.671039530436506,7.094135983064777,-5.4717228387667625,-24.33461770241469,-11.762629771175257,32.26178466232654,25.9515507275452,32.23652945418297,-5.471854958920426,13.379169146347996,25.955797200524074,-11.755182126536099,13.379940751836253,-18.043243271264377,-24.32970268619714,25.95216010354056,13.384673184140821,7.100951449125944,-18.036645769243027,-30.61677284597144,-18.046976592945104,32.234239549369036,25.96822483964039,-30.608172432743775,-30.622951615009665,-30.6112626935973,-30.61786723751038,32.24144298020744
33.68,0.8428428428428428,-30.622265956146176,0.8145110540081922,-11.763477926247756,19.669917757618748,32.250176830964165,-11.777893928099212,-11.761663102255012,19.67102813924714,7.094137464884163,-5.471722050152235,-24.334600789048412,-11.762619662176983,32.26174320507945,25.951542731349328,32.23651932072273,-5.471854085861926,13.379168391220013,25.955783986355396,-11.75518112911564,13.379939176293682,-18.04323630367048,-24.329691646631623,25.952151345519617,13.384665744943042,7.100944613179894,-18.036646853344074,-30.616757227525255,-18.046965081387135,32.23423216747746,25.968196409999674,-30.608167399305795,-30.62292842099304,-30.611253844927248,-30.61785007715923,32.24142675455807
33.72,0.8438438438438438,-30.622243662777233,0.8145080663148304,-11.763466740074481,19.669907843545555,32.25014983246937,-11.777864401577553,-11.761654148854145,19.67101677609761,7.094138942823956,-5.471721263464727,-24.33458391689225,-11.762609577742785,32.26170185147756,25.95153475427864,32.23650921149382,-5.471853214619798,13.37916763768187,25.955770804361542,-11.755180133645661,13.379937603884002,-18.043229352867037,-24.329680634265827,25.952142608597807,13.384658323710083,7.10093779390362,-18.036647934335775,-30.616741646951873,-18.046953597807935,32.234224803187736,25.9681680503299,-30.6081623772149,-30.62290528370799,-30.611245017218195,-30.61783295933656,32.24141056857036
33.76,0.8448448448448448,-30.622221423701514,0.8145050862683352,-11.7634555813033,19.669897953452416,32.25012290076851,-11.777834950884726,-11.761645217293456,19.671005440882947,7.094140416899757,-5.471720478697047,-24.334567085794397,-11.762599517782608,32.26166060112494,25.951526796264503,32.23649912640922,-5.471852345189103,13.379166885728875,25.955757654423987,-11.755179140121527,13.379936034599393,-18.043222418793214,-24.32966964899768,25.952133892698463,13.38465092037668,7.100930991235708,-18.03664901223198,-30.61672610411267,-18.046942142104864,32.23421745643679,25.968139760369674,-30.608157366434078,-30.622882202944396,-30.61123621039598,-30.617815883881498,32.241394422097386
33.8,0.8458458458458459,-30.622199238719098,0.814502113838554,-11.763444449832576,19.66988808725178,32.25009603560991,-11.777805575719682,-11.76163630749221,19.670994133498734,7.094141887127084,-5.471719695842038,-24.3345502956038,-11.76258948220684,32.2616194536277,25.951518857238614,32.236489065382315,-5.471851477564915,13.379166135356348,25.955744536424792,-11.755178148538608,13.37993446843205,-18.043215501388474,-24.329658690725633,25.95212519774529,13.384643534877886,7.100924205115041,-18.036650087046446,-30.616710598869705,-18.046930714175794,32.23421012716184,25.968111539858914,-30.608152366926472,-30.622859178493194,-30.61122742438678,-30.617798850634,32.24137831499296
33.84,0.8468468468468469,-30.622177107631053,0.8144991489954972,-11.76343334556119,19.66987824485652,32.250069236743165,-11.777776275783022,-11.761627419370079,19.670982853841075,7.09414335352137,-5.471718914892583,-24.334533546170157,-11.762579470926308,32.261578408594026,25.95151093713299,32.23647902832692,-5.471850611742316,13.37916538655963,25.9557314502466,-11.755177158892279,13.379932905374178,-18.043208600592568,-24.329647759348653,25.95211652366237,13.38463616714907,7.1009174354808104,-18.036651158792854,-30.616695131085716,-18.04691931391909,32.23420281530041,25.968083388538854,-30.608147378655367,-30.622836210146353,-30.611218659117124,-30.617781859434842,32.24136224711162
33.88,0.8478478478478478,-30.62215503023943,0.8144961917093376,-11.763422268388515,19.66986842617993,32.25004250391917,-11.77774705077698,-11.761618552847132,19.670971601806595,7.094144816097963,-5.4717181358415985,-24.334516837343894,-11.762569483852277,32.26153746563411,25.95150303587998,32.23646901515723,-5.471849747716404,13.379164639334077,25.95571839577264,-11.755176171177922,13.379931345418003,-18.04320171634554,-24.32963685476622,25.952107870374146,13.38462881712591,7.100910682272503,-18.0366522274848,-30.616679700624108,-18.046907941233624,32.23419552079032,25.968055306152028,-30.60814240158421,-30.622813297696883,-30.611209914513882,-30.61776491012562,32.241346218308635
