t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
30.32,0.7587587587587588,28.554669798553327,-21.730899228198467,9.717684830709317,-15.436108844593118,28.65676674476169,-34.347707313609675,3.413266188429313,-2.8725052263533932,9.71286914702953,-15.426582410093392,-28.001354219788354,-21.722637022453135,9.715689089006604,-15.442053915704609,-27.99537810219903,-46.89397364095768,22.294015798435122,28.66476939422336,9.742308461839885,3.4293139854505665,28.5610556602175,28.57317764987134,3.419750447094018,-21.753457027319918,9.732652790480032,9.713701022097839,3.4213459340962387,16.02652817742345
30.36,0.7597597597597597,28.554678868059334,-21.730857970050263,9.717674971928023,-15.436090261701038,28.65661187193748,-34.347599251139904,3.413284653817529,-2.8724823390168863,9.712865530402249,-15.426576024522365,-28.001337784657125,-21.722613949851926,9.71568691918636,-15.442027446366913,-27.99537032162982,-46.89389796903001,22.293988781094086,28.664641400817036,9.742271137216857,3.4293146079406753,28.561054135273807,28.57315999310849,3.419760150266603,-21.753388782629525,9.732614896570931,9.713700195066629,3.4213556011581994,16.02648655519985
30.400000000000002,0.7607607607607607,28.554687928523578,-21.730816934089617,9.717665165266492,-15.43607169173694,28.656457689967294,-34.347491461641575,3.413303118915686,-2.8724594758203645,9.712861973410355,-15.426569659295199,-28.00132135275073,-21.722590896802398,9.715684670056561,-15.442000999411128,-27.99536253712009,-46.89382245225172,22.293961912653245,28.664513239025627,9.742233737887396,3.429315194170073,28.561052663080275,28.57314241081711,3.4197698839127826,-21.753320694853237,9.732577232389072,9.713699318200646,3.4213652491233977,16.026444936821772
30.44,0.7617617617617618,28.554696979584303,-21.73077611757628,9.717655410053126,-15.43605313535032,28.656304192656897,-34.347383944690115,3.413321582839966,-2.8724366374522483,9.712858474826945,-15.426563314319282,-28.00130492482022,-21.722567864088706,9.71568234339219,-15.44197457569805,-27.9953547491758,-46.893747090986935,22.293935191366074,28.664384918951974,9.74219626730262,3.4293157448272944,28.561051242510537,28.5731249021454,3.4197796467920623,-21.753252764048792,9.732539794724445,9.713698392563337,3.421374877916028,16.02640332420191
30.48,0.7627627627627628,28.554706020887973,-21.730735517812594,9.717645705626675,-15.436034593176831,28.656151373881855,-34.34727669985388,3.4133400447233977,-2.872413824584554,9.712855033447699,-15.426556989501455,-28.001288501600932,-21.722544852476844,9.715679940936838,-15.441948176069276,-27.99534695829088,-46.89367188558272,22.29390861550979,28.66425645050811,9.74215872884996,3.4293162605886427,28.561049872457502,28.573107466255497,3.4197894376885536,-21.75318499026449,9.732502580422265,9.713697419199697,3.42138448746159,16.026361719216776
30.52,0.7637637637637638,28.554715052089158,-21.730695132142845,9.717636051336083,-15.436016065838501,28.65599922758684,-34.34716972669421,3.413358503715621,-2.8723910378731787,9.7128516480905,-15.426550684748065,-28.001272083812715,-21.722521862714956,9.71567746440319,-15.44192180134753,-27.995339164947485,-46.89359683636938,22.29388218338504,28.66412784341804,9.742121125854082,3.4293167421183934,28.56104855183307,28.573090102323242,3.419799255410557,-21.753117373539315,9.73246558638209,9.713696399136541,3.42139407768691,16.026320123707187
30.560000000000002,0.7647647647647647,28.554724072850387,-21.73065495795261,9.717626446540343,-15.435997553943954,28.655847747784957,-34.34706302476557,3.4133769589826506,-2.8723682779581847,9.712848317595054,-15.426544399965,-28.00125567216021,-21.72249889553365,9.715674915473505,-15.44189545233696,-27.99533136961619,-46.89352194366079,22.293855893315655,28.66399910722053,9.742083461577804,3.4293171900689985,28.56104727956787,28.573072809537955,3.419809098790153,-21.753049913903045,9.73242880955695,9.713695333382795,3.421403648520159,16.026278539478756
30.6,0.7657657657657657,28.554733082842038,-21.730614992668126,9.717616890608346,-15.435979058088613,28.655696928557063,-34.3469565936156,3.4133954097066446,-2.872345545464074,9.712845040822536,-15.426538135057735,-28.00123926733308,-21.7224759516463,9.715672295800099,-15.441869129823456,-27.99532357275623,-46.893447207754654,22.29382974364833,28.663870251271828,9.742045739223006,3.4293176050812852,28.56104605461097,28.573055587102196,3.419818966682796,-21.75298261137638,9.732392246952479,9.71369422292976,3.421413199890869,16.02623696830237
30.64,0.7667667667667668,28.554742081742194,-21.730575233755662,9.717607382918738,-15.435960578854916,28.65554676405109,-34.346850432785274,3.413413855085673,-2.872322841000063,9.712841816655217,-15.426531889931372,-28.001222870006263,-21.72245303174934,9.715669607005808,-15.441842834574945,-27.99531577481574,-46.89337262893283,22.29380373275237,28.663741284748383,9.74200796193151,3.429317987784654,28.561044875929625,28.573038434231556,3.4198288579669183,-21.752915465971046,9.73235589562607,9.713693068751391,3.4214227317299493,16.026195411914667
30.68,0.7677677677677678,28.554751069236545,-21.730535678720898,9.717597922859776,-15.435942116812521,28.65539724848137,-34.34674454180895,3.413432294333493,-2.872300165160351,9.712838643996115,-15.426525664490685,-28.001206480840214,-21.72243013652257,9.715666850684455,-15.441816567341695,-27.995307976231942,-46.89329820746159,22.293777859019404,28.663612216649515,9.741970132785982,3.4293183387972697,28.561043742509007,28.573021350154438,3.4198387715435397,-21.752848477689923,9.732319752686031,9.71369187180456,3.4214322439697016,16.0261538720185
