t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
9.200000000000001,0.23023023023023023,13.114256049907189,-24.798954256715078,7.4417652461916655,-6.401953696602827,16.361394249057646,25.71417815790719,-18.469649470689294,-5.810583202022439,12.93022686484315,-37.27525449845438,-2.8325912982991484,22.345367545199842,-7.642699653359453,25.015277868322247,25.402738906588244,-43.64036028463095
9.24,0.23123123123123124,13.110994074345108,-24.800379620516335,7.4362352941797285,-6.398997303153482,16.35961340197474,25.71261429408979,-18.47107845281709,-5.8099538434489535,12.925081681966924,-37.27628743224585,-2.830857420857792,22.345556291279756,-7.625590911156713,25.013287568350684,25.403624077899664,-43.640703172646575
9.28,0.23223223223223222,13.107733182165287,-24.801792833749413,7.430709426141166,-6.396043467848072,16.357849653481573,25.711050471145942,-18.472523456892624,-5.809393998538859,12.91993584022692,-37.277340372055185,-2.829149550221541,22.345797676656048,-7.608434307568,25.01134621680351,25.404483523739657,-43.641069476242805
9.32,0.23323323323323322,13.104473196727426,-24.803194401914155,7.425187867754487,-6.393092558752714,16.356102929201644,25.709486434000763,-18.473984253434285,-5.808904708688934,12.914792777167994,-37.27841309717025,-2.827466518669782,22.346093111200926,-7.5912377933812305,25.009457016049286,25.405317407799107,-43.641458880646674
9.36,0.23423423423423423,13.101213977018777,-24.80458482366415,7.419670841489399,-6.39014494253636,16.354373159554576,25.70792193181676,-18.47546058832163,-5.808487009988328,12.90965593823698,-37.279505374413816,-2.8258071256875446,22.346444016138623,-7.574009407887485,25.007623117077614,25.406125895501454,-43.64187107709126
9.4,0.23523523523523523,13.097955417743012,-24.80596459051122,7.414158566699747,-6.387200984380638,16.352660280257428,25.70635671815095,-18.47695218331941,-5.808141933564816,12.904528765374726,-37.28061695875115,-2.8241701380130686,22.346851824311493,-7.556757258469841,25.00584760987039,25.406909154246808,-43.6423057624008
9.44,0.23623623623623624,13.094697449276321,-24.807334186535563,7.408651259716445,-6.384261047887573,16.350964232826296,25.70479055110644,-18.47845873669737,-5.807870506065621,12.89941468534735,-37.28174759393616,-2.8225542896764386,22.34731798057107,-7.539489499786732,25.004133513922064,25.407667353645824,-43.642762638582745
9.48,0.23723723723723725,13.091440037488233,-24.808694088102644,7.403149133939852,-6.381325494985285,16.349284965078088,25.703223193478085,-18.479979923946402,-5.807673750278029,12.894317097890195,-37.28289701319582,-2.8209582820265884,22.347843942302163,-7.522214312682092,25.00248376897035,25.408400665741883,-43.643241412428374
9.52,0.23823823823823823,13.088183183425475,-24.810044763587822,7.397652399931063,-6.378394685831743,16.347622431632445,25.701654412891724,-18.48151539859077,-5.807552685894373,12.88923936374076,-37.28406493995261,-2.8193807837438225,22.34843118008756,-7.5049398829580625,25.000901225997385,25.40910926522022,-43.643741795123816
9.56,0.23923923923923923,13.084926922857935,-24.811386673109777,7.3921612655015405,-6.375468978716696,16.345976594413766,25.700083981936604,-18.48306479309546,-5.807508330425269,12.88418479263878,-37.285251088584204,-2.8178204308348658,22.34908117852032,-7.487674380147882,24.99938863855925,25.40979332960254,-43.64426350187297
