t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43
13.86,0.4624624624624625,7.496310631929015,7.515413212302539,26.36131770035381,-30.2066413884424,7.52195280411885,26.36582668747345,-17.634742317737093,-36.49630499774441,38.94182399939818,-11.372396014857626,-5.055057938239181,-5.065802436524585,20.076637851874786,7.514308122272345,-5.0524325253018425,1.2224573127045717,-5.072285363706725,-5.0749928782517415,13.792576859387193,-36.484646632767664,1.2283412105533567,-30.214032629878126,7.51274892195564,1.2236680967811537,-5.065195698294195,-17.634802152890188,-11.358282616349124,38.95576010924841,20.08946055721535,26.384990583890772,32.65409372642308,1.2211157744466097,32.6590609739609,-23.91735043066477,-17.633033567430058,-36.49942635794568,-11.351954677853126,32.66925241462435,32.66891136286431,-36.486413727614625,-23.93387268866237,-17.641370046789447,-23.962965369415734,32.65013608872625
13.889999999999999,0.46346346346346345,7.496336153530307,7.515382687683415,26.361306641782186,-30.206615462647722,7.521904685221754,26.365799040569815,-17.63473150339302,-36.49625998005742,38.941772032875235,-11.372308081222322,-5.05508043288476,-5.065790135806591,20.07662692691397,7.514285906447249,-5.052464165111528,1.2224551726155517,-5.072256067323587,-5.074955225289091,13.792572744349098,-36.48463502920163,1.2283224141570088,-30.213982643245444,7.512726453306621,1.2236630096931378,-5.065182078903479,-17.634781266106945,-11.358246797710745,38.95567438217188,20.08941419715371,26.38491638389456,32.65405517965541,1.2211184445338976,32.65900706127956,-23.917337444969274,-17.63302212007098,-36.49937532814107,-11.35193679920051,32.669173215633144,32.6688366341766,-36.486395717227644,-23.933815581997024,-17.64133812574645,-23.96278431273696,32.650107476494284
13.92,0.46446446446446443,7.496361431566137,7.515352521434297,26.361295480201036,-30.20658957547068,7.521857044213536,26.365771613769166,-17.634720617243918,-36.496215210570675,38.94172048214355,-11.372221145403449,-5.055102478896959,-5.065777957896065,20.076616060466222,7.514263839199418,-5.052495248549759,1.2224530665586555,-5.072227007297157,-5.074917880665117,13.792568586285519,-36.48462333307742,1.228303893361754,-30.21393302899424,7.512704236214042,1.223658024856904,-5.065168762796186,-17.63476055080914,-11.358211300973363,38.95558917064657,20.089368239660605,26.384842693359005,32.654016876021515,1.2211211825481263,32.658953611100614,-23.917324502095237,-17.633010706732158,-36.49932455087723,-11.351919025507591,32.669094583925975,32.668762321160926,-36.4863777272754,-23.933758897982944,-17.641306352512828,-23.962605575164506,32.65007902324267
13.95,0.46546546546546547,7.496386472243149,7.515322704434175,26.361284223740082,-30.206563728666566,7.521809870551024,26.365744402655718,-17.6347096624444,-36.49617068589455,38.94166933823765,-11.372135183792617,-5.055124093261534,-5.065765898806484,20.07660525175498,7.514241918401249,-5.05252579477135,1.2224509942734458,-5.072198178186964,-5.074880838455507,13.79256438498005,-36.48461154968756,1.2282856385596275,-30.213883778965137,7.5126822646670615,1.2236531385263112,-5.0651557367106985,-17.634740004812553,-11.358176116484392,38.95550446948277,20.08932267524791,26.384769502653672,32.6539788119353,1.2211239831538703,32.65890061252562,-23.917311601011885,-17.63299932715487,-36.499274022948235,-11.351901354473528,32.66901651015452,32.66868841983804,-36.48635975885017,-23.933702626691392,-17.641274725680297,-23.96242910308403,32.650050727962686
13.979999999999999,0.46646646646646645,7.496411281542415,7.515293227839119,26.361272880137914,-30.206537923929986,7.521763153996785,26.365717402940408,-17.634698642066315,-36.49612640273577,38.94161859247848,-11.372050173460673,-5.055145292285012,-5.065753954718979,20.076594500024875,7.51422014196766,-5.052555822206709,1.2224489554799245,-5.072169574746175,-5.07484409289468,13.792560140310481,-36.484599684125556,1.2282676405259068,-30.213834885282026,7.512660532830197,1.2236483470975414,-5.065142987952856,-17.634719625939532,-11.358141235004313,38.95542027353302,20.089277494748657,26.38469680246456,32.65394098389881,1.2211268412854515,32.65884805502199,-23.917298740755296,-17.632987981102335,-36.49922374125411,-11.35188378389975,32.668938985198245,32.66861492627929,-36.486341813013645,-23.933646758567477,-17.64124324388321,-23.962254844249447,32.65002258961632
14.01,0.4674674674674675,7.4964358652280225,7.515264083074189,26.361261456758335,-30.20651216289623,7.52171688460959,26.365690610457097,-17.634687559100744,-36.496082357894,38.941568236463745,-11.371966092138054,-5.055166091620259,-5.065742121975635,20.07658380454096,7.5141985078552604,-5.052585348588078,1.222446949880021,-5.0721411919143256,-5.074807638371476,13.792555852242842,-36.48458774129272,1.228249890404428,-30.21378634034176,7.512639035038255,1.2236436471039587,-5.065130504374155,-17.63469941202065,-11.358106647689073,38.955336577693046,20.089232689305778,26.384624583782355,32.653903388499636,1.2211297521353583,32.65879592841047,-23.91728592042508,-17.63297666835832,-36.49917370279654,-11.351866311685283,32.66886200015844,32.66854183660576,-36.48632389079752,-23.93359128441581,-17.64121190579647,-23.96208274775011,32.64999460713895
14.04,0.46846846846846846,7.4964602288553355,7.5152352618255485,26.361249960606056,-30.206486447142638,7.521671052735194,26.365664021158892,-17.63467641645993,-36.49603854825845,38.941518262058665,-11.37188291819565,-5.055186506291169,-5.065730397073015,20.076573164587995,7.514177014061546,-5.052614390974915,1.2224449771590167,-5.07211302481031,-5.074771469424947,13.792551520825711,-36.484575725904705,1.2282323796934236,-30.213738136804167,7.51261776579138,1.2236390352111397,-5.065118274350674,-17.634679360896257,-11.358072346073214,38.95525337690263,20.089188250361232,26.384552837891093,32.65386602240839,1.221132711143107,32.65874422285298,-23.917273139181198,-17.63296538872581,-36.4991239046746,-11.351848935822272,32.66878554635236,32.66846914698745,-36.48630599320401,-23.9335361953867,-17.641180710133533,-23.96191276397868,32.6499667794419
14.07,0.4694694694694695,7.496484377778969,7.515206756032779,26.361238398341847,-30.20646077818993,7.521625648997412,26.365637631114563,-17.634665216979176,-36.495994970804695,38.94146866138691,-11.371800630626215,-5.055206550716509,-5.065718776655931,20.07656257946974,7.514155658624087,-5.052642965778422,1.2224430369869,-5.07208506872562,-5.074735580740235,13.79254714618478,-36.48456364249783,1.2282151002318626,-30.213690267582436,7.512596719750249,1.2236345082120783,-5.065106286762711,-17.63465947041791,-11.358038322053648,38.955170666146465,20.089144169645486,26.38448155635725,32.65382888237626,1.2211357139845276,32.658692928840864,-23.91726039624089,-17.63295414202573,-36.499074344080725,-11.351831654391685,32.668709615307534,32.66839685364245,-36.486288121206385,-23.933481482962783,-17.641149655644508,-23.961744844599675,32.64993910541483
14.1,0.47047047047047047,7.496508317160458,7.515178557881377,26.361226776297087,-30.20643515750354,7.521580664289471,26.365611436505056,-17.634653963418675,-36.495951622591534,38.941419426821895,-11.371719209026265,-5.055226238732938,-5.065707257511439,20.076552048508287,7.514134439619741,-5.05267108878526,1.2224411290196593,-5.072057319117825,-5.074699967144556,13.792542728517674,-36.48455149543529,1.228198044186277,-30.21364272583379,7.512575891731382,1.2236300630225516,-5.065094530975107,-17.63463973844973,-11.358004567874099,38.95508844045485,20.089100439167336,26.384410731019226,32.65379196523267,1.2211387565614626,32.6586420371835,-23.917247690875758,-17.632942928095744,-36.499025018296834,-11.35181446555921,32.66863419875622,32.66832495283619,-36.48627027574946,-23.933427138946154,-17.641118741114358,-23.961578942518667,32.64991158392806
14.129999999999999,0.47147147147147145,7.4965320519756595,7.515150659795455,26.36121510048779,-30.206409586494942,7.521536089765653,26.365585433620115,-17.634642658465296,-36.49590850075801,38.94137055097834,-11.371638633578488,-5.055245583617229,-5.065695836563042,20.076541571043403,7.514113355163862,-5.052698775180469,1.222439252900516,-5.072029771604281,-5.074664623603278,13.792538268088993,-36.48453928891309,1.2281812040380597,-30.213595504950533,7.5125552767025825,1.2236256966766463,-5.065082996818245,-17.634620162869666,-11.357971076110175,38.955006694904434,20.089057051204065,26.3843403539772,32.65375526788295,1.2211418349918617,32.65859153899726,-23.91723502240891,-17.632931746789108,-36.49897592469055,-11.351797367571315,32.66855928862999,32.6682534408807,-36.486252457750155,-23.93337315544593,-17.64108796536118,-23.96141501185213,32.64988421383469
14.16,0.4724724724724725,7.496555587021864,7.515123054430619,26.36120337662808,-30.2063840665229,7.521491916833193,26.365559618854995,-17.634631304734317,-36.49586560252053,38.94132202670407,-11.371558885034634,-5.0552645981077236,-5.06568451086512,20.076531146431922,7.5140924034095375,-5.05272603956961,1.222437408261096,-5.072002421956079,-5.074629545216083,13.792533765225597,-36.48452702696586,1.2281645725712194,-30.21354859855136,7.512534869778497,1.2236214063224378,-5.065071674569698,-17.634600741570644,-11.357937839655026,38.954925424618786,20.089013998291946,26.38427041758339,32.65371878730613,1.2211449456002592,32.65854142569487,-23.91722239021228,-17.632920597973566,-36.49892706071162,-11.35178035875148,32.66848487705444,32.66818231413389,-36.48623466809798,-23.933319524866274,-17.641057327234588,-23.96125300789792,32.649856993972655
14.19,0.47347347347347346,7.496578926924657,7.51509573466704,26.36119161014317,-30.20635859889477,7.521448137144441,26.365533988707256,-17.634619904771114,-36.49582292517007,38.94127384707211,-11.371479944698878,-5.055283294425024,-5.065673277597557,20.07652077404713,7.51407158254682,-5.052752896000169,1.2224355947225465,-5.071975266092202,-5.074594727213236,13.79252922031211,-36.48451471347244,1.2281481428605738,-30.21350200047299,7.512514666216295,1.2236171892178174,-5.065060554936511,-17.634581472461665,-11.3579048517056,38.954844624768995,20.088971273217037,26.384200914432643,32.65368252055281,1.2211480849086234,32.658491688975076,-23.917209793704018,-17.632909481530323,-36.49887842388845,-11.351763437496594,32.66841095634404,32.66811156899887,-36.486216907655546,-23.93326623989481,-17.641026825614148,-23.9610928871064,32.64982992316666
14.219999999999999,0.4744744744744745,7.496602076144525,7.515068693602698,26.361179806181834,-30.20633318486774,7.521404742589277,26.365508539773664,-17.634608461052824,-36.495780466069505,38.94122600537304,-11.371401794411648,-5.055301684291973,-5.065662134060567,20.076510453278203,7.514050890801979,-5.052779357982224,1.2224338118965967,-5.071948300073888,-5.074560164951932,13.792524633786625,-36.48450235216136,1.2281319082603734,-30.213455704762094,7.51249466141147,1.2236130427264642,-5.065049629038094,-17.634562353468805,-11.357872105749445,38.95476429057417,20.08892886900631,26.384131837353383,32.65364646474304,1.2211512496275623,32.65844232081263,-23.917197232346,-17.632898397353056,-36.498830011824744,-11.351746602273497,32.668337518997134,32.668041201923266,-36.48619917725908,-23.933213293491487,-17.64099645940792,-23.960934607052156,32.64980300023
14.25,0.4754754754754755,7.496625038983205,7.515041924546812,26.361167969628408,-30.20630782565007,7.521361725287759,26.365483268747177,-17.634596975989933,-36.495738222651035,38.94117849510756,-11.371324416533897,-5.055319778952921,-5.065651077669716,20.076500183529653,7.514030326436762,-5.05280543850841,1.2224320593865667,-5.0719215200992185,-5.0745258539127445,13.79252000613663,-36.48448994661602,1.2281158623933348,-30.21340970566749,7.512474850893745,1.2236089643139547,-5.065038888389722,-17.634543382536133,-11.357839595552061,38.95468441730186,20.088886778919047,26.384063179398904,32.653610617064324,1.221154436647874,32.65839331344867,-23.917184705641436,-17.632887345346973,-36.49878182219636,-11.351729851615683,32.66826455769104,32.667971209398594,-36.4861814777189,-23.933160678877822,-17.64096622755104,-23.96077812640635,32.64977622396627
14.28,0.47647647647647645,7.496647819589813,7.515015421013436,26.361156105114322,-30.2062825224023,7.521319077583017,26.365458172414016,-17.63458545192784,-36.495696192413696,38.94113130997934,-11.371247793931822,-5.055337589192312,-5.065640105951125,20.076489964220784,7.514009887747667,-5.0528311500732,1.222430336788324,-5.071894922497881,-5.07449178969615,13.79251533789512,-36.484477500279894,1.228099999140075,-30.21336399763263,7.5124552303231,1.2236049515440066,-5.065028324886607,-17.634524557626573,-11.357807315144758,38.9546050002685,20.088844996438567,26.38399493383897,32.65357497476966,1.2211576430324305,32.65834465938133,-23.917172213132602,-17.632876325427922,-36.49873385274818,-11.351713184120133,32.66819206527727,32.66790158795962,-36.48616380981993,-23.933108389526545,-17.640936129004416,-23.960623404909633,32.649749593170995
14.309999999999999,0.4774774774774775,7.49667042196673,7.514989176715235,26.36114421702919,-30.206257276238443,7.521276792034365,26.365433247650813,-17.634573891148396,-36.49565437292097,38.94108444388809,-11.371171909962003,-5.055355125352612,-5.065629216536862,20.076479794785186,7.513989573065224,-5.052856504691524,1.2224286436911935,-5.07186850372614,-5.074457968019152,13.792510629636903,-36.484465016461364,1.2280843126289307,-30.21331857528833,7.512435795485901,1.2236010020748525,-5.065017930788535,-17.634505876722677,-11.357775258813012,38.954526034839716,20.0888035152642,26.383927094151733,32.65353953517565,1.2211608660083824,32.65829635135671,-23.91715975439863,-17.63286533752156,-36.49868610129122,-11.351696598444294,32.66812003477691,32.66783233418376,-36.48614617432216,-23.9330564191516,-17.64090616275345,-23.960470403345678,32.64972310663314
14.34,0.47847847847847846,7.496692849975274,7.514963185557426,26.361132309531456,-30.206232088227164,7.5212348614106315,26.36540849142186,-17.634562295871376,-36.49561276179846,38.94103789092282,-11.371096748456965,-5.055372397351598,-5.0656184071604935,20.076469674670243,7.5139693807532915,-5.052881513916741,1.2224269796788167,-5.0718422603619855,-5.074424384711976,13.792505881975087,-36.48445249833856,1.2280687972261521,-30.213273433445774,7.51241654229114,1.2235971136557395,-5.065007698705051,-17.63448733782735,-11.357743421085313,38.95444751643064,20.088762329303545,26.38385965401596,32.65350429566065,1.2211641029596736,32.65824838236016,-23.917147329053403,-17.632854381562545,-36.49863856569974,-11.351680093303186,32.66804845937609,32.667763444690486,-36.486128571961146,-23.93300476169854,-17.640876327806836,-23.960319083515273,32.649696763136554
14.37,0.4794794794794795,7.496715107341154,7.514937441631879,26.361120386558653,-30.206206959392944,7.521193278683712,26.365383900776415,-17.634550668255933,-36.495571356731716,38.940991645355396,-11.371022293711142,-5.055389414699019,-5.0656076756528226,20.076459603336662,7.51394930920836,-5.052906188857991,1.2224253443299695,-5.07181618910046,-5.074391035714863,13.792501095557741,-36.484439948963974,1.228053447526456,-30.213228567089768,7.512397466766778,1.2235932841235493,-5.064997621581172,-17.63446893896449,-11.357711796722459,38.95436944050615,20.088721432665007,26.383792607303548,32.653469253663005,1.2211673514198547,32.65820074560779,-23.91713493674358,-17.632843457493777,-36.498591243908585,-11.35166366746664,32.66797733242155,32.66769491614077,-36.48611100344849,-23.932953411335255,-17.64084662319544,-23.960169408210984,32.649670561461335
14.399999999999999,0.4804804804804805,7.4967371976597255,7.514911939211386,26.36110845183722,-30.206181890717204,7.521152037022314,26.3653594728461,-17.63453901040202,-36.495530155464046,38.94094570163423,-11.370948530467242,-5.055406186512668,-5.0655970199377744,20.076449580258007,7.5139293568588705,-5.052930540196938,1.2224237372193334,-5.07179028674916,-5.074357917074939,13.792496271064728,-36.4844273712689,1.2280382583439282,-30.21318397137222,7.51237856505619,1.223589511399536,-5.064987692683618,-17.63445067817959,-11.3576803807073,38.954291802581075,20.08868081965057,26.383725948072307,32.6534344066793,1.2211706090651846,32.65815343453831,-23.917122577146642,-17.632832565265687,-36.498544133910535,-11.351647319756655,32.66790664741638,32.6676267452365,-36.48609346947229,-23.932902362443045,-17.6408170479712,-23.960021341192377,32.64964450038507
