t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33
12.33,0.4114114114114114,-24.738175799052943,19.308698398384582,6.719077546139804,-5.762963450016206,-18.404121723564003,-5.8209588822032075,0.44378967041462003,-12.14883291860728,-12.098954374433477,0.44023655563210606,38.14192368041577,13.02583562349647,-12.184301045281941,-12.124306921796782,0.4459157295091379,-18.600558452283902,-18.413019302905443,6.76135732190446,-30.84725462464803,0.5065768100638508,-5.815243199331455,19.427319002709744,25.623955860759523,19.308187863344582,19.350144209284924,-5.835088009140827,19.23738430750874,-5.803314570364164,12.984502466088381,-12.069133390865964,0.4338501445442726,-31.004378947552222,-12.384571843466388,44.50228795576149
12.36,0.4124124124124124,-24.737294926136535,19.30951584723126,6.719179354117789,-5.764399842227253,-18.40438471653243,-5.821402141970808,0.4440302912289858,-12.148086823273227,-12.099616019091394,0.4403435223841053,38.14221531654183,13.025788530246901,-12.182858866594701,-12.124294879538134,0.44608942208017327,-18.597927621475137,-18.41298484921738,6.76088186249055,-30.852591630516628,0.5053658641476731,-5.815733043022738,19.425216471159533,25.623478346935872,19.30826256752259,19.34954128590652,-5.835135170059288,19.23894304785538,-5.803865886695886,12.98581098528601,-12.070956328208666,0.4339160758784283,-31.003815595384342,-12.378959738243584,44.50159497762276
12.389999999999999,0.4134134134134134,-24.736436314934682,19.310307253581872,6.7192841223032564,-5.765806849431434,-18.404644193660026,-5.8218376240623995,0.4442615045721685,-12.147364192896255,-12.100264278112846,0.44044626421329847,38.142496303153735,13.02574077698101,-12.181445577936936,-12.124285112307623,0.44625979431354235,-18.59531285503506,-18.412955261075428,6.760412290433838,-30.857767537498056,0.5041819507675201,-5.816218436018319,19.423162421212748,25.623010054987105,19.308332000632163,19.34894615322959,-5.8351847466634315,19.240464412080808,-5.804409978942935,12.98707897369725,-12.07272833448228,0.4339873577861338,-31.003273288421017,-12.373481281327312,44.500909919308235
12.42,0.4144144144144144,-24.73559954479924,19.311073149870854,6.7193916233616235,-5.767184946288014,-18.404900173856454,-5.822265452961416,0.444483577248529,-12.146664305271969,-12.100899299555296,0.4405448945724896,38.14276728922381,13.02569237911467,-12.180060883874466,-12.124277549460041,0.4464267821255894,-18.5927152595035,-18.412930337729588,6.759948669700172,-30.862786740316363,0.5030245132961607,-5.816699299683308,19.421155643780402,25.6225507357229,19.308396364137383,19.348358754454917,-5.8352366263103095,19.241949219960496,-5.804946803657713,12.988307595488253,-12.074450520446298,0.43406371334328364,-31.002751234263123,-12.368133231307656,44.50023299433144
12.45,0.41541541541541543,-24.73478419503281,19.311814065135092,6.719501639198958,-5.768534606642722,-18.405152675208626,-5.82268575095003,0.44469677080107956,-12.145986459717497,-12.101521237666038,0.44063952611010265,38.14302888028907,13.025643353169752,-12.178704480241615,-12.124272119859846,0.4465903304790107,-18.59013587369618,-18.412909883196424,6.759491055889061,-30.867653526962332,0.5018930051086434,-5.81717556027334,19.41919496527865,25.622100149842797,19.308455852874793,19.347779031742558,-5.8352906974016445,19.243398279162463,-5.805476325235577,12.989497985751182,-12.076123986331117,0.4341448738922566,-31.002248667617714,-12.362912420403847,44.49956439216011
12.48,0.4164164164164164,-24.733989845364984,19.31253052470754,6.719613960652625,-5.769856303060503,-18.405401715115705,-5.823098638143712,0.4449013415192224,-12.145329976503154,-12.102130252158192,0.4407302705219697,38.14328164130539,13.025593716683396,-12.177376054757747,-12.124268752066106,0.4467503929282402,-18.58757567104082,-18.412893706240236,6.75903949659324,-30.87237208060383,0.5007868893897971,-5.817647148834787,19.417279246306194,25.621658067505365,19.308510655227284,19.34720692629879,-5.835346849566909,19.24481238495568,-5.805998515604507,12.990651250899147,-12.077749821244861,0.4342305788582394,-31.001764849603738,-12.357815753499938,44.49890427950584
12.51,0.4174174174174174,-24.733216076405,19.31322304992842,6.719728387193057,-5.77115050639231,-18.405647310414952,-5.823504232526722,0.4450975404536624,-12.144694196287679,-12.102726507540517,0.4408172384166309,38.14352609931713,13.025543488118865,-12.176075287626968,-12.124267374505727,0.446906931174934,-18.5850355618776,-18.41288162034839,6.758594031750547,-30.87694648152329,0.49970563895285824,-5.818114001101971,19.415407380377395,25.62122426791044,19.30856095329808,19.346642378456302,-5.835404973829823,19.246192319963775,-5.806513353917431,12.991768469084315,-12.079329102613418,0.43432057557176107,-31.0012990670524,-12.35284020712451,44.49825280156876
12.54,0.4184184184184184,-24.73246247007106,19.313892157873518,6.719844726636166,-5.772417685374074,-18.40588947749869,-5.823902649988487,0.4452856134378809,-12.14407847955871,-12.10331017249743,0.440900539193332,38.143762745953374,13.025492686778291,-12.174801852120854,-12.124267915635276,0.44705991463421024,-18.582516395721406,-18.412873443701375,6.758154693987852,-30.881380709074417,0.49864873606808985,-5.818576057391958,19.413578292708927,25.62079853889479,19.3086069230843,19.346085327748312,-5.835464962759044,19.24753885396087,-5.807020826247786,12.992850690636175,-12.080862895654777,0.4344146190969882,-31.000850631805122,-12.34798282838181,44.497610083237426
12.57,0.4194194194194194,-24.73172860999662,19.31453836109915,6.719962794865901,-5.773658306256096,-18.406128232422603,-5.824294004360796,0.44546580111559714,-12.143482206079899,-12.103881419315856,0.44098028093194325,38.14399203976161,13.025441332717593,-12.173555415144104,-12.124270304091706,0.4472093200121915,-18.580018963483464,-18.412868999138112,6.7577215089568075,-30.88567864365109,0.49761567230034676,-5.81903326249743,19.411790939057983,25.620380676541398,19.30864873464954,19.345535712977064,-5.83552671060382,19.248852743706443,-5.807520925288861,12.993898938517155,-12.082352252888438,0.43451247206534066,-31.000418880011697,-12.343240733841265,44.496976230244016
12.6,0.42042042042042044,-24.73101408191402,19.315162167403344,6.720082415566504,-5.7748728324611625,-18.406363591005736,-5.824678407455724,0.4456383389736835,-12.142904774345887,-12.1044404233557,0.44105657029406087,38.144214408388926,13.025389446663795,-12.172335637783089,-12.12427446883238,0.4473551308952997,-18.577543999650405,-18.412868114116915,6.757294495661235,-30.88984406866224,0.49660594835463095,-5.819485565578108,19.41004430460999,25.619970484802494,19.308686552295082,19.344993472277306,-5.835590113415365,19.25013473281638,-5.808013650057399,12.994914208793052,-12.083798213680248,0.4346139045140038,-31.000003171430958,-12.338611108391666,44.49635133027544
