t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
0.63,0.02102102102102102,-23.52882725093027,33.62660985793318,14.512734937137484,7.567636274261334,-34.32089604502652,-15.767341659451994,-10.300868765495474,24.588172532600804,23.790361831684244,3.256290712733298,-36.02668846007485,9.962426360775979,11.012795387221464,-0.1647937034752854,34.436739941132394,-17.9167429115603,2.310660390003885,6.123616615452101,20.3629667689701,-23.577537530218425,30.35758861940563,13.186138655666966,-38.239299196706824,-10.14925085555973,19.53537619067174,-10.1248569390991,-10.771517910293579,-1.8152316925742071,-9.682309697175128,-14.836387633901667,-33.07572234250028,8.782023955981995,29.570876950228495
0.6599999999999999,0.022022022022022022,-23.528859321453197,33.626506216953906,14.51390883834633,7.5688263581395825,-34.32368554408961,-15.76812892377957,-10.30240668765412,24.588705015109248,23.792883591428648,3.2543141947589618,-36.02771067083625,9.962695960963922,11.01256482064426,-0.16482024669103218,34.43851432812868,-17.915801424624327,2.3121793814230625,6.124496584102695,20.364411300392703,-23.577614350064227,30.358645429487293,13.187502630196102,-38.24151415689502,-10.149676543051365,19.536508471509393,-10.125854671258733,-10.769664961150447,-1.816936728569065,-9.682949505843137,-14.839364533062062,-33.07774011585356,8.78225303552157,29.572555615586822
0.69,0.023023023023023025,-23.52882343458594,33.626303926657094,14.5150991282254,7.570052885012458,-34.32651244283226,-15.768909657641828,-10.303984785118558,24.589196677515947,23.795459396089477,3.252231216839334,-36.02867762586054,9.962950799537408,11.012288926499744,-0.16484876597043024,34.44027563635197,-17.914761176548343,2.3137678719913493,6.125405445868192,20.365866234141237,-23.57762703077931,30.359665762981276,13.188893585381994,-38.24373154937822,-10.150094065891546,19.537640453271543,-10.126870774257778,-10.767694949900338,-1.8187251983660262,-9.68359120184567,-14.842440307794998,-33.079757900134794,8.78246862985141,29.574227678508205
0.72,0.024024024024024024,-23.528719524707075,33.626003688981605,14.516305966815654,7.57131598598408,-34.32937708214344,-15.769683982282542,-10.305602516862672,24.58964799823581,23.798089375485223,3.250041335733312,-36.02958941201734,9.96319095099861,11.01196726251875,-0.16487946721013666,34.44202376769904,-17.913621763961682,2.315426251536573,6.126343773002114,20.367331608331725,-23.577575491583378,30.360649503692766,13.190311457672092,-38.245951981239294,-10.150503383899931,19.538772317699017,-10.12790526472387,-10.765608216716537,-1.8205982149100879,-9.684234708811823,-14.845614854469812,-33.08177566089031,8.782670866052948,29.575892803808056
0.75,0.025025025025025023,-23.528547542457385,33.62560627173569,14.517529516615166,7.572615795647577,-34.33227981123654,-15.770452022655789,-10.307259312622886,24.590059470189612,23.800773654756295,3.247744088965355,-36.030446135097435,9.963416491275776,11.011599367749744,-0.16491256741284843,34.443758607067956,-17.912382764367514,2.3171549220236,6.127312163477901,20.368807473738162,-23.577459641731444,30.36159652667839,13.191756182658116,-38.24817606707995,-10.150904444303936,19.5399042582948,-10.128958160409168,-10.763405125395852,-1.8225569478493746,-9.684879948159796,-14.848888060443649,-33.083793378510606,8.782859884407491,29.57755064227
0.78,0.026026026026026026,-23.528307454602377,33.62511250844204,14.518769942549339,7.573952452102584,-34.33522098724377,-15.771213907553294,-10.308954573111674,24.590431600643974,23.803512354334497,3.2453389955431904,-36.031247919798865,9.963627497784715,11.011184762534356,-0.16494829482372825,34.4454800221439,-17.911043736494708,2.3189542976756283,6.128311241534026,20.37029389395693,-23.577279380445905,30.36250669813732,13.193227695101534,-38.250404429396944,-10.151297181572039,19.54103648069988,-10.130029480080383,-10.761086064073332,-1.8246026239672137,-9.685526839077315,-14.852259803743868,-33.08581104831462,8.783035838353502,29.579200830580085
0.8099999999999999,0.02702702702702703,-23.527999243879368,33.62452329817309,14.520027411944168,7.575326096975702,-34.33820097479466,-15.771969769741986,-10.31068767024941,24.590764911038285,23.80630558991233,3.2428255567322095,-36.031994909711806,9.963824049494741,11.010722948484702,-0.16498688907215459,34.447187863180616,-17.909604220688152,2.320824805096233,6.129341658246133,20.37179094557708,-23.577034596857786,30.363379875294896,13.194725928958393,-38.25263769896611,-10.151681517240226,19.542169203086047,-10.13111924340569,-10.758651445965834,-1.8267365276201548,-9.686175298501045,-14.855729952744147,-33.08782868063576,8.78319889444055,29.580842991256574
0.84,0.028028028028028028,-23.52762290882928,33.62383960537478,14.521302094502488,7.576736875444284,-34.34122014557829,-15.77271974611215,-10.31245794741524,24.59105993679834,23.809153472412167,3.2402032568878347,-36.032687267302265,9.964006226999137,11.010213408462983,-0.16502860131910696,34.4488819627776,-17.90806373933875,2.3227668833920077,6.130404092126552,20.373298718356363,-23.576725169957495,30.36421590627863,13.196250817403422,-38.2548765152345,-10.152057359731494,19.54330265656622,-10.132227470838446,-10.756101710143366,-1.8289600011802694,-9.68682524109554,-14.859298365834599,-33.08984630090952,8.783349232279589,29.58247673257537
0.87,0.029029029029029027,-23.52717846361312,33.623062459676575,14.522594162283145,7.578184936263965,-34.34427887788892,-15.773463977836562,-10.31426471971762,24.591317227136656,23.81205610795539,3.237471564347181,-36.03332517389447,9.964174112590253,11.00965560656382,-0.1650736944105097,34.45056213565331,-17.90642179735439,2.324780984295611,6.131499249751512,20.374817315402964,-23.57635096855534,30.365014629986465,13.197802292853256,-38.25712152672081,-10.152424604168274,19.5444370856228,-10.133354183497596,-10.753437322326997,-1.8312744454799146,-9.687476579232293,-14.862964891086225,-33.09186394976265,8.783487044489187,29.58410164849105
0.8999999999999999,0.03003003003003003,-23.526665937813288,33.6221929556856,14.52390378968307,7.579670431800348,-34.34737755615444,-15.774202610541055,-10.31610727428523,24.591537344839242,23.81501359783159,3.2346299323813654,-36.03390882965179,9.96432779033934,11.009048988099854,-0.16512244303687035,34.452228178414735,-17.904677882673216,2.326867572289015,6.132627866416425,20.37634685336274,-23.57591185125216,30.3657758759471,13.19938028698867,-38.2593733914245,-10.152783132177689,19.545572748554644,-10.134499403044718,-10.750658775712076,-1.8336813202569853,-9.68812922296949,-14.866729365910032,-33.09388168310363,8.783612536637358,29.585717318553545
