t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
24.27,0.8098098098098098,2.410790223677593,8.68799101758125,27.56138710874152,40.12550037767917,-16.472458740920686,21.25884494521083,2.4078187862282348,-16.465158243633237,14.99184646202371,-22.804034216339907,-29.05657101636811,-22.728756427876537,33.8683491031668,-35.37354870504783,-16.45284403788439,46.39924787877607,-22.772865283596435,-22.724370353567085,8.698902436827792
24.3,0.8108108108108109,2.4107781300936124,8.687966345431738,27.56135023827978,40.12547097689973,-16.472418625269263,21.25882765087407,2.4078010804659846,-16.46512792107377,14.991798755389443,-22.803918983270275,-29.05650858599426,-22.72877730624439,33.86828377419603,-35.37351552886091,-16.452836045385304,46.39922393843819,-22.772799105014492,-22.724383915104276,8.698856440827113
24.33,0.8118118118118118,2.4107659328654507,8.687941969812393,27.56131344618732,40.12544147863864,-16.4723788617036,21.258810419788034,2.4077834604487327,-16.465097943713374,14.991751354132347,-22.803804370543066,-29.056446492019067,-22.72879795661135,33.86821842470193,-35.37348137821615,-16.452828231572965,46.39920002370094,-22.77273333033457,-22.72439752531643,8.698810894433526
24.36,0.8128128128128128,2.410753634725093,8.687917886242838,27.5612767318164,40.12541188618982,-16.472339445136676,21.258793251511676,2.4077659254723245,-16.46506830597755,14.991704254269935,-22.80369037209605,-29.056384731057967,-22.728818382285397,33.868153058283376,-35.3734462730423,-16.452820593149518,46.39917613511687,-22.77266795523799,-22.724411182277997,8.698765791311857
24.39,0.8138138138138138,2.4107412383566205,8.687894090306209,27.561240094535666,40.12538220278849,-16.47230037055536,21.258776145607303,2.4077484748376583,-16.46503900237804,14.991657451877117,-22.80357698192965,-29.056323299763427,-22.728838586529278,33.86808767846733,-35.37341023295373,-16.45281312687069,46.399152273225525,-22.772602975453633,-22.724424884101566,8.698721125212202
24.419999999999998,0.8148148148148148,2.4107287463969063,8.687870577648383,27.561203533729817,40.12535243161199,-16.47226163301946,21.258759101640567,2.4077311078506978,-16.46501002751167,14.991610943085478,-22.803464194106468,-29.056262194824612,-22.728858572561013,33.86802228870997,-35.37337327725467,-16.45280582954505,46.39912843855369,-22.77253838675758,-22.724438628937243,8.698676889969015
24.45,0.8158158158158159,2.4107161614363095,8.687847343977223,27.561167048799238,40.12532257578065,-16.472223227660816,21.25874211918046,2.4077138238224824,-16.464981376059182,14.99156472408256,-22.803352002750845,-29.056201412967077,-22.72887834355439,33.86795689239776,-35.37333542494342,-16.452798698033245,46.399104631615586,-22.772474184972683,-22.724452414972056,8.698633079500187
24.48,0.8168168168168168,2.410703486019359,8.687824385061825,27.561130639159654,40.12529263835864,-16.472185149682353,21.258725197799325,2.407696622069139,-16.46495304278411,14.991518791111142,-22.803240402048374,-29.05614095095245,-22.72889790263945,33.867891492848514,-35.373296694716494,-16.45279172924729,46.39908085291309,-22.772410365968184,-22.72446624042937,8.698589687806132
24.509999999999998,0.8178178178178178,2.4106907226454277,8.68780169673177,27.56109430424179,40.12526262235474,-16.47214739435719,21.25870833707283,2.407679501911888,-16.46492502253165,14.99147314046854,-22.803129386245452,-29.056080805578105,-22.728917252902995,33.8678260933125,-35.37325710497275,-16.452784920149828,46.399057102935934,-22.772346925659317,-22.724480103568276,8.698546708968884
24.54,0.8188188188188188,2.410677873769403,8.687779274876384,27.561058043491045,40.1252325307232,-16.47210995702773,21.258691536579978,2.407662462677052,-16.464897310227535,14.991427768505899,-22.80301894964881,-29.05602097367686,-22.72893639738907,33.86776069697347,-35.37321667381745,-16.4527782677534,46.39903338216193,-22.77228386000692,-22.72449400268304,8.698504137151186
24.57,0.8198198198198198,2.4106649418023425,8.687757115444006,27.56102185636714,40.12520236636455,-16.472072833104768,21.2586747959031,2.4076455036960596,-16.464869900876945,14.991382671627498,-22.80290908662504,-29.05596145211664,-22.72895533909944,33.86769530694967,-35.37317541906627,-16.452771769119742,46.399009691057145,-22.772221165017026,-22.724507936102512,8.698461966595602
24.599999999999998,0.8208208208208209,2.41065192911213,8.687735214441261,27.56098574234382,40.125172132126345,-16.472036018066607,21.258658114627853,2.40762862430545,-16.46484278956341,14.99133784629007,-22.80279979160014,-29.05590223780019,-22.728974080994085,33.867629926294924,-35.37313335824928,-16.452765421359096,46.39898603007612,-22.772158836740488,-22.724521902189565,8.698420191623619
24.63,0.8218218218218218,2.4106388380241177,8.687713567932338,27.560949700908512,40.12514183080401,-16.47199950745818,21.25864149234319,2.4076118238468758,-16.464815971447724,14.991293289002112,-22.802691059059043,-29.055843327664732,-22.728992625991673,33.8675645579996,-35.373090508614865,-16.45275922162949,46.39896239966205,-22.772096871272577,-22.724535899340548,8.698378806634764
