t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
8.73,0.2912912912912913,-31.444935240929652,-43.952216082543885,25.03742931980662,11.717872512291972,-12.80498048348493,6.270793187850848,-6.555441202265284,12.412894700357214,-6.700138488005535,-0.567044444233293,24.761096665389257,-31.840819940131297,30.259088297721863,6.002677302459738,18.453252137896197
8.76,0.2922922922922923,-31.44987134957317,-43.961272890021114,25.036766434788966,11.722036123596537,-12.805692707910177,6.266866977642405,-6.555098671463413,12.40675049410423,-6.6989041884190375,-0.5645485715384696,24.763745740247167,-31.840247599931875,30.270800626027608,6.002735119349066,18.455462705281107
8.79,0.2932932932932933,-31.454759315974787,-43.97018037429831,25.036076192854424,11.726237270376327,-12.806417073037858,6.262962451362565,-6.554769749805669,12.400718875995612,-6.697692163776122,-0.5620752299730972,24.766344016494454,-31.8397056576979,30.282398913813726,6.002746593166446,18.457643492680024
8.82,0.29429429429429427,-31.45959942049551,-43.97894031188267,25.035359131143057,11.730473975157283,-12.807153112985645,6.259080207229275,-6.554454778808162,12.39480038143759,-6.696502160649461,-0.559624130928371,24.76889172293929,-31.839193260911944,30.293882064698032,6.002713460139534,18.45979447609754
8.85,0.2952952952952953,-31.464391944419763,-43.98755447422618,25.034615786662307,11.734744268514685,-12.807900363947319,6.255220827216498,-6.554154068158966,12.388995394279325,-6.695333917785867,-0.5571949996088387,24.77138910353581,-31.838709542003613,30.305249109277984,6.0026374220247325,18.461915640819036
8.879999999999999,0.2962962962962963,-31.469137169723005,-43.99602462674533,25.03384669627513,11.739046191062988,-12.80865836487392,6.251384876339167,-6.5538678967465795,12.383304152377617,-6.694187166927146,-0.5547875743065497,24.77383641714032,-31.83825362095158,30.316499202014253,6.002520145851085,18.464006981393386
8.91,0.2972972972972973,-31.473835378859206,-44.00435252794875,25.033052396669444,11.74337779538536,-12.809426658093916,6.247572902004487,-6.55359651368353,12.37772675331864,-6.693061633597471,-0.5524016057063676,24.77623393724886,-31.837824607787343,30.327631617893278,6.002363263736208,18.466068501600137
8.94,0.2982982982982983,-31.478486854567407,-44.012539928663415,25.032233424310153,11.747737147898867,-12.810204789876114,6.243785433429223,-6.553340139323836,12.372263160263978,-6.691957037857237,-0.5500368562215467,24.77858195171733,-31.8374216049974,30.338645748896248,6.002168372768911,18.468100214402078
8.969999999999999,0.29929929929929927,-31.48309187969666,-44.0205885713508,25.031390315375045,11.752122330651702,-12.810992310938998,6.240022981122263,-6.553098966273063,12.366913207889652,-6.69087309502347,-0.5476930993586534,24.780880762465383,-31.837043709821227,30.349541100301217,6.0019370349534755,18.470102141883967
9.0,0.3003003003003003,-31.487650737048554,-44.028500189504456,25.030523605675747,11.756531443049337,-12.81178877690994,6.236286036431479,-6.552873160389767,12.361676608388388,-6.6898095163569185,-0.5453701191108922,24.783130685165222,-31.836690016443182,30.36031728684427,6.001670777210825,18.472074315178283
9.03,0.3013013013013013,-31.492163709236582,-44.03627650712149,25.029633830564975,11.760962603506949,-12.812593748737621,6.232575071153683,-6.552662861777204,12.35655295750697,-6.688766009716083,-0.5430677093788842,24.78533204891647,-31.836359618076877,30.370974028764675,6.001371091432096,18.47401677437876
9.06,0.3023023023023023,-31.496631078561474,-44.043919238240484,25.028721524831244,11.765413951025893,-12.81340679306084,6.228890537206222,-6.552468185764207,12.35154174059228,-6.687742280178494,-0.5407856734179367,24.787485195908218,-31.836051608941286,30.381511147757813,6.001039434580379,18.47592956844251
