t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35
11.969999999999999,0.3993993993993994,39.01774206722277,1.281133044615848,-17.699232040647853,-17.571891381439272,7.5652111703711205,1.2343455846819955,-23.86675637503723,39.07219022313842,32.728424865989886,-23.86251890069545,-17.588407847081545,-17.56060905734252,32.71420554291386,1.2910004295307218,7.579194423773044,-4.980793373110258,38.97500209489662,-30.143666043995626,45.27190362679165,-11.321695693954126,-11.322611295445427,-4.987186770189659,-17.59064987412057,1.2672621129088528,-23.83679638833041,20.115506479380095,-23.842794514120385,7.610907005309093,20.1670867529537,-11.508226631542009,-11.227017309909908,20.16595812829079,13.859204457392918,-11.277128069409327,-17.556166123457718,-30.155990879260674
12.0,0.40040040040040037,39.017144244312135,1.281172273345887,-17.695902195351362,-17.572064719323535,7.56529282967122,1.2352510480260441,-23.86750242043343,39.07070469143318,32.72782086175095,-23.862810545808607,-17.588726679890566,-17.561183601851454,32.713859836319386,1.2903788600692137,7.5789675078175796,-4.981674228279177,38.97534979953667,-30.14420681068159,45.27246444767464,-11.321140707623643,-11.32165363825094,-4.987614733436526,-17.59049967307855,1.2678118081517973,-23.837397318083195,20.116563950520234,-23.843593166724833,7.6098740541805325,20.166372829598128,-11.501094255894074,-11.228866730155154,20.165209648437738,13.858803936771825,-11.277923155229793,-17.5567988424851,-30.156249763964215
12.03,0.4014014014014014,39.016564845936614,1.2812156448625605,-17.692651409086086,-17.5722331394016,7.565371894195426,1.2361462270441794,-23.86822565712392,39.069261448956084,32.72723022926521,-23.863091635239446,-17.589029069448365,-17.56174794229321,32.71352791913209,1.289777365082029,7.57874717929986,-4.982535274428815,38.975697959501744,-30.14472845871629,45.27302017334841,-11.320600440157635,-11.320718355721796,-4.988045350412875,-17.59035104407708,1.2683458682493012,-23.837979100989852,20.117605124823616,-23.844364813838933,7.6088591326250405,20.165673189595918,-11.494215286099225,-11.23068047147704,20.164475743866106,13.858419929682011,-11.278697168329629,-17.55741376501761,-30.156492052535366
12.059999999999999,0.4024024024024024,39.01600330930366,1.2812627973290087,-17.689478665485044,-17.572396593477087,7.565448625846446,1.237030954277582,-23.868926678828736,39.06785927380909,32.72665270071807,-23.863362574524846,-17.58931558757342,-17.562301959731847,32.71320921917517,1.2891953686696895,7.5785332750153005,-4.983376732524119,38.97604624537855,-30.14523150150492,45.273570433743956,-11.32007489322407,-11.319805294311642,-4.98847797256391,-17.590204201738498,1.2688643185321442,-23.838542312846318,20.118630104475965,-23.84511023491352,7.607862290092015,20.164987604603038,-11.487580913393696,-11.232459050942301,20.16375637608019,13.858051902072491,-11.279450613603938,-17.558011179303424,-30.15671839755961
12.09,0.4034034034034034,39.01545908426527,1.2813133891258577,-17.68638290337272,-17.572555050109546,7.565523266876135,1.2379050712131625,-23.86960606860976,39.06649697469807,32.72608801225076,-23.86362375207882,-17.58958679502842,-17.562845556302754,32.71290318628843,1.2886323064807794,7.57832562986896,-4.984198835573744,38.97639433745557,-30.145716444807523,45.27411487876743,-11.31956401973984,-11.318914263130454,-4.98891198521899,-17.590059344310678,1.269367229298079,-23.839087516468524,20.11963899302456,-23.84583019344694,7.606883553261428,20.16431584875677,-11.481182618349289,-11.234202984634567,20.16305148827162,13.857699329149549,-11.280183986846586,-17.558591383268276,-30.156929436683566
12.12,0.4044044044044044,39.01493163355188,1.281367098079095,-17.68336302192805,-17.572708493265488,7.5655960408170735,1.2387684286828213,-23.87026439849725,39.06517339059081,32.72553590407585,-23.863875539697048,-17.589843241066053,-17.56337865414485,32.71260929177632,1.2880876260029246,7.578124077627315,-4.985001827399219,38.976741926192744,-30.146183786470086,45.274653178408435,-11.319067729402946,-11.318045038323831,-4.98934680652649,-17.58991665388366,1.2698547107730838,-23.8396152615134,20.12063189559193,-23.84652543679429,7.6059229271239195,20.16365769870628,-11.475012163127467,-11.235912787350665,20.162361006655765,13.857361695799813,-11.280897774477094,-17.55915468331286,-30.15712579220389
12.15,0.40540540540540543,39.01442043293856,1.2814236206776006,-17.680417885528556,-17.572856921038507,7.565667153396632,1.2396208871901735,-23.870902229188502,39.0638873903387,32.72499612056098,-23.864118293087863,-17.59008546304964,-17.563901194353473,32.71232702782704,1.2875607867869663,7.577928451592708,-4.985785961468708,38.977088712613565,-30.146634016191076,45.27518502274656,-11.318585893785016,-11.317197367094963,-4.989781886395414,-17.589776296685912,1.2703269084731583,-23.840126084359344,20.12160891905042,-23.847196696035184,7.604980396050303,20.16301293362838,-11.469061583709337,-11.23758897230326,20.161684841754642,13.857038496951745,-11.281592453328363,-17.559701393165422,-30.15730807073816
12.18,0.4064064064064064,39.013924971349695,1.2814826712868777,-17.677546328287548,-17.573000344437453,7.565736793431667,1.2404623171697458,-23.871520109812327,39.062637872266386,32.72446841028523,-23.864352352422564,-17.59031398614273,-17.56441313595605,32.712055906909654,1.2870512606105213,7.577738585206236,-4.98655149979446,38.97743440862475,-30.14706761532073,45.27571012186662,-11.318118351008678,-11.316370971391299,-4.990216705445794,-17.58963842344868,1.270783998943028,-23.840620508040303,20.12257017216135,-23.84784468589449,7.604055924847635,20.162381335231046,-11.463323182139579,-11.239232050831152,20.1610228896259,13.856729237880042,-11.282268490489434,-17.56023183279023,-30.15747686297146
12.209999999999999,0.4074074074074074,39.01344475090853,1.281543981364652,-17.674747158296622,-17.57313878624125,7.565805133702238,1.2412925991835224,-23.872118577753277,39.061423763733394,32.72395252607179,-23.86457804289883,-17.59052932306199,-17.564914454912312,32.71179546115554,1.2865585315867543,7.577554312584553,-4.987298711892786,38.97777873726883,-30.14748505669058,45.27622820569264,-11.317664910034253,-11.315565551277455,-4.990650773969731,-17.589503169827736,1.2712261858485416,-23.84109904222793,20.123515765682413,-23.84847010471103,7.603149459799322,20.161762687746837,-11.45778951881646,-11.240842532118359,20.160375033037713,13.856433434457319,-11.282926343197833,-17.560746327352025,-30.157632743472718
12.24,0.4084084084084084,39.01297928693718,1.2816072986832274,-17.672019161586174,-17.573272279918786,7.5658723318030034,1.2421116240595653,-23.87269815853006,39.06024402067145,32.72344822500049,-23.86479567531169,-17.590731973888115,-17.56540514314063,32.711545241729546,1.2860820962238275,7.577375468995741,-4.98802787380513,38.97812143291449,-30.147886804470904,45.27673902374992,-11.317225354579824,-11.314780788015227,-4.991083630904707,-17.58937065687292,1.2716536964001528,-23.841562183256737,20.12444581244659,-23.84907363444936,7.602260929687021,20.161156777918258,-11.452453404854882,-11.242420922922928,20.1597411425898,13.856150613357112,-11.283566458776402,-17.561245206236432,-30.157776270575056
