t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
23.009999999999998,0.7677677677677678,-21.50581125819637,-2.652351724713605,9.921747785960662,-21.514187231990512,35.075939615669085,-34.080619286058756,9.917898991215221,-21.506294969657386,-2.6454863001100337,-8.937244385041463,-8.942904398534473,35.07340865643236,-21.50389258277159,22.498317427053607,9.915767098757213,16.209592202612,-34.07818188447137,-34.08483848802926,-27.790601875624777,22.48851352870949,35.05083849931331,9.914630653791344,-34.082049776559245,-40.366851353038136,9.912123348571756,22.496047096378586,28.770413323978815,35.0590486091862,3.6335407764153294,9.919718214826794
23.04,0.7687687687687688,-21.50580365403383,-2.6523490721127416,9.9217398516323,-21.514168147760248,35.075902629787635,-34.08060031499488,9.917896289601538,-21.506286812151863,-2.6454932405899214,-8.937239537502661,-8.942891852760837,35.073375258391295,-21.503887719604542,22.498295641681338,9.915767449031472,16.20957800743856,-34.07816654555521,-34.08481384187398,-27.790592123317673,22.48850528559619,35.05083592192493,9.914632370828686,-34.08202886513875,-40.36682837204914,9.912128580809766,22.496028468377084,28.770406802990404,35.05903494585354,3.6335396672751825,9.919713242301166
23.07,0.7697697697697697,-21.50579607013238,-2.6523464275332027,9.921731939105408,-21.514149116127886,35.07586574602717,-34.08058139536266,9.917893595255968,-21.50627867600333,-2.645500161288024,-8.93723470354,-8.942879341979449,35.07334195182132,-21.503882868500657,22.49827391659403,9.915767797401942,16.20956385116579,-34.078151246568595,-34.08478926264509,-27.790582397102863,22.488497064166406,35.05083334977939,9.914634082952412,-34.082008010521314,-40.36680545305895,9.912133797891702,22.496009891587207,28.770400299035426,35.05902131824746,3.6335385609542272,9.91970828245334
23.099999999999998,0.7707707707707707,-21.50578850641038,-2.652343790936666,9.921724048288207,-21.514130136870975,35.07582896395519,-34.08056252694971,9.917890908148596,-21.506270561127934,-2.645507062291548,-8.937229883094702,-8.942866866039955,35.07330873633995,-21.50387802941679,22.49825225153528,9.915768143882127,16.209549733630613,-34.078135987356866,-34.08476475006586,-27.790572696874573,22.488488864334613,35.050830782865226,9.914635790184052,-34.081987212471745,-40.366782595813575,9.912138999885785,22.495991365792978,28.77039381204715,35.05900772622836,3.6335374574420056,9.91970333523594
23.13,0.7717717717717718,-21.505780962786627,-2.6523411622850697,9.921716179089445,-21.514111209768355,35.0757922831417,-34.080543709544884,9.917888228249678,-21.506262467442262,-2.645513943687172,-8.937225076108342,-8.94285442479289,35.07327561156689,-21.503873202309983,22.498230646250192,9.915768488485416,16.209535654670887,-34.07812076776614,-34.08474030386111,-27.790563022527607,22.48848068601573,35.05082822117097,9.914637492545006,-34.0819664707562,-40.36675980006043,9.912144186859813,22.495972890779672,28.770387341959193,35.05899416965736,3.633536356728106,9.919698400601806
23.16,0.7727727727727728,-21.50577343918037,-2.652338541540608,9.921708331418397,-21.51409233460015,35.07575570315922,-34.080524942938176,9.917885555529644,-21.50625439486334,-2.6455208055610493,-8.937220282522848,-8.94284201808967,35.07324257712397,-21.50386838713747,22.498209100485354,9.915768831225073,16.209521614125396,-34.078105587643314,-34.084715923757216,-27.790553373957344,22.488472529125122,35.05082566468512,9.914639190056556,-34.08194578514214,-40.36673706554831,9.912149358881154,22.49595446633381,28.77038088870552,35.0589806483963,3.633535258802164,9.919693478504005
23.189999999999998,0.7737737737737738,-21.50576593551129,-2.652335928665731,9.92170050518486,-21.514073511147753,35.07571922358271,-34.08050622692078,9.917882889959087,-21.50624634330863,-2.6455276479988132,-8.93721550228049,-8.942829645782595,35.07320963263518,-21.503863583856667,22.498187613988836,9.915769172114254,16.209507611833846,-34.07809044683607,-34.084691609482064,-27.790543751059737,22.488464393578592,35.05082311339619,9.914640882739857,-34.08192515539833,-40.36671439202741,9.912154516016761,22.495936092243145,28.770374452220448,35.05896716230772,3.6335341636538616,9.91968856889582
23.22,0.7747747747747747,-21.505758451699496,-2.6523333236231394,9.92169270029915,-21.51405473919382,35.075682843989604,-34.080487561285054,9.917880231508768,-21.506238312696023,-2.6455344710855813,-8.937210735323886,-8.942817307724827,35.07317677772661,-21.503858792425177,22.498166186510176,9.915769511166,16.209493647636855,-34.07807534519284,-34.084667360765074,-27.7905341537313,22.488456279292386,35.05082056729267,9.914642570615941,-34.081904581294836,-40.3666917792493,9.91215965833317,22.49591776829666,28.770368032438626,35.058953711254865,3.633533071272927,9.919683671730759
23.25,0.7757757757757757,-21.505750987665532,-2.6523307263757854,9.921684916672096,-21.51403601852227,35.075646563959765,-34.08046894582449,9.917877580149616,-21.506230302943845,-2.6455412749059586,-8.937205981595993,-8.942805003770394,35.073144012026475,-21.503854012800794,22.498144817800366,9.915769848393234,16.209479721375946,-34.07806028256283,-34.08464317733716,-27.79052458186912,22.48844818618318,35.05081802636303,9.914644253705717,-34.08188406260301,-40.36666922696692,9.912164785896506,22.495899494284547,28.770361629295042,35.0589402951017,3.633531981649136,9.919678786962548
23.279999999999998,0.7767767767767768,-21.505743543330375,-2.652328136886868,9.921677154215033,-21.514017348918248,35.07561038307548,-34.08045038033375,9.917874935852723,-21.50622231397084,-2.645548059544042,-8.937201241040107,-8.94279273377418,35.07311133516509,-21.50384924494149,22.498123507611844,9.915770183808773,16.209465832893546,-34.07804525879599,-34.08461905893075,-27.790515035370834,22.488440114168085,35.05081549059576,9.914645932029977,-34.08186359909548,-40.36664673493456,9.912169898772481,22.495881269998204,28.77035524272503,35.05892691371287,3.633530894772309,9.919673914545129
23.31,0.7777777777777778,-21.505736118615424,-2.652325555119831,9.921669412839808,-21.513998730168147,35.07557430092143,-34.08043186460863,9.917872298589343,-21.50621434569619,-2.645554825083424,-8.937196513599861,-8.942780497591919,35.07307874677482,-21.503844488805434,22.498102255698484,9.915770517425317,16.20945198203297,-34.07803027374303,-34.08459500527974,-27.790505514134637,22.48843206316464,35.050812959979304,9.914647605609389,-34.08184319054614,-40.36662430290787,9.912174997026405,22.49586309523023,28.770348872664258,35.058913566953706,3.633529810632314,9.919669054432662
