t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
15.6,0.5205205205205206,6.17488261797046,-31.819487099365965,-12.823591929394212,5.934669166866583,-6.636340728767264,-0.20294888347475112,-37.775354387174495,-25.566292478424906,-25.489688267994683,24.894909715191435,-6.540726570463624,-0.25065634920939855,18.53498285583891,18.421183477122938,12.869863877090872,18.617036827206388,25.15083869836445,18.675454046718738,-19.097821312782536,18.611886506466067
15.629999999999999,0.5215215215215215,6.172970391554129,-31.818077579807976,-12.823973693224941,5.936208003160901,-6.635757859131386,-0.2033855953195223,-37.7790653689756,-25.564776763196345,-25.48821174514432,24.895709643907846,-6.5405808415345295,-0.25019001292895365,18.536149847877137,18.424444982222674,12.866275788392102,18.616870389746257,25.14923567260381,18.674480551009445,-19.098129674662424,18.612603645236693
15.66,0.5225225225225225,6.17109099200002,-31.816678422489968,-12.824341686765198,5.937728404386966,-6.635174132654296,-0.20381289387850793,-37.7827366543102,-25.563271033955022,-25.486752595582573,24.896491853072355,-6.540433915895234,-0.24972959253376184,18.53730256556677,18.42765629997573,12.862709055101028,18.61671156462709,25.147645762666166,18.673520651329607,-19.098428732336323,18.613302293460343
15.69,0.5235235235235235,6.1692439015457765,-31.81528968000684,-12.824696224621478,5.939230547113141,-6.634589592165054,-0.2042309692808025,-37.7863684757691,-25.56177532104591,-25.48531069902512,24.89725674794238,-6.540285872850312,-0.24927505088451468,18.538441141600707,18.430818222678894,12.859163684844331,18.616560124618182,25.14606882687089,18.672574196268325,-19.098718685282865,18.613982959234367
15.719999999999999,0.5245245245245245,6.167428609228536,-31.813911400206905,-12.825037616615052,5.940714608188584,-6.634004282777811,-0.20464000790768302,-37.78996106757444,-25.560289651895634,-25.483885931620986,24.8980047246899,-6.540136788980911,-0.2488263498369843,18.539565709264778,18.433931528756528,12.855639682050455,18.616415848819265,25.144504726171167,18.671641035406353,-19.09899972974471,18.614646136370535
15.75,0.5255255255255256,6.165644610840412,-31.812543626307694,-12.825366167761663,5.9421807646119325,-6.6334182517333655,-0.20504019247515026,-37.79351466551161,-25.55881405108736,-25.482478166227413,24.898736170574203,-6.539986738235188,-0.24838345030492415,18.540676402343788,18.436996983072277,12.852137048016779,18.6162785224855,25.142953324106333,18.670721019324976,-19.099272058746816,18.615292304799972
15.78,0.5265265265265265,6.163891408882387,-31.811186397011422,-12.825682178256994,5.943629193408419,-6.632831548246356,-0.20543170211424547,-37.797029506862124,-25.557348540434443,-25.481087272671324,24.899451464112918,-6.539835792015647,-0.24794631232037087,18.541773355031495,18.440015337231088,12.848655780976218,18.616147936856848,25.141414486753682,18.669813999614544,-19.099535862116117,18.615921930966437
15.809999999999999,0.5275275275275275,6.162168512516721,-31.809839746620035,-12.825985943467597,5.94506007151497,-6.632244223357943,-0.20581471244920257,-37.800505830337215,-25.55589313905281,-25.479713117997964,24.900150975251353,-6.539684019263469,-0.24751489509144445,18.542856701844396,18.44298732987187,12.845195876163254,18.616023888991737,25.139888082679814,18.668919828882682,-19.099791326502487,18.61653546820836
15.84,0.5285285285285285,6.160475437517975,-31.8085037051497,-12.826277753926975,5.946473575672868,-6.631656329793848,-0.20618939567349528,-37.80394387601231,-25.554447863432063,-25.47835556670727,24.900835065530053,-6.539531486539945,-0.24708915705774473,18.54392657753924,18.445913686951144,12.841757325879348,18.615906181605023,25.138373982891654,18.668038360762125,-19.100038635400985,18.6171333571299
15.87,0.5295295295295295,6.158811706222744,-31.8071782984446,-12.826557895336546,5.947869882327554,-6.631067921827618,-0.20655592062383493,-37.80734388526234,-25.553012727505315,-25.477014480978525,24.9015040882505,-6.539378258105095,-0.24666905594343805,18.544983117034096,18.448795122018062,12.838340119557703,18.61579462291011,25.136872060787244,18.667169449918184,-19.100277969175252,18.617716025961354
15.899999999999999,0.5305305305305306,6.157176847478198,-31.80586354828998,-12.826826648571188,5.949249167535203,-6.630479055148981,-0.2069144528521783,-37.81070610069787,-25.55158774271771,-25.47568972088381,24.902158388638924,-6.539224395993574,-0.24625454880812092,18.546026455332957,18.451632336481044,12.834944243827382,18.615689026465233,25.13538219210641,18.66631295205586,-19.100509505082027,18.61828389090922
15.93,0.5315315315315315,6.1555703965894955,-31.804559472524293,-12.827084289689136,5.950611606875681,-6.62988978673716,-0.20726515469580262,-37.81403076610211,-25.550172918093676,-25.47438114459074,24.902798304008158,-6.53906996008796,-0.24584559209555257,18.547056727453654,18.454426019866396,12.831569682576719,18.615589211023817,25.133904254881372,18.665468723926566,-19.100733417296684,18.618837356496236
15.959999999999999,0.5325325325325325,6.1539918952661905,-31.803266085150383,-12.827331089945938,5.9519573753715544,-6.62930017473902,-0.20760818534550252,-37.81731812636875,-25.54876826030286,-25.473088608554953,24.903424163917535,-6.538915008189503,-0.24544214168033676,18.548074068359092,18.45717685006921,12.828216417016039,18.615495000388822,25.132438129387424,18.664636623334456,-19.100949876939755,18.619376815891652
