Time,mean_NED,lower_NED,upper_NED,mean_NED_ab,lower_NED_ab,upper_NED_ab,mean_NED_t,lower_NED_t,upper_NED_t
0.42,8.960755146302475e-08,-3.219281805996828e-08,2.114079209860178e-07,0.0018776594289750268,0.0016394432835203972,0.0021158755744296563,0.0012323946735878426,0.001001375282025597,0.0014634140651500881
0.43,9.074490877914971e-08,-3.2600807950081497e-08,2.1409062550838091e-07,0.0018974887902756495,0.0016567172061072184,0.0021382603744440807,0.0012604953584081629,0.0010186222438145222,0.0015023684730018035
0.44,9.185958462078141e-08,-3.300015358533357e-08,2.167193228268964e-07,0.0019168525708840212,0.0016735820979044823,0.00216012304386356,0.0012895777184098994,0.0010358948236197172,0.0015432606132000815
0.45,9.295229879852593e-08,-3.339110688507944e-08,2.192957044821313e-07,0.0019357690054639723,0.00169005395696372,0.0021814840539642246,0.0013197506068790238,0.001053181705054235,0.0015863195087038125
0.46,9.40237454868313e-08,-3.3773911860717377e-08,2.2182140283437998e-07,0.001954255493340344,0.001706148050872929,0.0022023629358077592,0.0013511342511014616,0.001070467165716504,0.0016318013364864192
0.47000000000000003,9.507459419703038e-08,-3.4148804928801326e-08,2.2429799332286208e-07,0.001972328642611226,0.0017218789550543336,0.002222778330168119,0.0013838620073652918,0.001087730434159576,0.0016799935805710076
0.48,9.61054907073049e-08,-3.451601521338137e-08,2.2672699662799115e-07,0.001990004311675737,0.0017372605888444324,0.0022427480345070415,0.0014180824327454061,0.0011049449030844805,0.0017312199624063317
0.49,9.711705795140774e-08,-3.487576483964766e-08,2.2910988074246314e-07,0.0020072976483436465,0.0017523062494970846,0.0022622890471902086,0.001453961745598721,0.0011220771581182663,0.0017858463330791756
0.5,9.81098968737313e-08,-3.522826921210286e-08,2.3144806295956544e-07,0.002024223126681728,0.0017670286442409366,0.0022814176091225193,0.0014916867656955058,0.0011390857695521193,0.0018442877618388923
0.51,9.908458724656126e-08,-3.557373728429268e-08,2.337429117774152e-07,0.002040794581741161,0.0017814399205137554,0.0023001492429685667,0.0015314684496249204,0.0011559197789684174,0.0019070171202814235
