Time,mean_NED,lower_NED,upper_NED,mean_NED_p,lower_NED_p,upper_NED_p,mean_NED_t,lower_NED_t,upper_NED_t
5.15,0.01876106725675824,0.017215311898923093,0.020306822614593385,0.021815134630003164,0.020003608259483087,0.02362666100052324,0.017200214457568162,0.015894761948613348,0.018505666966522977
5.16,0.018761302573811266,0.017213111349627674,0.02030949379799486,0.02183735299859259,0.020025533645233736,0.023649172351951447,0.017226541455063568,0.015920872422796196,0.01853221048733094
5.17,0.018761533523050683,0.017210910210669218,0.02031215683543215,0.02185951511969799,0.02004740132094699,0.02367162891844899,0.01725282033937465,0.015946936061305216,0.01855870461744408
5.18,0.01876176002551443,0.0172087083805373,0.02031481167049156,0.021881620457510378,0.020069210850274164,0.02369403006474659,0.017279051134140296,0.01597295285215006,0.01858514941613053
5.19,0.018761982007693172,0.017206505763663255,0.02031745825172309,0.021903668541613394,0.020090961857155507,0.02371637522607128,0.017305233864025472,0.01599892278509885,0.018611544942952096
5.2,0.018762199401527978,0.017204302270416298,0.020320096532639657,0.021925658960035257,0.02011265401952776,0.023738663900542755,0.01733136855476852,0.016024845851716322,0.018637891257820716
5.21,0.01876241214439733,0.01720209781708846,0.0203227264717062,0.02194759135291273,0.020134287063578782,0.023760895642246677,0.017357455233225082,0.016050722045398636,0.01866418842105153
5.22,0.018762620179093924,0.0171998923258687,0.020325348032319147,0.021969465406775197,0.0201558607585562,0.023783070054994193,0.017383493927409076,0.016076551361405185,0.018690436493412968
5.23,0.01876282345379116,0.017197685724806375,0.020327961182775942,0.021991280849435177,0.02017737491211728,0.023805186786753075,0.017409484666530774,0.01610233379688757,0.01871663553617398
5.24,0.018763021921999558,0.017195477947764205,0.02033056589623491,0.022013037445459203,0.020198829366196207,0.0238272455247222,0.017435427481031926,0.016128069350915663,0.01874278561114819
5.25,0.018763215542513402,0.017193268934361187,0.020333162150665617,0.022034734992182992,0.02022022399335607,0.023849245991009915,0.01746132240261826,0.016153758024501103,0.018768886780735416
5.26,0.01876340427934774,0.017191058629905682,0.0203357499287898,0.022056373316229602,0.02024155869358812,0.023871187938871084,0.017487169464289253,0.016179399820618147,0.01879493910796036
5.2700000000000005,0.01876358810166575,0.017188846985318654,0.020338329218012846,0.022077952270486347,0.02026283339151853,0.023893071149454163,0.017512968700365367,0.016204994744222052,0.01882094265650868
5.28,0.018763766983697208,0.01718663395704799,0.020340900010346427,0.0220994717314948,0.02028404803398156,0.023914895429008043,0.01753872014651282,0.016230542802265147,0.018846897490760493
5.29,0.0187639409046479,0.017184419506973657,0.020343462302322146,0.022120931597208116,0.02030520258791816,0.023936660606498072,0.01756442383976605,0.016256044003710623,0.01887280367582148
5.3,0.01876410984860054,0.01718220360230447,0.020346016094896613,0.022142331785070593,0.020326297038559798,0.02395836653158139,0.017590079818547873,0.016281498359544178,0.01889866127755157
5.3100000000000005,0.01876427380440728,0.017179986215466465,0.02034856139334809,0.022163672230375697,0.020347331387858488,0.023980013072892905,0.01761568812268751,0.016306905882783638,0.018924470362591383
5.32,0.018764432765574515,0.017177767323983743,0.020351098207165286,0.022184952884859794,0.020368305653125154,0.024001600116594433,0.01764124879343646,0.016332266588486483,0.018950230998386438
5.33,0.018764586730140077,0.017175546910351815,0.02035362654992834,0.022206173715491256,0.020389219865840646,0.024023127565141866,0.017666761873482574,0.016357580493755748,0.0189759432532094
5.34,0.018764735700543277,0.017173324961904074,0.02035614643918248,0.022227334703416143,0.02041007407060524,0.024044595336227045,0.017692227406962056,0.016382847617743893,0.019001607196180218
5.3500000000000005,0.018764879683488334,0.017171101470671826,0.02035865789630484,0.022248435843024484,0.02043086832419497,0.024066003361853997,0.017717645439469826,0.016408067981655165,0.019027222897284486
5.36,0.01876501868980167,0.017168876433238486,0.02036116094636485,0.022269477141103975,0.02045160269469579,0.02408735158751216,0.017743016018068068,0.016433241608746246,0.01905279042738989
5.37,0.018765152734283305,0.017166649850588144,0.020363655617978465,0.02229045861605132,0.020472277260689477,0.024108639971413163,0.017768339191293295,0.016458368524325452,0.019078309858261137
5.38,0.018765281835553305,0.017164421727949505,0.020366141943157105,0.022311380297115657,0.02049289211046914,0.024129868483762175,0.017793615009161694,0.016483448755750356,0.019103781262573033
5.39,0.01876540601589334,0.0171621920746352,0.02036861995715148,0.022332242223652446,0.020513447341265447,0.024151037106039445,0.01781884352317332,0.016508482332424284,0.01912920471392236
5.4,0.018765525301084326,0.017159960903877544,0.020371089698291107,0.02235304444437158,0.020533943058469676,0.024172145830273484,0.017844024786314597,0.016533469285791177,0.019154580286838016
5.41,0.01876563972024042,0.01715772823266091,0.02037355120781993,0.022373787016567878,0.02055437937484337,0.024193194658292387,0.01786915885305981,0.016558409649329548,0.01917990805679007
5.42,0.018765749305640154,0.017155494081551533,0.020376004529728774,0.022394470005327297,0.020574756409708992,0.024214183600945603,0.017894245779371227,0.016583303458545025,0.019205188100197428
5.43,0.018765854092555215,0.017153258474525257,0.020378449710585174,0.02241509348270636,0.020595074288119655,0.02423511267729307,0.017919285622698188,0.01660815075096198,0.019230420494434398
