Time,mean_smape,lower_smape,upper_smape,mean_smape_ab,lower_smape_ab,upper_smape_ab,mean_smape_t,lower_smape_t,upper_smape_t,mean_smape_AIC,lower_smape_AIC,upper_smape_AIC
2.24,1.3995519275463524e-08,1.198543253717763e-08,1.600560601374942e-08,0.3018475498191349,0.2539347799805105,0.34976031965775933,0.6495653949687404,0.572444765620381,0.7266860243170998,9.190914420363824e-09,7.897378276419047e-09,1.04844505643086e-08
2.25,1.3983446333661482e-08,1.1975392976641712e-08,1.599149969068125e-08,0.30180311606966803,0.2538939877344351,0.34971224440490095,0.6495577596740292,0.5724379627135966,0.7266775566344618,9.18316590227342e-09,7.890829148381363e-09,1.0475502656165477e-08
2.2600000000000002,1.397141140479041e-08,1.196538518852022e-08,1.59774376210606e-08,0.30175862184301055,0.25385313732680165,0.34966410635921946,0.6495501404081971,0.5724311740316917,0.7266691067847025,9.175441940089239e-09,7.884300783680363e-09,1.0466583096498114e-08
2.27,1.3959414337139656e-08,1.1955409046753259e-08,1.5963419627526053e-08,0.30171406720081034,0.2538122288109709,0.3496159055906498,0.6495425371664427,0.5724243995707404,0.726660674762145,9.167742421393053e-09,7.87779308267326e-09,1.0457691760112846e-08
2.2800000000000002,1.3947454988370916e-08,1.1945464431337343e-08,1.5949445545404487e-08,0.30166945220404745,0.2537712622396884,0.3495676421684065,0.6495349499439935,0.5724176393268416,0.7266522605611454,9.160067270156479e-09,7.871305985056707e-09,1.044882855525625e-08
2.29,1.393553323066018e-08,1.1935551238067387e-08,1.5935515223252976e-08,0.30162477691303624,0.25373023766508634,0.34951931616098614,0.6495273787361023,0.572410893296116,0.7266438641760886,9.152416390861507e-09,7.864839408697537e-09,1.0439993373025477e-08
2.3000000000000003,1.3923648909269508e-08,1.1925669336728828e-08,1.592162848181019e-08,0.3015800413874254,0.2536891551386836,0.34947092763616716,0.6495198235380535,0.5724041614747115,0.7266354856013955,9.144789692631072e-09,7.858393277002426e-09,1.0431186108259718e-08
2.31,1.3911801889872042e-08,1.1915818613884689e-08,1.5907785165859398e-08,0.30153524568620094,0.2536480147113884,0.34942247666101345,0.6495122843451567,0.5723974438587978,0.7266271248315157,9.137187085960533e-09,7.851967513957587e-09,1.0422406657963478e-08
2.32,1.389999203251094e-08,1.1905998954095162e-08,1.589398511092672e-08,0.3014903898676856,0.2536068164334974,0.3493739633018738,0.6495047611527499,0.5723907404445685,0.7266187818609313,9.129608480901727e-09,7.845562044805138e-09,1.0413654916998316e-08
2.33,1.3888219198585699e-08,1.189621024184145e-08,1.5880228155329948e-08,0.3014454739895413,0.2535655603546983,0.3493253876243843,0.6494972539562005,0.5723840512282435,0.7266104566841575,9.12205378281165e-09,7.839176787824995e-09,1.0404930777798304e-08
2.34,1.3876483258410542e-08,1.1886452369543417e-08,1.5866514147277665e-08,0.3014004981087702,0.2535242465240704,0.34927674969346995,0.6494897627509003,0.5723773762060625,0.7266021492957381,9.114522916039182e-09,7.832811682068844e-09,1.039623415000952e-08
2.35,1.3864784059897787e-08,1.1876725209145515e-08,1.585284291065006e-08,0.30135546228171534,0.2534828749900855,0.3492280495733452,0.6494822875322719,0.5723707153742925,0.7265938596902513,9.107015782718195e-09,7.826466642755384e-09,1.0387564922681007e-08
2.36,1.385312148157117e-08,1.1867028659557622e-08,1.5839214303584717e-08,0.3013103665640621,0.2534414458006086,0.34917928732751563,0.6494748282957634,0.5723640687292222,0.7265855878623046,9.099532293986693e-09,7.820141594225975e-09,1.0378922993747411e-08
2.37,1.3841495385892428e-08,1.1857362607075163e-08,1.5825628164709695e-08,0.30126521101083925,0.25339995900289936,0.34913046301877915,0.649467385036854,0.5723574362671671,0.7265773338065409,9.09207237348631e-09,7.813836474276525e-09,1.0370308272696095e-08
2.38,1.3829905634076e-08,1.1847726935600056e-08,1.5812084332551944e-08,0.30121999567642016,0.25335841464361264,0.3490815767092277,0.6494599577510476,0.572350817984464,0.7265690975176312,9.084635922905718e-09,7.807551199460541e-09,1.0361720646350894e-08
2.39,1.3818352100183096e-08,1.1838121540107121e-08,1.579858266025907e-08,0.30117472061452377,0.2533168127687998,0.34903262846024774,0.6494525464338758,0.5723442138774734,0.7265608789902783,9.077222867941633e-09,7.8012857057743e-09,1.0353160030108967e-08
2.4,1.3806834640611184e-08,1.1828546299456071e-08,1.5785122981766297e-08,0.3011293858782158,0.25327515342390927,0.34898361833252234,0.6494451510808993,0.5723376239425807,0.7265526782192179,9.069833113862868e-09,7.795039914647978e-09,1.0344626313077758e-08
2.41,1.3795353133750336e-08,1.1819001113419454e-08,1.5771705154081218e-08,0.30108149803841366,0.25323129214021156,0.34893170393661577,0.6494377716877053,0.5723310481761946,0.726544495199216,9.062466572076758e-09,7.788813750072609e-09,1.0336119394080908e-08
2.42,1.3783907443211422e-08,1.1809485869566976e-08,1.575832901685587e-08,0.30103290923033293,0.25318682157732375,0.3488789968833421,0.649430408249911,0.5723244865747494,0.7265363299250727,9.05512317413819e-09,7.782607156057046e-09,1.0327639192219335e-08
2.43,1.3772497439729805e-08,1.1800000457620935e-08,1.5744994421838675e-08,0.30098426235850745,0.2531422946342535,0.3488262300827614,0.649423060763157,0.5723179391346992,0.7265281823916149,9.047802819566738e-09,7.776420045571514e-09,1.0319185593561963e-08
