network_size,mean_smape,lower_smape,upper_smape,mean_smape_p,lower_smape_p,upper_smape_p,mean_smape_t,lower_smape_t,upper_smape_t,mean_smape_AIC,lower_smape_AIC,upper_smape_AIC
24,0.018990034475012855,0.018990034475012855,0.018990034475012855,0.5005363012169619,0.5005363012169619,0.5005363012169619,0.5002861763079841,0.5002861763079841,0.5002861763079841,0.018612872379666048,0.018612872379666048,0.018612872379666048
25,0.013766831765435287,0.0,0.02858844868134479,0.5004800204501052,0.4856584035341957,0.5153016373660148,0.5002298954980794,0.4854082785821699,0.5150515124139889,0.25585247175970116,0.24103085484379166,0.27067408867561066
28,0.012991668240560384,0.0,0.026119094126933355,0.500515284900375,0.48738785901400206,0.513642710786748,0.5002651599754923,0.4871377340891193,0.5133925858618652,0.17672356563953182,0.16359613975315884,0.1898509915259048
29,0.008533062003089975,0.0,0.017298640838335565,0.5005031046836133,0.49173752584836766,0.5092686835188589,0.5002529797490208,0.49148740091377524,0.5090185585842664,0.20530918741750215,0.19654360858225656,0.21407476625274774
30,0.012048015523246526,0.006651364102566508,0.017444666943926546,0.5338187379395102,0.5284220865188302,0.5392153893601902,0.5002700998028484,0.4948734483821684,0.5056667512235284,0.1094971980143546,0.10410054659367458,0.11489384943503463
31,0.009202942152261853,0.005990916799364466,0.01241496750515924,0.5004845909774153,0.4972725656245179,0.5036966163303127,0.5002344660288816,0.49702244067598417,0.503446491381779,0.1691616478623633,0.1659496225094659,0.17237367321526068
32,0.005668722115919676,0.0,0.0759717172615001,0.5004895668500703,0.4301865717044899,0.5707925619956506,0.5002394419050835,0.4299364467595031,0.570542437050664,0.005668574426391669,-0.06463442071918875,0.07597156957197208
33,0.012530798645263866,0.003197669869514414,0.02186392742101332,0.6114689161479528,0.6021357873722034,0.6208020449237023,0.5002104418288658,0.4908773130531163,0.5095435706046152,0.01227121654948784,0.0029380877737383883,0.021604345325237292
34,0.006283180107847319,0.0001612375122960301,0.012405122703398608,0.5421508540477288,0.5360289114521775,0.5482727966432801,0.5002705884157537,0.4941486458202024,0.506392531011305,0.25144565968680516,0.24532371709125386,0.2575676022823564
35,0.009720141205773065,0.0008143808282527146,0.018625901583293414,0.5559780892081395,0.5470723288306192,0.5648838495856598,0.500225640144236,0.49131987976671565,0.5091314005217563,0.0058521027048445695,-0.003053657672675781,0.01475786308236492
36,0.014769639919459347,0.0,0.03258091208696848,0.5837289492948953,0.5659176771273862,0.6015402214624044,0.5002131690819698,0.48240189691446067,0.5180244412494789,0.256814875031573,0.23900360286406389,0.2746261471990821
37,0.020596528071741338,0.020596528071741338,0.020596528071741338,0.500430947502469,0.500430947502469,0.500430947502469,0.5001808225179014,0.5001808225179014,0.5001808225179014,0.020893583199889456,0.020893583199889456,0.020893583199889456
38,0.008430623232416619,0.003436575613604281,0.013424670851228957,0.500497373884735,0.4955033262659227,0.5054914215035474,0.5002472489460956,0.4952532013272833,0.505241296564908,0.006350612063594425,0.0013565644447820872,0.011344659682406763
39,0.0013937174087393519,0.0013937174087393519,0.0013937174087393519,0.6669867025254332,0.6669867025254332,0.6669867025254332,0.500229932218044,0.500229932218044,0.500229932218044,0.001542778395672455,0.001542778395672455,0.001542778395672455
40,0.003648301707668503,0.003648301707668503,0.003648301707668503,0.5004660979891311,0.5004660979891311,0.5004660979891311,0.5002159730273155,0.5002159730273155,0.5002159730273155,0.0031897631556532433,0.0031897631556532433,0.0031897631556532433
42,0.005895825509821516,0.0,0.024702329461145783,0.5004413737631541,0.48163486981182985,0.5192478777144783,0.5001912487852228,0.48138474483389854,0.518997752736547,0.005895842504097758,-0.01291066144722651,0.024702346455422027
43,0.012840577775325815,0.0,0.02736722263809598,0.555948865128601,0.5414222202658309,0.5704755099913711,0.5001908503287336,0.4856642054659634,0.5147174951915037,0.16805895937379656,0.1535323145110264,0.18258560423656672
44,0.003869660515962277,0.003869660515962277,0.003869660515962277,0.5004314444963287,0.5004314444963287,0.5004314444963287,0.5001813195120662,0.5001813195120662,0.5001813195120662,0.003904291500286526,0.003904291500286526,0.003904291500286526
45,0.0060558859312923085,0.0038459248799700843,0.008265846982614532,0.5420867468466712,0.539876785795349,0.5442967078979934,0.5002065948716649,0.49799663382034265,0.5024165559229871,0.12912336839333982,0.1269134073420176,0.13133332944466206
47,0.00963657228553801,0.0,0.023379212890289908,0.5004467116827859,0.486704071078034,0.5141893522875378,0.5001965867091055,0.4864539461043536,0.5139392273138574,0.008740237063609855,-0.005002403541142043,0.022482877668361753
48,0.009199620399446941,0.0,0.02906806107090098,0.5559812681323458,0.5361128274608918,0.5758497088037998,0.5002193658123448,0.4803509251408908,0.5200878064837988,0.007905780475906793,-0.011962660195547247,0.027774221147360834
49,0.004888647604607347,0.004888647604607347,0.004888647604607347,0.5004598137027776,0.5004598137027776,0.5004598137027776,0.5002096887367128,0.5002096887367128,0.5002096887367128,0.5002609540037763,0.5002609540037763,0.5002609540037763
