Time,mean_smape,lower_smape,upper_smape,mean_smape_ab,lower_smape_ab,upper_smape_ab,mean_smape_t,lower_smape_t,upper_smape_t,mean_smape_AIC,lower_smape_AIC,upper_smape_AIC
4.73,0.014684552468938841,0.0021957194926334987,0.027173385445244183,0.43398103816351663,0.42338962301317995,0.4445724533138533,0.09330489009964671,0.06452997734951679,0.12207980284977663,0.014625323630733893,0.0007220439519165667,0.028528603309551218
4.74,0.014685258409028122,0.002195730573819948,0.027174786244236297,0.43386277522262096,0.4232939046479724,0.4444316457972695,0.09328825708090221,0.06451970948457661,0.12205680467722782,0.014626823422382083,0.000722349823334743,0.028531297021429425
4.75,0.014685970642834398,0.002195741383564657,0.02717619990210414,0.43374604742078526,0.4231991271070753,0.4442929677344952,0.09327174621745965,0.06450949309865353,0.12203399933626577,0.01462833214001599,0.0007226552975883142,0.028534008982443664
4.76,0.014686689149494263,0.0021957519230535703,0.027177626375934957,0.4336323625769861,0.42310698700658383,0.4441577381473884,0.09325535654578196,0.0644993280386039,0.12201138505296001,0.014629849753581751,0.000722960377974851,0.02853673912918865
4.7700000000000005,0.014687413908367824,0.002195762193455743,0.027179065623279902,0.4335212151042328,0.4230169338515621,0.4440254963569035,0.09323908711739945,0.0644892141524136,0.1219889600823853,0.014631376233363039,0.0007232650677694887,0.02853948739895659
4.78,0.014688144899036602,0.0021957721959234722,0.027180517602149734,0.4333868603541645,0.42291399133979884,0.4438597293685302,0.09322293699862925,0.06447915128920448,0.12196672270805403,0.014632911549977973,0.0007235693702253056,0.02854225372973064
4.79,0.014688882101301393,0.002195781931592528,0.027181982271010256,0.4332524689251631,0.42281102506023427,0.44369391279009196,0.09320690527030104,0.06446913929923984,0.12194467124136224,0.014634455674375768,0.0007238732885734497,0.028545038060178086
4.8,0.014689625495180296,0.002195791401582336,0.027183459588778255,0.4331198798458201,0.42270906519542456,0.4435306944962157,0.09319099102748846,0.0644591780339292,0.12192280402104771,0.014636008577833622,0.0007241768260234233,0.02854784032964382
4.8100000000000005,0.014690375060906565,0.002195800606996135,0.027184949514816995,0.43298906635159407,0.42260810199118076,0.44337003071200737,0.09317519337924728,0.06444926734583291,0.12190111941266164,0.014637570231953587,0.0007244799857632905,0.028550660478143884
4.82,0.014691130778926751,0.0021958095489212556,0.027186452008932247,0.43286000225436433,0.42250812587437214,0.4432118786343565,0.09315951144835877,0.06443940708866581,0.12187961580805172,0.014639140608659524,0.0007247827709599836,0.028553498446359064
4.83,0.014691892629898522,0.0021958182284291024,0.027187967031367943,0.4327326619261152,0.4224091274478857,0.4430561964043447,0.0931439443710799,0.06442959711730142,0.12185829162485837,0.01464071968019398,0.0007250851847594077,0.028556354175628552
4.84,0.014692660594688902,0.0021958266465755844,0.02718949454280222,0.4326070202831959,0.42231109748572765,0.4429029430806642,0.09312849129689721,0.06441983728777374,0.12183714530602067,0.01464230741911525,0.0007253872302868114,0.028559227607943688
4.8500000000000005,0.014693434654372202,0.0021958348044010846,0.02719103450434332,0.43248305277112964,0.42221402692826077,0.4427520786139985,0.09311315138828818,0.06441012745728063,0.12181617531929574,0.014643903798294331,0.0007256889106468795,0.028562118685941783
4.86,0.014694214790228153,0.0021958427029307327,0.02719258687752557,0.4323607353499571,0.42211790687758505,0.4426035638223292,0.09309792382048675,0.06440046748418571,0.12179538015678779,0.01464550879091207,0.0007259902289240248,0.028565027352900115
4.87,0.01469500098374004,0.0021958503431745435,0.027194151624305538,0.4322413867832494,0.4220242337814083,0.44245853978509053,0.09308280778125423,0.0643908572280201,0.12177475833448836,0.014647122370456208,0.0007262911881825915,0.028567953552729824
4.88,0.01469579321659281,0.0021958577261276084,0.02719572870705801,0.4321249116232218,0.42193291738717975,0.44231690585926386,0.09306780247065491,0.06438129654948332,0.1217543083918265,0.014648744510718535,0.0007265917914670676,0.028570897229970003
4.89,0.014696591470671278,0.0021958648527702317,0.027197318088572325,0.4320100097460769,0.4218425165027334,0.4421775029894204,0.09305290710083768,0.06437178531044493,0.12173402889123042,0.014650375185792095,0.0007268920418022941,0.028573858329781897
4.9,0.014697395728058235,0.0021958717240681182,0.027198919732048354,0.43189665906517377,0.42175302283995564,0.4420402952903919,0.09303812089582085,0.06436232337394449,0.12171391841769721,0.014652014370068363,0.0007271919421937157,0.02857683679794301
4.91,0.01469820597103271,0.0021958783409724916,0.027200533601092928,0.43178483794210926,0.42166442825230094,0.4419052476319176,0.0930234430912831,0.06435291060419221,0.121693975578374,0.014653662038234452,0.000727491495627449,0.028579832580841454
4.92,0.014699022182068202,0.002195884704420307,0.027202159659716098,0.4316745251748021,0.4215767247309103,0.4417723256186939,0.093008872934358,0.06434354686656883,0.12167419900214717,0.014655318165270574,0.0007277907050707594,0.028582845625470386
4.93,0.014699844343830936,0.00219589081533437,0.027203797872327504,0.4315656999859771,0.4214899044008502,0.441641495571104,0.09299440968343343,0.06433423202762521,0.12165458733924166,0.014656982726447068,0.0007280895734719083,0.028585875879422226
4.94,0.014700672439178053,0.0021958966746235004,0.027205448203732607,0.43145834201202554,0.42140395951746223,0.44151272450658885,0.09298830636896045,0.06432908625294692,0.12164752648497398,0.014658655697321974,0.0007283881037606355,0.028588923290883313
4.95,0.014701506451156034,0.002195902283182668,0.0272071106191294,0.43135243129222806,0.4213188824628214,0.4413859801216347,0.09298483906564976,0.06432525026367367,0.12164442786762586,0.014660337053738355,0.0007286862988482527,0.028591987808628455
4.96,0.01470234636299891,0.0021959076418931345,0.027208785084104688,0.4312479482583333,0.42123466574230817,0.4412612307743584,0.09298141117665457,0.06432142781257338,0.12164139454073575,0.014662026771821683,0.0007289841616278415,0.028595069382015524
4.97,0.014703192158126653,0.0021959127516226803,0.027210471564630627,0.4311448737244657,0.4211513019812781,0.4411384454676533,0.09297802258697471,0.06431761910725659,0.12163842606669284,0.014663724827977289,0.0007292816949744148,0.028598167960980164
4.98,0.014704043820143524,0.0021959176132256442,0.027212170027061403,0.431043188877362,0.42106878392183944,0.4410175938328845,0.0929746731849915,0.06431382435218103,0.12163552201780198,0.014665431198887857,0.0007295789017451836,0.02860128349603053
4.99,0.014704901332836438,0.002195922227543114,0.027213880438129764,0.43094287526691494,0.42098710441972675,0.4408986461141031,0.09297136286239416,0.06431004374872083,0.12163268197606748,0.014667145861510949,0.0007298757847796992,0.0286044159382422
