t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39
8.120000000000001,0.4064064064064064,29.813695173543575,-45.64663947809612,-8.012968182763704,-45.642727285916955,-1.4854049923013541,23.645213332044808,4.814613194196779,-33.13921503148725,23.465544789652863,29.79057747818543,10.910844490198153,-7.829638596500542,23.22263320098193,-14.231542702640365,23.51569587111313,23.391049578156576,28.823115405453624,-1.6117698889208034,-33.04711575566934,23.51356755527401,-7.827261005865187,-32.881627914504755,-7.874436180016794,-1.253121500199502,-20.311042854164075,4.690294067361404,-26.659293497981636,23.452379864342866,-1.643025643137724,-26.844446802197094,10.910806354012564,17.215571764104943,-20.48883695008243,4.613552596398819,23.559038954110296,-1.773572973681737,-26.80092667787164,10.933810907981341,-1.7571434406209994,29.842570057684437
8.14,0.4074074074074074,29.813174037773383,-45.646899517968706,-8.011089560711552,-45.64362298010464,-1.4891306736251115,23.643897597113625,4.811406215386685,-33.13818282428621,23.466095208088223,29.790652750834248,10.910777905513115,-7.832224095558083,23.22587455936331,-14.231114714431383,23.51637195002128,23.39160068565776,28.855379992867626,-1.6124553125711059,-33.04742994800542,23.514558402202955,-7.8287920343903625,-32.89256550901262,-7.875136924211238,-1.2609637879779463,-20.316762074774694,4.689206315281995,-26.662481268784056,23.453190192442882,-1.6472127796247897,-26.843003327500952,10.910545339889547,17.21645575270184,-20.488890262070118,4.61478149442258,23.557420332636777,-1.7714788890848736,-26.800255578998467,10.934021738868248,-1.7553259627193294,29.84242483552313
8.16,0.4084084084084084,29.812646250736297,-45.647173470788445,-8.00925292087855,-45.644491347019674,-1.49279497480433,23.642556197596285,4.80823325595589,-33.13716471328737,23.46662587700231,29.79071230994689,10.910704998575119,-7.834772561808611,23.22921290154591,-14.23071110693232,23.51699790994568,23.39226157664759,28.886858201273764,-1.6131420198202109,-33.04776344864039,23.51550671967642,-7.830330533966539,-32.90310833600312,-7.875853787722947,-1.268671670460289,-20.322353161654846,4.688112535268939,-26.66565247842576,23.453986288281623,-1.6510979206422736,-26.841599659296456,10.91028828970082,17.217288526486467,-20.488968470595655,4.615969953852017,23.555814084577907,-1.7694176265522585,-26.799622601205563,10.934207284076031,-1.7534695745867925,29.842246504123988
8.18,0.4094094094094094,29.812113083497213,-45.64745929441899,-8.007457341130962,-45.645331192800185,-1.4963975267449805,23.641190619821632,4.805094517239341,-33.13615960242242,23.46713834477119,29.790757734018644,10.910627687128228,-7.837283248111322,23.23264401658503,-14.230330511328264,23.517575160150766,23.39302832957915,28.9175344646965,-1.613828687229877,-33.04811478927956,23.516413052300482,-7.831875320630368,-32.913257182488046,-7.876585372644566,-1.2762472493736132,-20.327816932889437,4.687015041541422,-26.668804936941594,23.454768127354082,-1.6546908598302164,-26.840235049212342,10.910036641858323,17.21807167872787,-20.489070058406952,4.617118597315677,23.55422253867158,-1.7673880753152933,-26.799026580742233,10.93436922862238,-1.751577967227385,29.84203619546664
8.2,0.41041041041041043,29.81157577031805,-45.64775501862567,-8.005701914330576,-45.64614145354955,-1.4999380123006554,23.63980233097961,4.801990220054954,-33.135166469067,23.467634067635668,29.79079050971739,10.910547750320752,-7.839755454231004,23.2361632133605,-14.229971602922815,23.518105134300537,23.393896521901794,28.947397514938793,-1.6145140695208182,-33.04848252660743,23.517277984072567,-7.833425199657905,-32.92301424559059,-7.877330313771126,-1.2836925735682763,-20.333154231113635,4.685916052797999,-26.671936488272927,23.45553572361287,-1.6580019083638098,-26.838908723394088,10.909791717226062,17.21880682140575,-20.48919353163591,4.618228092847115,23.552647869932628,-1.7653891529532844,-26.798466334538503,10.934509204227583,-1.7496550564860907,29.841795061028606
8.22,0.4114114114114114,29.811035503814505,-45.64805874985714,-8.003985750703285,-45.64692119871356,-1.503416169806136,23.638392778445645,4.798920601717909,-33.1341843670354,23.468114408032463,29.790812029807725,10.910466827789325,-7.842188531368185,23.239765391014615,-14.229633103126456,23.518589286674217,23.394861309038628,28.97644010183489,-1.6151970016601191,-33.048865247120744,23.518102136205993,-7.834978969925373,-32.932383027162025,-7.878087281275811,-1.2910096399967756,-20.33836593776168,4.684817684435322,-26.67504502257885,23.456289126925775,-1.6610418001960634,-26.83761988559033,10.909554717310524,17.21949558038428,-20.489337424151877,4.619299149900535,23.551092094395575,-1.7634198101358654,-26.797940664164692,10.934628785684241,-1.7477049194953913,29.84152426859114
8.24,0.4124124124124124,29.81049343077026,-45.64836867544252,-8.002307979722884,-45.6476696329478,-1.5068317959222273,23.6369633890575,4.7958859129268765,-33.133212428499995,23.468580633964187,29.790823592163548,10.910386419953694,-7.844581885968453,23.24344510849961,-14.229313781049397,23.519029088289724,23.3959175018317,29.004658693050793,-1.6158764000344121,-33.04926157143328,23.518886164851327,-7.836535428344446,-32.94136822110282,-7.878854982983591,-1.2982003949729652,-20.343452985132107,4.683721942208371,-26.67812848733727,23.457028420467473,-1.663821598396577,-26.8363677202563,10.9093267236931,17.22013959058399,-20.48950030145208,4.620332515315676,23.54955706565927,-1.761479034683032,-26.79744835977963,10.934729487879059,-1.7457317345186698,29.841224998991848
8.26,0.4134134134134134,29.80995064860647,-45.6486830671738,-8.000667751537458,-45.64838609654648,-1.510184747800484,23.635515568355864,4.792886414573771,-33.13224986490009,23.469033919333874,29.79082639979327,10.910307889444384,-7.846934982811392,23.24719665208945,-14.22901245470288,23.519426022980547,23.397059641180967,29.032053161567468,-1.6165512627688632,-33.04967015804685,23.519630758735605,-7.838093374307217,-32.94997559634296,-7.879632166253819,-1.305266735669453,-20.348416366306807,4.682630717315245,-26.681184897193575,23.457753718072123,-1.6663526042977537,-26.83515139564365,10.909108698627062,17.220740491201358,-20.489680764085765,4.621328969268761,23.548044473161415,-1.7595658549493254,-26.796988204030537,10.934812763451825,-1.7437397250699644,29.840898442857217
8.28,0.4144144144144144,29.80940820249339,-45.64900028425619,-7.999064237972308,-45.64907006452593,-1.513474944588835,23.63405069980013,4.7899223745255854,-33.13129596691802,23.469475345156862,29.79082156178845,10.910232463568423,-7.8492473473932876,23.251014099917324,-14.228727991820978,23.519781583469264,23.39828206884081,29.05862646807173,-1.6172206692640874,-33.05008970659254,23.52033663674011,-7.839651614080643,-32.95821187813481,-7.88041761948913,-1.3122105118121035,-20.353257142999098,4.681545782861166,-26.68421234254314,23.458465161572416,-1.668646270857575,-26.833970066848224,10.908901486704435,17.221299921022485,-20.489877450617175,4.622289321244427,23.546555842080455,-1.757679342550213,-26.796558975870298,10.934880001066793,-1.741733108958828,29.8405457973467
8.3,0.41541541541541543,29.808867083081754,-45.6493187756211,-7.99749663314821,-45.64972114447392,-1.5167023683093277,23.632570143970526,4.786994064423077,-33.13035010361015,23.46990590155399,29.790810095097328,10.91016123770596,-7.851518567629359,23.254891382802725,-14.228459310321416,23.520097267477922,23.39957899357262,29.08438434448913,-1.6178837790315788,-33.050518960554534,23.521004545436973,-7.841208965095789,-32.96608462997172,-7.881210173292807,-1.3190335275322558,-20.357976451436816,4.680468791632758,-26.687208996858757,23.45916291814901,-1.6707141213476044,-26.83282287878985,10.908705817485583,17.22181951387302,-20.49008904013947,4.623214406060987,23.54509253473803,-1.7558186144583279,-26.79615945426108,10.934932524263479,-1.7397160526911415,29.84016826293789
8.32,0.4164164164164164,29.808328224823907,-45.649637081607416,-7.9959641537567965,-45.65033907328789,-1.5198670641472571,23.631075237767305,4.784101756536849,-33.12941172078664,23.470326490424902,29.790792927019137,10.910095179522767,-7.853748294910687,23.2588223408235,-14.228205378429092,23.520374573912015,23.400944552074222,29.109334983878473,-1.6185398299133544,-33.05095670949591,23.521635256603847,-7.842764260083363,-32.9736021380873,-7.882008701300318,-1.3257375433394518,-20.362575506410767,4.679401275095089,-26.69017312279528,23.459847177712216,-1.672567674188095,-26.83170896910122,10.908522308976194,17.222300894241847,-20.490314254357475,4.624105079978549,23.543655753357775,-1.7539828345049073,-26.795788421736827,10.93497159084769,-1.7376926314585595,29.839767040279874
8.34,0.4174174174174174,29.807792504848713,-45.64995383502604,-7.994466039036447,-45.65092371293326,-1.5229691401969363,23.6295672936172,4.781245720716759,-33.12848033873695,23.47073792869826,29.79077089831288,10.910035133879727,-7.855936244558261,23.262800775263386,-14.227965214489627,23.52061499915076,23.402372864310756,29.133488740913805,-1.6191881357735984,-33.0514017908111,23.522229564734875,-7.844316351013547,-32.98077330013252,-7.882812120713073,-1.332324278180037,-20.367055603636636,4.678344643510194,-26.69310307712104,23.46051815033583,-1.6742183744877284,-26.83062747090578,10.908351471832392,17.22274567311105,-20.490551859261732,4.624962216916257,23.542246544024827,-1.7521712143276076,-26.795444667800897,10.934998392779004,-1.7356667947753457,29.83934332713904
