t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
10.34,0.5175175175175175,-5.309433004093138,0.9373246446519274,33.052115385130335,14.226125581225423,-18.41372094709449,-29.28652362834793,21.488377805194048,9.143013709201316,-8.781001945782277,6.20810517611406,7.634064468557375,-30.57387640789552,0.9201982504407115
10.36,0.5185185185185185,-5.3080538331526075,0.9424014146127581,33.05179159584976,14.22610943781396,-18.409827701525646,-29.287525339648482,21.48643665121345,9.139774447193767,-8.792583805545618,6.213368518436085,7.633710351415086,-30.572930064632008,0.9220974152713454
10.38,0.5195195195195195,-5.30664917924739,0.947531179587582,33.05147902139829,14.22611318221688,-18.405920451470262,-29.288529080511932,21.484485493939196,9.136501108922051,-8.804300076617679,6.218629251345888,7.6333750040064965,-30.57196522919925,0.9240188629319741
10.4,0.5205205205205206,-5.3052188461436,0.9527136776959744,33.05117780461066,14.22613692537534,-18.401998914629946,-29.2895348131842,21.48252414436867,9.133192930112312,-8.816150942799993,6.223887468268367,7.633058590857855,-30.57098173612606,0.9259627988964695
10.42,0.5215215215215215,-5.303762642784782,0.9579485823685043,33.050888088306614,14.226180770348362,-18.398062815358692,-29.29054250071583,21.48055240864044,9.129849143756164,-8.828136494173698,6.2291432655289,7.632761276853494,-30.569979418603058,0.9279294231354306
10.44,0.5225225225225225,-5.302280383864208,0.9632354994296779,33.05061001515388,14.226244811721449,-18.394111885174087,-29.291552107001248,21.47857008805973,9.126468981138574,-8.840256722468016,6.234396742281411,7.632483227099381,-30.568958108616496,0.9299189295418034
10.46,0.5235235235235235,-5.3007718904177805,0.9685739641938939,33.05034372752193,14.226329134993465,-18.390145863287934,-29.29256359681875,21.476576979134233,9.123051672934684,-8.852511516403291,6.239648000431112,7.632224606776447,-30.56791763709254,0.9319315053363768
10.48,0.5245245245245245,-5.299236990437023,0.9739634385883389,33.05008936732641,14.226433815942425,-18.386164497155765,-29.29357693587116,21.47457287362079,9.119596450376593,-8.864900657025338,6.244897144551744,7.6319855809833586,-30.566857834052247,0.9339673304537167
10.5,0.5255255255255256,-5.297675519501437,0.9794033083178579,33.049847075863916,14.22655891997094,-18.382167543044613,-29.294592090827212,21.47255755858369,9.116102546490788,-8.877423813049285,6.250144281797136,7.631766314568412,-30.565778528777606,0.9360265769092485
10.52,0.5265265265265265,-5.296087321429394,0.9848928800879438,33.04961699363692,14.226704501432295,-18.378154766618255,-29.295609029363536,21.47053081646518,9.112569197406684,-8.890080536232663,6.2553895218069115,7.63156697195025,-30.564679549988846,0.9381094081483518
