t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0.4,0.02002002002002002,30.206486890751123,-27.76459512218729,-37.481832007722836,-22.036973467557388,-40.88202085430494,33.77507234622385,22.828406077574357,15.28579741117591,-29.486011646930745,19.64270221518634,-10.593030123103528,34.661644485075165,-24.19544362578218,1.8447842592803634,32.93320427988321,-23.978864390451786,25.888151949835855,-11.968212428687472,21.02582316364587,2.459665958913306,-10.399712146384736
0.42,0.02102102102102102,30.206250479705922,-27.766426240602534,-37.48186968254247,-22.038214752177794,-40.88504781083485,33.776911988023365,22.82926996840333,15.285761026104566,-29.486602352308672,19.64444664788998,-10.593166726227654,34.6624669033797,-24.195386354919012,1.8455784267303434,32.93438657217545,-23.979428492713666,25.889615730056732,-11.968455888543767,21.026540263412997,2.459647563948005,-10.401234044527522
0.44,0.022022022022022022,30.205941062329654,-27.76829518138236,-37.48183274763288,-22.03947413435825,-40.888144033798525,33.77877662595357,22.830131426542426,15.285692531038732,-29.487163385728408,19.646243057325364,-10.593289336310084,34.66326004721414,-24.19527746874261,1.8464085459299564,32.93556086229443,-23.97997206990476,25.891100622783668,-11.968686462937251,21.0272495388885,2.4596237007972297,-10.402809975870086
0.46,0.023023023023023025,30.205558397917294,-27.77020218157644,-37.48172103601383,-22.04075169235691,-40.89130949356036,33.780666317803764,22.83099041497121,15.28559196001574,-29.487694697525573,19.648091926292288,-10.593398022001894,34.66402375451267,-24.195117002040114,1.8472746022954494,32.93672704212891,-23.980495069289038,25.89260660656752,-11.968904035663057,21.027950813912994,2.459594423684526,-10.404439805642703
0.48,0.024024024024024024,30.20510222424081,-27.77214748518404,-37.481534376664925,-22.042047510143373,-40.89454415648649,33.78258112456552,22.831846894525846,15.285459349692005,-29.48819623439337,19.64999375223811,-10.59349285568729,34.66475785911184,-24.194904996737655,1.8481765830966614,32.93788500895591,-23.98099744054159,25.89413366364331,-11.969108487024574,21.0286439100379,2.4595597920252565,-10.40612339483741
0.5,0.025025025025025023,30.204572257483218,-27.77413134313214,-37.48127259458827,-22.043361677354884,-40.897847984634396,33.78452111040926,22.832700823870415,15.285294739339822,-29.48866793935191,19.65194904719244,-10.593573913527969,34.665462190705156,-24.194641501890313,1.849114477353105,32.93903466542179,-23.98147913577807,25.895681779881254,-11.969299693871298,21.029328646570903,2.4595198704285246,-10.407860600094189
0.52,0.026026026026026026,30.203968192168464,-27.77615401325082,-37.48093551087908,-22.044694289250415,-40.90122093543333,33.786486342660666,22.833552159466123,15.285098170844275,-29.489109751716995,19.653958337695187,-10.593641275508181,34.66613657479878,-24.194326573672285,1.8500882757289665,32.94017591952327,-23.98194010958473,25.89725094473698,-11.969477529638608,21.03000484062517,2.459474728699989,-10.409651273580986
0.54,0.02702702702702703,30.20328970108731,-27.778215760245658,-37.480522942804335,-22.046045446662486,-40.9046629613557,33.788476891776725,22.83440085553834,15.284869688700239,-29.48952160706844,19.65602216471747,-10.593695025480388,34.66678083266824,-24.19396027536732,1.8510979704270643,32.94130868458862,-23.98238031904901,25.898841151200976,-11.969641864389544,21.030672307172374,2.459424441845558,-10.4114952628676
0.56,0.028028028028028028,30.202536435219415,-27.78031685566696,-37.48003470388965,-22.047415255946536,-40.908174009579234,33.79049283132136,22.835246864041462,15.28460934000946,-29.48990343721794,19.65814108357481,-10.593735251211442,34.667394781316425,-24.193542677359403,1.852143555081798,32.94243287925887,-23.982799723790677,25.900452395747283,-11.96979256485864,21.031330859099597,2.459369090075953,-10.413392410793508
0.58,0.029029029029029027,30.20170802365185,-27.782457577875633,-37.47947060401448,-22.0488038289277,-40.91175402164004,33.792534237940615,22.836090134621532,15.284317174477717,-29.490255170176578,19.660315663832037,-10.593762044429194,34.66797823343284,-24.193073857123714,1.8532250246511315,32.94354842746926,-23.98319828599344,25.902084678281486,-11.96992949449791,21.031980307270203,2.459308758812122,-10.41534255532965
0.6,0.03003003003003003,30.20080407349427,-27.784638212005405,-37.47883044951584,-22.05021128284476,-40.91540293307642,33.79460119133726,22.83693061457664,15.283993244412027,-29.49057673012198,19.662546489199293,-10.593775500869421,34.66853099735434,-24.1925538992179,1.854342375307651,32.944655258430906,-23.983575970437037,25.90373800208795,-11.970052513525044,21.03262046058867,2.4592435386914935,-10.417345529434238
0.62,0.031031031031031032,30.199824169791004,-27.786859049921233,-37.47811404330064,-22.051637740291135,-40.919120673063446,33.79669377424474,22.83776824881503,15.283637604717901,-29.490868037365217,19.66483415741855,-10.59377572032298,34.66905287702739,-24.191982895273636,1.855495604328741,32.94575330661268,-23.983932744529746,25.90541237377641,-11.970161478973893,21.033251126069523,2.459173525575047,-10.41940116090263
0.64,0.03203203203203203,30.198767875430338,-27.78912039017358,-37.477321184966854,-22.053083329152663,-40.92290716403837,33.79881207240041,22.838602979810876,15.28325031289662,-29.491129008317525,19.66717928013993,-10.593762806683078,34.669543671972065,-24.19136094398854,1.8566847099859296,32.94684251172342,-23.984268578341254,25.90710780322786,-11.970256244747318,21.033872108910344,2.459098820555179,-10.421509272211333
